日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-01-26,000001,10.96,11.06,10.92,1106246.0,1214803456.0,1.27,-0.27,-0.03,0.57,
2026-01-26,000002,4.82,4.97,4.81,2709821.0,1317277568.0,3.23,-2.63,-0.13,2.79,
2026-01-26,000004,12.72,13.2,12.35,69558.0,89268216.0,6.75,1.03,0.13,5.51,
2026-01-26,000006,9.31,9.78,9.3,367292.0,346491168.0,4.93,-4.41,-0.43,2.72,
2026-01-26,000007,11.72,11.84,11.45,83949.0,97857512.0,3.38,1.56,0.18,2.42,
2026-01-26,000008,3.22,3.32,3.18,913930.0,294648800.0,4.36,0.31,0.01,3.36,
2026-01-26,000009,10.25,10.52,10.19,399083.0,411037088.0,3.17,-1.54,-0.16,1.55,
2026-01-26,000010,3.58,3.67,3.52,234786.0,84045072.0,4.09,-2.45,-0.09,2.77,
2026-01-26,000011,8.99,9.07,8.88,67839.0,60836920.0,2.09,-0.99,-0.09,1.29,
2026-01-26,000012,4.67,4.73,4.64,317718.0,148510416.0,1.91,-0.85,-0.04,1.62,
2026-01-26,000014,13.27,13.74,13.15,94318.0,125883336.0,4.29,-3.56,-0.49,3.9,
2026-01-26,000016,5.06,5.18,5.06,301447.0,153566128.0,2.33,-1.94,-0.1,1.89,
2026-01-26,000017,8.22,8.45,8.16,452456.0,375534240.0,3.58,1.36,0.11,10.26,
2026-01-26,000019,7.14,7.15,7.02,106998.0,75907832.0,1.83,0.56,0.04,2.57,
2026-01-26,000020,15.14,15.29,14.88,43205.0,65307336.0,2.71,0.0,0.0,2.38,
2026-01-26,000021,29.44,31.05,29.26,1101694.0,3286321920.0,5.86,-3.7,-1.13,7.01,
2026-01-26,000025,19.29,19.66,18.86,220405.0,426525888.0,4.22,1.79,0.34,5.61,
2026-01-26,000026,16.6,16.99,16.36,89200.0,148569232.0,3.72,-1.95,-0.33,2.45,
2026-01-26,000027,6.9,6.98,6.85,365510.0,252933232.0,1.87,-0.72,-0.05,0.77,
2026-01-26,000028,26.48,26.8,26.14,156980.0,414425728.0,2.58,3.6,0.92,3.28,
2026-01-26,000029,20.7,21.43,20.59,72633.0,151125696.0,3.93,-3.23,-0.69,0.81,
2026-01-26,000030,5.63,5.77,5.59,164409.0,92693032.0,3.15,-1.57,-0.09,0.98,
2026-01-26,000031,3.24,3.33,3.21,329416.0,107129832.0,3.59,-2.99,-0.1,0.77,
2026-01-26,000032,21.71,22.3,21.15,274336.0,593585088.0,5.28,-0.41,-0.09,2.52,
2026-01-26,000034,39.77,41.64,39.24,256643.0,1034058752.0,5.94,-1.51,-0.61,4.24,
2026-01-26,000035,6.29,6.39,6.17,401468.0,252317376.0,3.47,-0.79,-0.05,1.74,
2026-01-26,000036,6.29,7.19,6.29,1564800.0,1038546304.0,12.88,-10.01,-0.7,11.17,
2026-01-26,000037,9.48,9.78,9.29,341715.0,323764256.0,5.3,2.6,0.24,10.08,
2026-01-26,000039,9.81,9.98,9.7,365514.0,359399296.0,2.82,-1.11,-0.11,1.59,
2026-01-26,000042,8.07,8.1,7.98,53141.0,42657000.0,1.48,-0.25,-0.02,0.8,
2026-01-26,000045,13.42,13.75,13.33,191331.0,258609824.0,3.11,-0.59,-0.08,4.19,
2026-01-26,000048,19.26,19.92,18.9,262199.0,508375872.0,5.37,1.48,0.28,4.98,
