symbol,ts_code,name,industry,adc_score,adc_trend,adc_risk,adc_confidence,cy_score,cy_bs_v2,cy_bs_consensus,cy_bs_model_prob,cy_pool,blind_type
000012,000012.SZ,南玻Ａ,玻璃,16.5852,看跌,高,0.831744,66.86,58.49,45.57,0.164351,WATCH,adc_bearish_skip
000700,000700.SZ,模塑科技,汽车配件,27.9859,,,,41.31,54.36,47.81,0.197804,None,missed_low_score
000733,000733.SZ,振华科技,元器件,31.1725,震荡,高,0.567743,55.92,62.36,53.58,0.237704,WATCH,missed_low_score_sweet_spot
000791,000791.SZ,甘肃能源,水力发电,21.6207,看涨,高,0.803931,41.5,48.67,24.63,0.124622,None,missed_low_score
002137,002137.SZ,实益达,元器件,85.0709,看涨,高,0.723916,53.93,61.54,52.73,0.246203,None,missed_low_score
002281,002281.SZ,光迅科技,通信设备,87.1375,看跌,高,0.769299,48.4,50.16,32.44,0.276167,None,adc_bearish_skip
002353,002353.SZ,杰瑞股份,化工机械,37.4611,震荡,高,0.685745,69.15,68.29,56.91,0.310033,WATCH,covered_high_score
002491,002491.SZ,通鼎互联,通信设备,83.1864,震荡,高,0.669011,67.13,57.57,38.97,0.364162,None,covered_high_score
002579,002579.SZ,中京电子,元器件,85.2778,震荡,高,0.65349,39.27,52.86,29.5,0.221605,None,missed_low_score
002655,002655.SZ,共达电声,元器件,86.0999,看跌,高,0.823697,45.55,55.15,29.96,0.217128,None,adc_bearish_skip
002669,002669.SZ,康达新材,化工原料,89.5062,震荡,高,0.596668,48.35,59.88,34.44,0.266163,None,missed_low_score
002745,002745.SZ,木林森,元器件,36.743,震荡,高,0.717639,39.78,60.77,54.1,0.291089,WATCH,missed_low_score_sweet_spot
002897,002897.SZ,意华股份,元器件,84.0827,看跌,高,0.81198,37.41,45.43,24.08,0.280784,None,adc_bearish_skip
300088,300088.SZ,长信科技,元器件,39.048,看跌,高,0.831428,63.99,63.18,55.76,0.286773,None,adc_bearish_skip
300103,300103.SZ,达刚控股,专用机械,86.3979,看涨,高,0.862816,48.53,51.21,12.52,0.073157,None,missed_low_score
300243,300243.SZ,瑞丰高材,化工原料,31.0907,看涨,高,0.75,46.36,59.18,50.33,0.212246,WATCH,missed_low_score_sweet_spot
300397,300397.SZ,天和防务,通信设备,36.286,看涨,高,0.660789,60.28,60.33,53.84,0.30341,WATCH,missed_low_score_sweet_spot
300491,300491.SZ,通合科技,电气设备,43.4507,震荡,高,0.664087,75.66,71.16,58.18,0.328025,WATCH,covered_high_score
300553,300553.SZ,集智股份,电器仪表,95.4578,震荡,高,0.59781,78.13,70.7,55.14,0.267647,None,covered_high_score
300951,300951.SZ,博硕科技,元器件,31.7443,看跌,高,0.81015,71.77,66.97,48.85,0.318517,None,adc_bearish_skip
301092,301092.SZ,争光股份,化工原料,86.2788,震荡,高,0.602177,67.49,64.92,42.28,0.269758,None,covered_high_score
600520,600520.SH,三佳科技,半导体,88.3409,震荡,高,0.584163,43.16,58.57,42.38,0.1218,None,missed_low_score
603072,603072.SH,天和磁材,矿物制品,86.5575,看涨,高,0.728349,72.66,51.85,27.78,0.199364,None,covered_high_score
603270,603270.SH,金帝股份,机械基件,88.9401,震荡,高,0.661123,41.2,56.05,29.96,0.166039,None,missed_low_score
603773,603773.SH,沃格光电,元器件,39.2019,看涨,高,0.794387,60.35,60.9,54.77,0.28252,None,missed_low_score_sweet_spot
688103,688103.SH,国力电子,元器件,87.5543,震荡,高,0.661305,37.21,50.73,14.51,0.07397,None,missed_low_score
688115,688115.SH,思林杰,电器仪表,84.207,看涨,高,0.838763,37.54,50.73,14.83,0.105394,None,missed_low_score
688308,688308.SH,欧科亿,机械基件,43.3514,震荡,高,0.60005,69.56,67.67,50.75,0.263754,WATCH,covered_high_score
688485,688485.SH,九州一轨,运输设备,86.9719,震荡,高,0.528467,55.32,58.83,27.04,0.216008,None,missed_low_score
688671,688671.SH,碧兴物联,环境保护,84.0958,看跌,高,0.819289,31.77,43.18,11.38,0.147555,None,adc_bearish_skip
