asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,model_rank_score
2026-05-08,20260508,600143,600143.SH,金发科技,76.96,76.96,0.0,100.0,90.19,93.59,67.0,89.66,26.22,7.8,54.7996,72.38,91.75,68.24,观察,64.22,普通观察,V2评分较好,18.07,17.15,5.36,0,TRADE,1,-1.0400000000000065,22.160399999999996,23.2004,13.104855895939236,41.91348231774592,91.38,0,0,,,,,,0.2989457555941727,41.398202891592085
2026-05-08,20260508,002153,002153.SZ,石基信息,77.56,77.56,0.0,100.0,96.05,92.42,70.05,84.02,18.69,7.4,39.8979,68.85,97.33,65.35,观察,56.21,回避,V2评分较好；相对强弱靠前；流动性偏弱,10.7,9.81,9.07,0,TRADE,1,3.5600000000000023,37.6621,34.1021,20.792869774756923,36.1833456164573,94.7795,0,0,,,,,,0.3040754157327922,40.89027910129545
2026-05-08,20260508,300407,300407.SZ,凯发电气,66.49,66.49,0.0,100.0,43.85,89.04,59.42,91.54,11.31,7.55,56.8517,66.49,85.44,55.94,剔除,39.23,回避,V2评分较好；流动性偏弱,13.62,13.18,3.34,0,WATCH,1,-9.010000000000003,9.638299999999994,18.6483,9.325913894269735,25.923738156369343,59.6665,0,0,,,,,,0.3366213272639466,40.34549290847626
2026-05-08,20260508,300943,300943.SZ,春晖智控,43.87,43.87,0.0,0.0,43.85,82.04,84.76,61.29,22.11,8.35,56.0985,69.45,88.84,61.21,观察,59.2,普通观察,V2评分较好；相对强弱靠前,32.75,31.36,4.43,0,,1,-39.63,-12.228500000000004,27.4015,20.29332942331872,43.290225224639336,57.2165,0,0,,,,,,0.3108052792093275,40.119369544652926
2026-05-08,20260508,300315,300315.SZ,掌趣科技,44.87,44.87,0.0,0.0,43.85,81.03,60.43,98.66,22.25,7.25,46.8397,60.01,85.59,56.79,剔除,51.45,回避,V2评分较好,5.18,5.01,3.39,0,,1,-27.630000000000003,-1.9697000000000031,25.6603,15.415077111819238,36.66834465857438,56.863,0,0,,,,,,0.32868890483523105,40.04522333846617
2026-05-08,20260508,300676,300676.SZ,华大基因,70.95,70.95,0.0,100.0,95.96,97.54,56.61,49.38,18.89,8.05,44.2765,68.82,96.72,61.67,观察,49.96,回避,V2评分较好；流动性偏弱,43.08,40.28,6.95,0,WATCH,1,-9.549999999999995,26.673500000000004,36.2235,18.774184644967495,32.70111465990112,96.513,0,0,,,,,,0.3067146747341256,39.971027231388796
2026-05-08,20260508,002347,002347.SZ,泰尔股份,44.6,44.6,0.0,0.0,43.85,90.75,50.46,85.31,17.79,7.2,39.2482,56.23,83.62,52.1,剔除,35.53,回避,流动性偏弱,8.55,8.32,2.76,0,,1,-27.4,5.351800000000004,32.7518,17.569301667397028,29.96136512243726,60.265,0,0,,,,,,0.34350363074387924,39.675254152071545
2026-05-08,20260508,300628,300628.SZ,亿联网络,55.61,55.61,0.0,100.0,43.85,61.35,66.1,93.41,21.54,7.05,59.3662,66.43,99.85,59.84,观察,53.5,回避,V2评分较好,37.42,34.63,8.06,0,,1,-14.89,-3.7562,11.1338,7.743627927528543,37.73319493496409,49.975,0,0,,,,,,0.30910894934596295,39.58962645421741
2026-05-08,20260508,000738,000738.SZ,航发控制,53.17,53.17,0.0,0.0,96.84,97.28,64.36,53.91,24.3,7.4,51.3174,66.81,93.09,63.28,观察,61.33,普通观察,V2评分较好,23.03,21.77,5.79,0,,1,-20.83,1.8526000000000025,22.6826,12.59511393040968,39.546782422846995,96.994,0,0,,,,,,0.29245691716255673,39.45598420137897
2026-05-08,20260508,002651,002651.SZ,利君股份,44.24,44.24,0.0,0.0,43.85,93.24,46.07,79.49,6.92,7.6,43.1951,57.62,82.81,46.97,剔除,28.47,回避,流动性偏弱,9.85,9.61,2.5,0,,1,-31.76,1.0449000000000055,32.8049,18.64560216252973,17.855094511091224,61.1365,0,0,,,,,,0.36137528899366755,39.387270229556734
2026-05-08,20260508,600756,600756.SH,浪潮软件,40.61,40.61,0.0,0.0,43.85,98.0,40.54,82.12,18.23,6.85,44.4566,54.64,86.09,50.74,剔除,33.81,回避,流动性偏弱,17.48,16.88,3.55,0,,1,-27.89,-3.8466000000000022,24.0434,15.114747297038525,27.185367387622335,62.802499999999995,0,0,,,,,,0.34307885413913325,39.23751978973932
2026-05-08,20260508,688556,688556.SH,高测股份,53.8,53.8,0.0,0.0,90.58,81.62,61.15,84.47,24.63,6.55,44.7572,61.3,86.91,61.27,观察,59.34,普通观察,V2评分较好,14.98,14.43,3.81,0,,1,-11.700000000000005,9.0428,20.742800000000003,10.399727429761482,38.808819873837955,87.444,0,0,,,,,,0.2967003394555768,39.150023761890374
2026-05-08,20260508,002448,002448.SZ,中原内配,55.97,55.97,0.0,100.0,43.85,75.91,73.72,86.27,23.21,9.55,66.1836,74.65,78.09,63.16,观察,59.6,普通观察,V2评分较好；相对强弱靠前,16.3,16.14,0.99,0,,1,-39.53,-10.2136,29.3164,20.5198677461625,41.36473377165626,55.071,0,0,,,,,,0.28697840429261207,39.036488300482844
