asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_bs_ratio,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_regime,event_seq_for_symbol,total_b_points,total_s_points,buy_points_count,sell_points_count,p_signal,expected_mdd,risk_score,model_rank_score
2026-05-08,20260508,600340,600340.SH,华夏幸福,29.79,29.79,0.0,0.0,43.85,88.58,1.51,13.22,14.21,5.25,,,,,,,,16.2149,,,,,,,22.19,15.0,等待,17.97,剔除,0.0,回避,流动性偏弱；买点后回撤偏深；指数20日涨幅偏高,68.42,0,过滤,流动性低于门槛；买点后回撤偏深,0.158925,,,1.5157,20260510_183937,0.0,回避,交易门禁过滤,1.1,1.66,-33.73,0,,1,-22.71,13.5751,36.2851,18.333193584406764,4.632180911838397,59.5055,0,1,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.4812785268027469,-0.0829219069097763,72.35936436340789,44.223116262676
2026-05-08,20260508,603456,603456.SH,九洲药业,28.44,28.44,0.0,0.0,43.85,29.12,1.95,94.33,19.72,5.45,,,,,,,,42.9096,,,,,,,29.33,15.0,等待,25.33,剔除,3.49,回避,流动性偏弱；买点后回撤偏深；指数20日涨幅偏高,79.44,0,观察,流动性低于门槛；买点后回撤偏深,0.289634,,,22.8734,20260510_183937,8.77,回避,交易门禁观察,13.69,17.09,-19.89,0,,1,-26.06,-14.469599999999996,11.590400000000002,13.056481763987316,6.201128929477276,38.694500000000005,0,1,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.40883924833930135,-0.03956138187891228,86.81287270702924,43.88478580641247
2026-05-08,20260508,603816,603816.SH,顾家家居,37.95,37.95,0.0,0.0,43.85,71.94,6.43,57.2,18.91,6.2,,,,,,,,54.8782,,,,,,,42.91,17.45,等待,34.09,剔除,9.99,回避,流动性偏弱；买点后回撤偏深；指数20日涨幅偏高,86.8,0,观察,流动性低于门槛；买点后回撤偏深,0.37594,,,31.5428,20260510_183937,16.47,回避,交易门禁观察,30.84,34.85,-11.51,0,,1,-24.049999999999997,-16.928199999999997,7.1218,12.353720697830267,11.026844516905095,53.6815,0,1,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.3214906567318545,0.010169669566536171,100.0,42.81193940391127
2026-05-08,20260508,600336,600336.SH,澳柯玛,72.26,72.26,0.0,100.0,96.22,89.09,77.4,36.49,7.74,7.85,,,,,,,,44.1668,,,,,,,69.35,75.0,可交易,57.8,剔除,43.98,回避,V2评分较好；相对强弱靠前；流动性偏弱,75.48,0,过滤,流动性低于门槛,0.173146,,,14.4603,20260510_183937,21.41,回避,交易门禁过滤,8.18,8.18,0.0,0,WATCH,1,-6.239999999999995,28.093200000000003,34.3332,18.289040928381127,24.476029089703257,93.7245,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.2152297035849016,-0.0016235929133241317,99.45880236222528,42.28260256942789
2026-05-08,20260508,600143,600143.SH,金发科技,76.96,76.96,0.0,100.0,90.19,93.59,67.0,89.66,26.22,7.8,,,,,,,,54.7996,,,,,,,72.38,91.75,可交易,68.24,观察,60.22,普通观察,V2评分较好；指数20日涨幅偏高,100.0,1,可买,满足流动性、涨幅、风险门禁,0.148464,,,30.8645,20260510_183937,45.94,回避,研究建议通过；V2观察以上,18.07,17.15,5.36,0,TRADE,1,-1.0400000000000065,22.160399999999996,23.2004,13.104855895939236,41.91348231774592,91.38,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.18370765417645915,-0.02040113066785086,93.19962311071637,42.062402717195006
2026-05-08,20260508,688418,688418.SH,震有科技,75.72,75.72,0.0,100.0,96.88,76.5,92.75,62.95,23.44,8.25,,,,,,,,50.7626,,,,,,,76.72,91.6,强确认,70.46,观察,71.76,普通观察,V2与强势流动性共振；相对强弱靠前；指数20日涨幅偏高,95.3,0,观察,买点后涨幅偏高,0.243582,,,33.1887,20260510_183937,50.91,回避,研究建议通过；V2观察以上；交易门禁观察,54.2,48.67,11.36,0,TRADE,1,-6.780000000000001,24.9574,31.7374,16.713780609225832,46.62681631850924,89.747,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.17007847756539254,-0.017381197968464712,94.2062673438451,41.95064875550031
2026-05-08,20260508,002153,002153.SZ,石基信息,77.56,77.56,0.0,100.0,96.05,92.42,70.05,84.02,18.69,7.4,,,,,,,,39.8979,,,,,,,68.85,97.33,可交易,65.35,观察,52.21,回避,V2评分较好；相对强弱靠前；流动性偏弱,95.88,0,观察,流动性低于门槛；买点后涨幅偏高,0.138183,,,24.2778,20260510_183937,37.4,回避,V2观察以上；交易门禁观察,10.7,9.81,9.07,0,TRADE,1,3.5600000000000023,37.6621,34.1021,20.792869774756923,36.1833456164573,94.7795,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.17479008104020136,-0.0004156761453325275,99.86144128488917,41.80412105514546
2026-05-08,20260508,000700,000700.SZ,模塑科技,76.73,76.73,0.0,100.0,99.2,96.05,89.55,48.07,24.43,8.8,,,,,,,,63.2093,,,,,,,79.1,70.0,强确认,71.08,观察,62.38,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,82.6,0,过滤,买点后涨幅偏高,0.500631,,,41.3682,20260510_183937,47.81,回避,研究建议通过；V2观察以上；交易门禁过滤,14.5,12.04,20.43,0,TRADE,1,-11.269999999999996,13.520700000000003,24.7907,12.412366380482544,46.772924860436085,98.0975,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.14954263160991207,0.03221556966103348,100.0,41.742557896594725
2026-05-08,20260508,600497,600497.SH,驰宏锌锗,77.21,77.21,0.0,100.0,94.99,86.69,87.16,63.68,27.35,8.35,,,,,,,,62.8461,,,,,,,77.25,70.84,强确认,70.9,观察,62.58,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,83.17,0,过滤,买点后涨幅偏高,0.477524,,,39.6967,20260510_183937,47.05,回避,研究建议通过；V2观察以上；交易门禁过滤,10.01,8.34,20.02,0,TRADE,1,-6.290000000000006,14.363899999999994,20.6539,10.586700055730304,48.82444060099409,92.085,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.1497655639391263,0.029875864260840296,100.0,41.71093383634758
2026-05-08,20260508,002439,002439.SZ,启明星辰,73.69,73.69,0.0,100.0,92.78,81.95,89.92,42.4,25.53,8.6,,,,,,,,57.9564,,,,,,,77.31,78.45,强确认,69.13,观察,61.07,普通观察,强势流动性较好；相对强弱靠前；买点后涨幅偏高,87.93,0,观察,买点后涨幅偏高,0.396197,,,43.4728,20260510_183937,51.17,回避,研究建议通过；V2观察以上；交易门禁观察,16.63,14.26,16.62,0,WATCH,1,-12.310000000000002,15.733599999999996,28.0436,14.056586652526992,47.91302119466064,88.98949999999999,0,0,-0.5836,0.023896368723496,0.097125259327748,5446.0,242.0,0.0444362835108336,0.0189,44.889521,45.637776,31.212866,0.317861,risk_on,,,,,,0.15595413382623424,0.01520784978457676,100.0,41.63974802957405
