symbol,name,industry,closed_trades,wins,net_pnl,avg_net_return,win_rate,positive_profit_share
600410,华胜天成,软件服务,3,2,76184.50899999999,0.24008084585955616,0.6666666666666666,0.10590600132968811
001309,德明利,半导体,2,2,44167.12842500002,0.13504066200672935,1.0,0.061397835637512055
002465,海格通信,通信设备,1,1,36414.322,0.43263855622089153,1.0,0.05062046451138369
300136,信维通信,元器件,1,1,33508.78199999999,0.5584796999999999,1.0,0.0465814003086668
300548,长芯博创,通信设备,2,2,31988.143104999992,0.22065656487901458,1.0,0.044467521950064454
600183,生益科技,元器件,1,1,29790.664749999993,0.3194812138728323,1.0,0.04141275204157045
600118,中国卫星,航空,2,2,27431.675,0.780931603773585,1.0,0.03813346108229919
002475,立讯精密,元器件,2,2,27098.627909999996,0.13063869748408594,1.0,0.037670483949291886
600584,长电科技,半导体,5,4,25321.56272000001,0.25526160163452777,0.8,0.035200140951149296
300058,蓝色光标,广告包装,2,2,20564.78520750001,0.18577306533341204,1.0,0.028587624940002523
300395,菲利华,玻璃,2,2,18365.813749999987,0.11353155447202398,1.0,0.025530779432184868
002812,恩捷股份,电气设备,3,3,17152.638499999997,0.2363970446735395,1.0,0.023844314016497233
603259,药明康德,化学制药,2,2,14430.378512500007,0.132366882629256,1.0,0.020060031967033203
601899,紫金矿业,铜,4,3,13076.157552500004,0.04043642111021345,0.75,0.018177495363818345
601138,工业富联,通信设备,4,2,12966.747870000003,0.02891551100550831,0.5,0.01802540221348609
688008,澜起科技,半导体,2,2,12873.801660000003,0.1296837936863158,1.0,0.017896195350187286
601919,中远海控,水运,2,1,12476.422069999991,0.08843178619901415,0.5,0.01734378799153473
603228,景旺电子,元器件,1,1,12152.876000000004,0.16584164847161578,1.0,0.01689401846529634
300408,三环集团,元器件,1,1,11925.384750000005,0.11726042035398235,1.0,0.01657777715927188
300274,阳光电源,电气设备,2,1,11916.594197499991,0.08489063952257848,0.5,0.016565557191236712
002896,中大力德,机械基件,1,1,10157.510519999998,0.45535060593060195,1.0,0.014120210745696884
000333,美的集团,家用电器,2,2,9756.958580000002,0.13113634722125117,1.0,0.013563393423552709
688498,源杰科技,半导体,1,1,8816.214999999997,0.08420453677172872,1.0,0.012255642121586897
002436,兴森科技,元器件,2,2,8430.947750000005,0.09699639430551875,1.0,0.011720072431286938
300255,常山药业,生物制药,1,1,8202.4075,0.13177828385065227,1.0,0.011402372883989365
300184,力源信息,元器件,1,1,7483.426999999998,0.2615119863013698,1.0,0.010402900014918044
002131,利欧股份,互联网,2,2,7148.327412500005,0.12153953400185055,1.0,0.009937069653533786
300803,指南针,软件服务,1,1,6937.458925000004,0.30103417186581993,1.0,0.00964393606757651
300308,中际旭创,通信设备,2,2,6738.354667500003,0.043180129059120435,1.0,0.009367156233508908
601288,农业银行,银行,4,3,6331.005457499996,0.01055647181493256,0.75,0.0088008898554463
300468,四方精创,软件服务,2,1,6111.117500000002,0.23744836271162828,0.5,0.008495218077481876
688525,佰维存储,半导体,2,1,6044.339500000007,0.03991336111111117,0.5,0.008402388300803872
601869,长飞光纤,通信设备,1,1,5859.489750000009,0.053924993097736136,1.0,0.008145424015987225
600362,江西铜业,铜,1,1,5468.081499999999,0.14197646310432568,1.0,0.007601317567195228
300760,迈瑞医疗,医疗保健,4,2,5347.785257500003,0.0427394731336232,0.5,0.00743409073610597
002463,沪电股份,元器件,1,1,4630.089825000002,0.04999710416559585,1.0,0.006436404271674517
000657,中钨高新,小金属,2,2,4628.051,0.06118233388788061,1.0,0.006433570049783539
300290,荣科科技,软件服务,1,1,4360.895,0.18269354838709678,1.0,0.006062189777565284
300757,罗博特科,专用机械,1,1,4281.143325000002,0.2343448703674511,1.0,0.005951324969096219
000338,潍柴动力,汽车配件,1,1,4264.099999999992,0.04823642533936643,1.0,0.005927632614524329
600176,中国巨石,玻璃,1,1,3981.691000000001,0.17937969094922743,1.0,0.0055350487635276
300641,正丹股份,化工原料,1,1,3944.1581000000024,0.3102826653030722,1.0,0.005482873335616043
601600,中国铝业,铝,1,1,3411.463715,0.05663875372165313,1.0,0.0047423614784597844
000988,华工科技,专用机械,1,1,3357.7168499999966,0.03286553115392405,1.0,0.004667646610163437
600938,中国海油,石油开采,2,1,3277.8437000000026,0.024254216744518865,0.5,0.004556612936242854
600309,万华化学,化工原料,1,1,3264.509885000008,0.026526160793307416,1.0,0.00453807726478346
000559,万向钱潮,汽车配件,1,1,3183.3345,0.3892558694057226,1.0,0.0044252333212496265
002607,中公教育,文教休闲,1,1,3183.0042500000072,0.049976515151515265,1.0,0.004424774232421761
