signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count,market_amount_ratio_20,market_liquidity_bucket,index_bucket,market_bs_ratio,market_avg_score,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,avg_vol_20,median_hist_mdd_20,top_industry,top_industry_weight,industry_count
2022-02-08,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,,,0
2022-02-08,2022-03-08,recent_champion,baseline_full_liquidity_detail_vol_position,-0.08548078254373581,10,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,白酒,0.3,7
2022-02-08,2022-03-08,balanced,baseline_full_liquidity_detail_market_gate,-0.09621513151871312,10,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,白酒,0.3,7
2022-02-08,2022-03-08,robust,baseline_full_liquidity_detail_vol_position,-0.08548078254373581,10,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,白酒,0.3,7
2022-02-08,2022-03-08,defensive,baseline_full_liquidity,-0.014912488367839417,10,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,塑料,0.2,9
2022-02-08,2022-03-08,fallback,baseline_full_liquidity,-0.014912488367839417,10,,,,0.0,0.0005999999999999956,0.0009999999999999929,50.1,50.1,49.9,50.1,0.029252172983972473,-0.10100231311803509,塑料,0.2,9
2022-02-09,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,,,0
2022-02-09,2022-03-09,recent_champion,baseline_full_liquidity_detail_vol_position,-0.09765504784339978,10,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,白酒,0.3,8
2022-02-09,2022-03-09,balanced,baseline_full_liquidity_detail_market_gate,-0.11150863612572304,10,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,白酒,0.3,8
2022-02-09,2022-03-09,robust,baseline_full_liquidity_detail_vol_position,-0.09765504784339978,10,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,白酒,0.3,8
2022-02-09,2022-03-09,defensive,baseline_full_liquidity,-0.03532477682992322,10,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,塑料,0.2,9
2022-02-09,2022-03-09,fallback,baseline_full_liquidity,-0.03532477682992322,10,,,,0.0,0.0005999999999999996,0.0009999999999999894,50.1,50.1,49.9,50.1,0.029221554787517,-0.08421484057692474,塑料,0.2,9
2022-02-10,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,,,0
2022-02-10,2022-03-10,recent_champion,baseline_full_liquidity_detail_vol_position,-0.02755579322543103,10,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,小金属,0.1,10
2022-02-10,2022-03-10,balanced,baseline_full_liquidity_detail_market_gate,-0.033961441633569456,10,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,小金属,0.1,10
2022-02-10,2022-03-10,robust,baseline_full_liquidity_detail_vol_position,-0.02755579322543103,10,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,小金属,0.1,10
2022-02-10,2022-03-10,defensive,baseline_full_liquidity,0.0022746421928708342,10,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,塑料,0.2,9
2022-02-10,2022-03-10,fallback,baseline_full_liquidity,0.0022746421928708342,10,,,,0.0,0.0005999999999999996,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028899274154207094,-0.08097964471029717,塑料,0.2,9
2022-02-11,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,,,0
2022-02-11,2022-03-11,recent_champion,baseline_full_liquidity_detail_vol_position,-0.05586753418982821,10,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,白酒,0.3,7
2022-02-11,2022-03-11,balanced,baseline_full_liquidity_detail_market_gate,-0.05297024389152807,10,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,白酒,0.3,7
2022-02-11,2022-03-11,robust,baseline_full_liquidity_detail_vol_position,-0.05586753418982821,10,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,白酒,0.3,7
2022-02-11,2022-03-11,defensive,baseline_full_liquidity,0.030344245611790617,10,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,塑料,0.2,9
2022-02-11,2022-03-11,fallback,baseline_full_liquidity,0.030344245611790617,10,,,,0.0,0.0005999999999999983,0.0009999999999999966,50.1,50.1,49.9,50.1,0.028846227528955996,-0.09409394577571423,塑料,0.2,9
