strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2025-02-05,000626,7700,5.84,5.87,5.85
vls_mom_contrarian_v1_frozen,2025-02-05,000768,1700,25.56,25.15,25.44
vls_mom_contrarian_v1_frozen,2025-02-05,000810,3700,12.25,12.46,12.1
vls_mom_contrarian_v1_frozen,2025-02-05,002011,4000,11.28,11.11,11.3
vls_mom_contrarian_v1_frozen,2025-02-05,002482,23400,1.95,1.96,1.94
vls_mom_contrarian_v1_frozen,2025-02-05,002768,1800,23.98,23.96,24.07
vls_mom_contrarian_v1_frozen,2025-02-05,601686,8600,5.27,5.26,5.26
vls_mom_contrarian_v1_frozen,2025-02-05,603232,3300,13.93,13.98,13.63
vls_mom_contrarian_v1_frozen,2025-02-05,605286,1400,31.65,31.09,31.48
vls_mom_contrarian_v1_frozen,2025-02-05,920476,4600,9.8,9.56,9.72
vls_mom_contrarian_v1_frozen,2025-02-06,000626,7700,5.85,5.88,5.87
vls_mom_contrarian_v1_frozen,2025-02-06,000768,1700,25.15,25.8,25.15
vls_mom_contrarian_v1_frozen,2025-02-06,000810,3700,12.4,13.71,12.46
vls_mom_contrarian_v1_frozen,2025-02-06,002011,4000,11.04,11.29,11.11
vls_mom_contrarian_v1_frozen,2025-02-06,002482,23400,1.95,1.98,1.96
vls_mom_contrarian_v1_frozen,2025-02-06,002768,1800,23.9,24.2,23.96
vls_mom_contrarian_v1_frozen,2025-02-06,601686,8600,5.25,5.32,5.26
vls_mom_contrarian_v1_frozen,2025-02-06,603232,3300,13.94,14.35,13.98
vls_mom_contrarian_v1_frozen,2025-02-06,605286,1400,31.16,31.47,31.09
vls_mom_contrarian_v1_frozen,2025-02-06,920476,4600,9.56,9.9,9.56
vls_mom_contrarian_v1_frozen,2025-02-07,000626,7700,5.87,6.07,5.88
vls_mom_contrarian_v1_frozen,2025-02-07,000768,1700,25.74,25.85,25.8
vls_mom_contrarian_v1_frozen,2025-02-07,000810,3700,14.1,14.22,13.71
vls_mom_contrarian_v1_frozen,2025-02-07,002011,4000,11.33,11.41,11.29
vls_mom_contrarian_v1_frozen,2025-02-07,002482,23400,1.97,2.01,1.98
vls_mom_contrarian_v1_frozen,2025-02-07,002768,1800,24.18,23.9,24.2
vls_mom_contrarian_v1_frozen,2025-02-07,601686,8600,5.33,5.38,5.32
vls_mom_contrarian_v1_frozen,2025-02-07,603232,3300,14.33,14.58,14.35
vls_mom_contrarian_v1_frozen,2025-02-07,605286,1400,31.31,31.38,31.47
vls_mom_contrarian_v1_frozen,2025-02-07,920476,4600,9.85,10.23,9.9
vls_mom_contrarian_v1_frozen,2025-02-10,000626,7700,6.0,5.88,6.07
vls_mom_contrarian_v1_frozen,2025-02-10,000768,1700,25.83,25.82,25.85
vls_mom_contrarian_v1_frozen,2025-02-10,000810,3700,14.26,14.83,14.22
vls_mom_contrarian_v1_frozen,2025-02-10,002011,4000,11.38,11.4,11.41
vls_mom_contrarian_v1_frozen,2025-02-10,002482,23400,2.01,2.06,2.01
vls_mom_contrarian_v1_frozen,2025-02-10,002768,1800,23.91,23.63,23.9
vls_mom_contrarian_v1_frozen,2025-02-10,601686,8600,5.38,5.41,5.38
vls_mom_contrarian_v1_frozen,2025-02-10,603232,3300,14.64,14.98,14.58
vls_mom_contrarian_v1_frozen,2025-02-10,605286,1400,31.38,31.7,31.38
vls_mom_contrarian_v1_frozen,2025-02-10,920476,4600,10.26,10.55,10.23
vls_mom_contrarian_v1_frozen,2025-02-11,000626,7700,5.85,5.72,5.88
vls_mom_contrarian_v1_frozen,2025-02-11,000768,1700,25.8,25.38,25.82
vls_mom_contrarian_v1_frozen,2025-02-11,000810,3700,14.7,14.46,14.83
vls_mom_contrarian_v1_frozen,2025-02-11,002011,4000,11.45,11.55,11.4
vls_mom_contrarian_v1_frozen,2025-02-11,002482,23400,2.07,2.04,2.06
vls_mom_contrarian_v1_frozen,2025-02-11,002768,1800,23.61,23.87,23.63
