strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2025-02-05,000401,,水泥,9100,2025-02-05,1,4.74,43134.0,0.087620580587684
vls_mom_contrarian_v1_frozen,2025-02-05,000786,,其他建材,1400,2025-02-05,1,30.02,42028.0,0.08537389903415364
vls_mom_contrarian_v1_frozen,2025-02-05,002554,,石油开采,18700,2025-02-05,1,2.46,46002.0,0.09344651430877357
vls_mom_contrarian_v1_frozen,2025-02-05,002589,,医药商业,16400,2025-02-05,1,2.81,46084.0,0.09361308563552719
vls_mom_contrarian_v1_frozen,2025-02-05,002635,,元器件,2900,2025-02-05,1,15.33,44457.0,0.09030806674981842
vls_mom_contrarian_v1_frozen,2025-02-05,600257,,渔业,9500,2025-02-05,1,4.74,45030.0,0.09147203467945034
vls_mom_contrarian_v1_frozen,2025-02-05,600663,,园区开发,5000,2025-02-05,1,8.86,44300.0,0.08998914359981457
vls_mom_contrarian_v1_frozen,2025-02-05,600734,,软件服务,11300,2025-02-05,1,4.07,45991.0,0.09342416937469687
vls_mom_contrarian_v1_frozen,2025-02-05,603108,,医药商业,2700,2025-02-05,1,17.08,46115.99999999999,0.09367808908011394
vls_mom_contrarian_v1_frozen,2025-02-05,603256,,玻璃,5200,2025-02-05,1,8.51,44252.0,0.0898916384329344
vls_mom_contrarian_v1_frozen,2025-02-06,000401,,水泥,9100,2025-02-05,2,4.77,43406.99999999999,0.08704561017400785
vls_mom_contrarian_v1_frozen,2025-02-06,000786,,其他建材,1400,2025-02-05,2,29.31,41034.0,0.0822869483696233
vls_mom_contrarian_v1_frozen,2025-02-06,002554,,石油开采,18700,2025-02-05,2,2.49,46563.00000000001,0.0933744498936192
vls_mom_contrarian_v1_frozen,2025-02-06,002589,,医药商业,16400,2025-02-05,2,2.84,46576.0,0.09340051925875066
vls_mom_contrarian_v1_frozen,2025-02-06,002635,,元器件,2900,2025-02-05,2,16.15,46834.99999999999,0.09391990122560089
vls_mom_contrarian_v1_frozen,2025-02-06,600257,,渔业,9500,2025-02-05,2,4.77,45314.99999999999,0.09087179084099721
vls_mom_contrarian_v1_frozen,2025-02-06,600663,,园区开发,5000,2025-02-05,2,8.93,44650.0,0.08953824254773311
vls_mom_contrarian_v1_frozen,2025-02-06,600734,,软件服务,11300,2025-02-05,2,4.12,46556.0,0.09336041254316378
vls_mom_contrarian_v1_frozen,2025-02-06,603108,,医药商业,2700,2025-02-05,2,17.42,47034.00000000001,0.09431896304569047
vls_mom_contrarian_v1_frozen,2025-02-06,603256,,玻璃,5200,2025-02-05,2,8.81,45812.0,0.09186844272333144
vls_mom_contrarian_v1_frozen,2025-02-07,000401,,水泥,9100,2025-02-05,3,4.88,44408.0,0.08753784167613317
vls_mom_contrarian_v1_frozen,2025-02-07,000786,,其他建材,1400,2025-02-05,3,29.46,41244.0,0.08130090844195721
vls_mom_contrarian_v1_frozen,2025-02-07,002554,,石油开采,18700,2025-02-05,3,2.52,47124.0,0.09289166931962933
vls_mom_contrarian_v1_frozen,2025-02-07,002589,,医药商业,16400,2025-02-05,3,2.88,47232.0,0.09310456084595392
vls_mom_contrarian_v1_frozen,2025-02-07,002635,,元器件,2900,2025-02-05,3,16.26,47154.00000000001,0.0929508058547195
vls_mom_contrarian_v1_frozen,2025-02-07,600257,,渔业,9500,2025-02-05,3,4.81,45694.99999999999,0.09007479903150117
vls_mom_contrarian_v1_frozen,2025-02-07,600663,,园区开发,5000,2025-02-05,3,9.03,45150.0,0.08900048531069654
vls_mom_contrarian_v1_frozen,2025-02-07,600734,,软件服务,11300,2025-02-05,3,4.17,47121.0,0.09288575566612031
vls_mom_contrarian_v1_frozen,2025-02-07,603108,,医药商业,2700,2025-02-05,3,18.91,51057.0,0.10064446906994981
vls_mom_contrarian_v1_frozen,2025-02-07,603256,,玻璃,5200,2025-02-05,3,8.89,46228.0,0.09112545813826976
vls_mom_contrarian_v1_frozen,2025-02-10,000401,,水泥,9100,2025-02-05,4,5.03,45773.0,0.08845253113970497
vls_mom_contrarian_v1_frozen,2025-02-10,000786,,其他建材,1400,2025-02-05,4,29.4,41160.0,0.07953829073275198
vls_mom_contrarian_v1_frozen,2025-02-10,002554,,石油开采,18700,2025-02-05,4,2.56,47872.0,0.09250867478032807
vls_mom_contrarian_v1_frozen,2025-02-10,002589,,医药商业,16400,2025-02-05,4,2.97,48708.0,0.09412417553476395
vls_mom_contrarian_v1_frozen,2025-02-10,002635,,元器件,2900,2025-02-05,4,16.2,46980.0,0.09078495866435103
vls_mom_contrarian_v1_frozen,2025-02-10,600257,,渔业,9500,2025-02-05,4,4.94,46930.00000000001,0.09068833780583214
vls_mom_contrarian_v1_frozen,2025-02-10,600663,,园区开发,5000,2025-02-05,4,9.14,45700.0,0.0883114646862674
vls_mom_contrarian_v1_frozen,2025-02-10,600734,,软件服务,11300,2025-02-05,4,4.28,48364.0,0.09345942402815396
vls_mom_contrarian_v1_frozen,2025-02-10,603108,,医药商业,2700,2025-02-05,4,20.0,54000.0,0.10435052720040348
vls_mom_contrarian_v1_frozen,2025-02-10,603256,,玻璃,5200,2025-02-05,4,9.06,47112.0,0.0910400377308409
vls_mom_contrarian_v1_frozen,2025-02-11,000401,,水泥,9100,2025-02-05,5,4.96,45136.0,0.0879265411363856
vls_mom_contrarian_v1_frozen,2025-02-11,000786,,其他建材,1400,2025-02-05,5,29.43,41202.0,0.08026296853733958
vls_mom_contrarian_v1_frozen,2025-02-11,002554,,石油开采,18700,2025-02-05,5,2.55,47685.0,0.09289208423627585
vls_mom_contrarian_v1_frozen,2025-02-11,002589,,医药商业,16400,2025-02-05,5,2.93,48052.0,0.09360701335265864
vls_mom_contrarian_v1_frozen,2025-02-11,002635,,元器件,2900,2025-02-05,5,16.36,47444.0,0.09242260762306535
vls_mom_contrarian_v1_frozen,2025-02-11,600257,,渔业,9500,2025-02-05,5,4.87,46265.0,0.0901258734862389
vls_mom_contrarian_v1_frozen,2025-02-11,600663,,园区开发,5000,2025-02-05,5,9.08,45400.0,0.08844082257160372
vls_mom_contrarian_v1_frozen,2025-02-11,600734,,软件服务,11300,2025-02-05,5,4.11,46443.0,0.09047262384786325
vls_mom_contrarian_v1_frozen,2025-02-11,603108,,医药商业,2700,2025-02-05,5,19.97,53919.0,0.10503613903608593
vls_mom_contrarian_v1_frozen,2025-02-11,603256,,玻璃,5200,2025-02-05,5,9.02,46904.0,0.09137066832375552
vls_mom_contrarian_v1_frozen,2025-02-12,000401,,水泥,9100,2025-02-05,6,4.96,45136.0,0.08726424502631286
vls_mom_contrarian_v1_frozen,2025-02-12,000786,,其他建材,1400,2025-02-05,6,29.52,41328.0,0.0799020010290557
vls_mom_contrarian_v1_frozen,2025-02-12,002554,,石油开采,18700,2025-02-05,6,2.54,47498.0,0.0918308470015023
vls_mom_contrarian_v1_frozen,2025-02-12,002589,,医药商业,16400,2025-02-05,6,2.94,48216.0,0.09321900120056498
vls_mom_contrarian_v1_frozen,2025-02-12,002635,,元器件,2900,2025-02-05,6,16.5,47850.0,0.09251139056427399
vls_mom_contrarian_v1_frozen,2025-02-12,600257,,渔业,9500,2025-02-05,6,4.86,46170.0,0.08926334174195465
vls_mom_contrarian_v1_frozen,2025-02-12,600663,,园区开发,5000,2025-02-05,6,9.24,46200.0,0.08932134261378177
vls_mom_contrarian_v1_frozen,2025-02-12,600734,,软件服务,11300,2025-02-05,6,4.21,47573.0,0.09197584918107014
vls_mom_contrarian_v1_frozen,2025-02-12,603108,,医药商业,2700,2025-02-05,6,20.41,55107.0,0.10654180145925697
vls_mom_contrarian_v1_frozen,2025-02-12,603256,,玻璃,5200,2025-02-05,6,9.09,47268.0,0.09138617365082764
vls_mom_contrarian_v1_frozen,2025-02-13,000401,,水泥,9100,2025-02-05,7,5.04,45864.0,0.0892464828885815
vls_mom_contrarian_v1_frozen,2025-02-13,000786,,其他建材,1400,2025-02-05,7,30.18,42252.0,0.08221791372336354
vls_mom_contrarian_v1_frozen,2025-02-13,002554,,石油开采,18700,2025-02-05,7,2.53,47310.99999999999,0.09206219152149134
vls_mom_contrarian_v1_frozen,2025-02-13,002589,,医药商业,16400,2025-02-05,7,2.92,47888.0,0.09318497236543674
vls_mom_contrarian_v1_frozen,2025-02-13,002635,,元器件,2900,2025-02-05,7,16.09,46661.0,0.09079736041479376
vls_mom_contrarian_v1_frozen,2025-02-13,600257,,渔业,9500,2025-02-05,7,4.92,46740.0,0.09095108604160779
vls_mom_contrarian_v1_frozen,2025-02-13,600663,,园区开发,5000,2025-02-05,7,9.23,46150.0,0.08980300857552843
vls_mom_contrarian_v1_frozen,2025-02-13,600734,,软件服务,11300,2025-02-05,7,4.08,46104.0,0.08971349745105445
vls_mom_contrarian_v1_frozen,2025-02-13,603108,,医药商业,2700,2025-02-05,7,19.99,53972.99999999999,0.10502573741813642
vls_mom_contrarian_v1_frozen,2025-02-13,603256,,玻璃,5200,2025-02-05,7,8.86,46072.0,0.08965122884272472
vls_mom_contrarian_v1_frozen,2025-02-14,000401,,水泥,9100,2025-02-05,8,5.01,45591.0,0.08725773944493743
vls_mom_contrarian_v1_frozen,2025-02-14,000786,,其他建材,1400,2025-02-05,8,29.8,41720.0,0.07984893706307802
vls_mom_contrarian_v1_frozen,2025-02-14,002554,,石油开采,18700,2025-02-05,8,2.51,46936.99999999999,0.08983388204529465
vls_mom_contrarian_v1_frozen,2025-02-14,002589,,医药商业,16400,2025-02-05,8,2.98,48872.0,0.0935373262738914
vls_mom_contrarian_v1_frozen,2025-02-14,002635,,元器件,2900,2025-02-05,8,16.09,46661.0,0.08930563883749482
vls_mom_contrarian_v1_frozen,2025-02-14,600257,,渔业,9500,2025-02-05,8,4.88,46360.0,0.08872954751304643
vls_mom_contrarian_v1_frozen,2025-02-14,600663,,园区开发,5000,2025-02-05,8,9.18,45900.0,0.08784914216671336
vls_mom_contrarian_v1_frozen,2025-02-14,600734,,软件服务,11300,2025-02-05,8,4.49,50737.0,0.09710679577587224
vls_mom_contrarian_v1_frozen,2025-02-14,603108,,医药商业,2700,2025-02-05,8,21.99,59372.99999999999,0.11363544919094273
vls_mom_contrarian_v1_frozen,2025-02-14,603256,,玻璃,5200,2025-02-05,8,8.74,45448.0,0.0869840482177078
vls_mom_contrarian_v1_frozen,2025-02-17,000401,,水泥,9100,2025-02-05,9,4.96,45136.0,0.08559433717633681
vls_mom_contrarian_v1_frozen,2025-02-17,000786,,其他建材,1400,2025-02-05,9,29.15,40810.0,0.07739066155987029
vls_mom_contrarian_v1_frozen,2025-02-17,002554,,石油开采,18700,2025-02-05,9,2.55,47685.0,0.09042817193046838
vls_mom_contrarian_v1_frozen,2025-02-17,002589,,医药商业,16400,2025-02-05,9,3.09,50676.0,0.09610020007860785
vls_mom_contrarian_v1_frozen,2025-02-17,002635,,元器件,2900,2025-02-05,9,16.09,46661.0,0.08848629402217857
vls_mom_contrarian_v1_frozen,2025-02-17,600257,,渔业,9500,2025-02-05,9,4.98,47310.00000000001,0.08971703500116304
vls_mom_contrarian_v1_frozen,2025-02-17,600663,,园区开发,5000,2025-02-05,9,9.11,45550.0,0.08637943234628992
vls_mom_contrarian_v1_frozen,2025-02-17,600734,,软件服务,11300,2025-02-05,9,4.46,50398.0,0.09557301056834949
vls_mom_contrarian_v1_frozen,2025-02-17,603108,,医药商业,2700,2025-02-05,9,22.61,61047.0,0.11576740299547664
vls_mom_contrarian_v1_frozen,2025-02-17,603256,,玻璃,5200,2025-02-05,9,9.07,47164.0,0.08944016569002014
vls_mom_contrarian_v1_frozen,2025-02-18,000401,,水泥,9100,2025-02-05,10,4.86,44226.0,0.08662005436453095
vls_mom_contrarian_v1_frozen,2025-02-18,000786,,其他建材,1400,2025-02-05,10,28.83,40362.0,0.07905211039346083
vls_mom_contrarian_v1_frozen,2025-02-18,002554,,石油开采,18700,2025-02-05,10,2.5,46750.0,0.09156350430836661
vls_mom_contrarian_v1_frozen,2025-02-18,002589,,医药商业,16400,2025-02-05,10,2.97,48708.0,0.09539839931234056
vls_mom_contrarian_v1_frozen,2025-02-18,002635,,元器件,2900,2025-02-05,10,16.14,46806.0,0.09167318465577343
vls_mom_contrarian_v1_frozen,2025-02-18,600257,,渔业,9500,2025-02-05,10,4.82,45790.0,0.08968326978139267
vls_mom_contrarian_v1_frozen,2025-02-18,600663,,园区开发,5000,2025-02-05,10,8.92,44600.0,0.08735256239899788
