split,factor,horizon,mean_ic,ic_std,ic_ir,positive_ic_ratio,n_days
pre_history_2020_2021,liquidity,5,0.02955416699736164,0.15165542309913518,0.19487708644644028,0.5735294117647058,408
pre_history_2020_2021,liquidity,10,0.0442588801520415,0.16017324463421162,0.27631880875682896,0.625,408
pre_history_2020_2021,liquidity,20,0.06131394391997279,0.16346873046567906,0.3750805658385284,0.7156862745098039,408
pre_history_2020_2021,liquidity,40,0.07919007573740479,0.17052975419194008,0.46437688315830356,0.75,408
pre_history_2020_2021,market_beta,5,-0.0033935083714653077,0.11867598359265698,-0.028594735587894292,0.49754901960784315,408
pre_history_2020_2021,market_beta,10,-0.004895383943117853,0.10841897358686522,-0.045152465303461606,0.4852941176470588,408
pre_history_2020_2021,market_beta,20,-0.004426950010352105,0.11013988944821412,-0.04019388463644301,0.4583333333333333,408
pre_history_2020_2021,market_beta,40,-0.009278121846918463,0.09469374233440485,-0.09798030596523868,0.5098039215686274,408
pre_history_2020_2021,momentum,5,-0.026549620839030216,0.12703414022002477,-0.20899595016777325,0.41421568627450983,408
pre_history_2020_2021,momentum,10,-0.034844613523437935,0.12391890617777282,-0.28118884033280767,0.4068627450980392,408
pre_history_2020_2021,momentum,20,-0.053554066001834114,0.10465949211401224,-0.5116981261813718,0.2769607843137255,408
pre_history_2020_2021,momentum,40,-0.06712943205617919,0.12244179326435786,-0.5482558713530391,0.3553921568627451,408
pre_history_2020_2021,score,5,0.015426254275420333,0.1667212724155731,0.09252721054676522,0.5122549019607843,408
pre_history_2020_2021,score,10,0.022879080159547864,0.1744369031159732,0.13115963280050244,0.553921568627451,408
pre_history_2020_2021,score,20,0.034655237988247746,0.1865447253884743,0.18577441906266262,0.6053921568627451,408
pre_history_2020_2021,score,40,0.052429709900312094,0.20195500850962836,0.25961084247045285,0.6078431372549019,408
pre_history_2020_2021,size,5,0.014565485124084851,0.14887547679747426,0.09783669841003634,0.553921568627451,408
pre_history_2020_2021,size,10,0.019745188548074492,0.1542332234888954,0.12802162920167534,0.5882352941176471,408
pre_history_2020_2021,size,20,0.024405579658451432,0.1603836986602938,0.15216995157434612,0.5955882352941176,408
pre_history_2020_2021,size,40,0.02958229232703695,0.17496059458699348,0.16907974276646684,0.5808823529411765,408
pre_history_2020_2021,value,5,-0.02396844805356612,0.14958712758024328,-0.160230685897145,0.3897058823529412,408
pre_history_2020_2021,value,10,-0.03027565935550795,0.15218252895420745,-0.198943068981447,0.38235294117647056,408
pre_history_2020_2021,value,20,-0.03271600296152906,0.1579555512294129,-0.2071215776013639,0.39215686274509803,408
pre_history_2020_2021,value,40,-0.020157654282796013,0.15119444002782112,-0.13332272191415787,0.49754901960784315,408
pre_history_2020_2021,volatility,5,0.06459479054468467,0.1410262156574068,0.4580339211654376,0.6446078431372549,408
pre_history_2020_2021,volatility,10,0.08220885251067821,0.12926198939925415,0.6359862856261483,0.7230392156862745,408
pre_history_2020_2021,volatility,20,0.10064026992833401,0.13629398917510788,0.7384057839779958,0.7573529411764706,408
pre_history_2020_2021,volatility,40,0.11306488014447717,0.14472519715720883,0.781238390863338,0.7352941176470589,408
validation_2022,liquidity,5,0.03457200568786951,0.11462330504068684,0.3016141060982126,0.6611570247933884,242
validation_2022,liquidity,10,0.0486592952412253,0.10266088845239454,0.47398085068968965,0.7148760330578512,242
validation_2022,liquidity,20,0.07261904489849945,0.10068449547482193,0.7212535014058765,0.7479338842975206,242
validation_2022,liquidity,40,0.10423218827929791,0.09917490076061265,1.0509936231838788,0.859504132231405,242
validation_2022,market_beta,5,0.024165449745107606,0.15489205064105072,0.1560147834901418,0.5702479338842975,242
validation_2022,market_beta,10,0.037603805126110876,0.1469388266926141,0.2559146957446138,0.5578512396694215,242
validation_2022,market_beta,20,0.058188902985418706,0.15312437494961922,0.3800107135429218,0.6363636363636364,242
validation_2022,market_beta,40,0.05292255328224305,0.1362489016780876,0.3884255405396372,0.6239669421487604,242
validation_2022,momentum,5,-0.04148655073822594,0.1343504828886785,-0.30879346204212227,0.39669421487603307,242
validation_2022,momentum,10,-0.05473410852244061,0.127990635284489,-0.4276415098712597,0.359504132231405,242
validation_2022,momentum,20,-0.0895537045678667,0.13249153026878818,-0.6759202221167446,0.28512396694214875,242
validation_2022,momentum,40,-0.10104905993565051,0.14495804428361167,-0.6970917718643275,0.2727272727272727,242
validation_2022,score,5,0.02458804647695098,0.12306518875540609,0.19979692653639114,0.5743801652892562,242
validation_2022,score,10,0.028949183470802973,0.11824664471022961,0.2448203375389184,0.6198347107438017,242
validation_2022,score,20,0.048807323482519344,0.12452141084647074,0.3919592875694009,0.7024793388429752,242
validation_2022,score,40,0.0742002496674458,0.11682209489107921,0.6351559586106335,0.7231404958677686,242
validation_2022,size,5,0.01528082778185814,0.12513397641321872,0.12211573722709515,0.5661157024793388,242
validation_2022,size,10,0.017887629594093304,0.11631846017364193,0.15378151986701324,0.5909090909090909,242
validation_2022,size,20,0.030371233280520882,0.11401264452736086,0.26638478044628083,0.6074380165289256,242
validation_2022,size,40,0.05188958852677418,0.11125437629294077,0.466404920469332,0.6900826446280992,242
validation_2022,value,5,-0.018312721635123964,0.14547682449758997,-0.12588068029645053,0.4090909090909091,242
validation_2022,value,10,-0.032105283528378006,0.1470277942081659,-0.21836200224103536,0.3925619834710744,242
validation_2022,value,20,-0.04514535079646335,0.15776832075338273,-0.2861496565399387,0.371900826446281,242
validation_2022,value,40,-0.045755298104122565,0.1526661774293462,-0.29970815326988903,0.45041322314049587,242
validation_2022,volatility,5,0.06469498768558582,0.1428974448616931,0.4527371902849803,0.6735537190082644,242
validation_2022,volatility,10,0.0799565858992301,0.1326301725392714,0.6028536672193139,0.7148760330578512,242
validation_2022,volatility,20,0.09118032194261746,0.13448993407903037,0.6779713483169464,0.7272727272727273,242
validation_2022,volatility,40,0.10907066900559165,0.10960038390087098,0.9951668518263728,0.8140495867768595,242
oos1_2023,liquidity,5,0.06993433704536571,0.16051793628548927,0.4356792683964236,0.640495867768595,242
oos1_2023,liquidity,10,0.10098872292998054,0.16215176657516506,0.6228037169312458,0.7272727272727273,242
oos1_2023,liquidity,20,0.14047924378049098,0.16454770019448436,0.8537296091920696,0.8057851239669421,242
