strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2024-01-03,002021,17900,2.4,2.4,2.53
vls_mom_contrarian_v1_frozen,2024-01-03,600589,13500,3.52,3.52,3.35
vls_mom_contrarian_v1_frozen,2024-01-03,603030,16300,2.77,2.8,2.78
vls_mom_contrarian_v1_frozen,2024-01-03,920061,1500,28.84,27.45,29.35
vls_mom_contrarian_v1_frozen,2024-01-03,920198,3800,11.55,11.29,11.8
vls_mom_contrarian_v1_frozen,2024-01-03,920284,3100,14.48,14.1,14.52
vls_mom_contrarian_v1_frozen,2024-01-03,920375,2000,22.4,23.8,22.39
vls_mom_contrarian_v1_frozen,2024-01-03,920396,2500,20.03,19.96,18.03
vls_mom_contrarian_v1_frozen,2024-01-03,920547,1400,31.3,31.86,31.33
vls_mom_contrarian_v1_frozen,2024-01-03,920765,4700,9.69,9.84,9.64
vls_mom_contrarian_v1_frozen,2024-01-04,002021,17900,2.28,2.28,2.4
vls_mom_contrarian_v1_frozen,2024-01-04,600589,13500,3.7,3.7,3.52
vls_mom_contrarian_v1_frozen,2024-01-04,603030,16300,2.79,2.84,2.8
vls_mom_contrarian_v1_frozen,2024-01-04,920061,1500,27.47,28.0,27.45
vls_mom_contrarian_v1_frozen,2024-01-04,920198,3800,11.11,11.23,11.29
vls_mom_contrarian_v1_frozen,2024-01-04,920284,3100,14.1,13.97,14.1
vls_mom_contrarian_v1_frozen,2024-01-04,920375,2000,23.86,23.81,23.8
vls_mom_contrarian_v1_frozen,2024-01-04,920396,2500,19.19,19.13,19.96
vls_mom_contrarian_v1_frozen,2024-01-04,920547,1400,31.86,32.32,31.86
vls_mom_contrarian_v1_frozen,2024-01-04,920765,4700,9.84,9.83,9.84
vls_mom_contrarian_v1_frozen,2024-01-05,002021,17900,2.17,2.17,2.28
vls_mom_contrarian_v1_frozen,2024-01-05,600589,13500,3.89,3.89,3.7
vls_mom_contrarian_v1_frozen,2024-01-05,603030,16300,2.82,2.77,2.84
vls_mom_contrarian_v1_frozen,2024-01-05,920061,1500,27.9,25.84,28.0
vls_mom_contrarian_v1_frozen,2024-01-05,920198,3800,11.26,10.12,11.23
vls_mom_contrarian_v1_frozen,2024-01-05,920284,3100,14.29,14.05,13.97
vls_mom_contrarian_v1_frozen,2024-01-05,920375,2000,24.2,22.49,23.81
vls_mom_contrarian_v1_frozen,2024-01-05,920396,2500,18.9,16.39,19.13
vls_mom_contrarian_v1_frozen,2024-01-05,920547,1400,32.5,30.13,32.32
vls_mom_contrarian_v1_frozen,2024-01-05,920765,4700,9.84,9.13,9.83
vls_mom_contrarian_v1_frozen,2024-01-08,002021,17900,2.08,2.06,2.17
vls_mom_contrarian_v1_frozen,2024-01-08,600589,13500,3.86,3.7,3.89
vls_mom_contrarian_v1_frozen,2024-01-08,603030,16300,2.76,2.65,2.77
vls_mom_contrarian_v1_frozen,2024-01-08,920061,1500,26.04,24.44,25.84
vls_mom_contrarian_v1_frozen,2024-01-08,920198,3800,10.16,9.44,10.12
