strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2020-08-31,002992,1200,35.03,35.18,35.04
vls_mom_contrarian_v1_frozen,2020-08-31,002993,500,83.32,88.06,80.05
vls_mom_contrarian_v1_frozen,2020-08-31,002995,600,67.58,68.22,68.57
vls_mom_contrarian_v1_frozen,2020-08-31,600234,5100,8.82,8.92,8.85
vls_mom_contrarian_v1_frozen,2020-08-31,605066,2900,15.7,15.85,15.67
vls_mom_contrarian_v1_frozen,2020-08-31,605088,2000,21.87,22.17,21.77
vls_mom_contrarian_v1_frozen,2020-08-31,605118,2100,20.66,20.66,20.72
vls_mom_contrarian_v1_frozen,2020-08-31,605318,2000,21.96,22.06,21.8
vls_mom_contrarian_v1_frozen,2020-08-31,605366,3000,15.16,14.96,15.13
vls_mom_contrarian_v1_frozen,2020-08-31,605399,2100,20.95,21.04,20.96
vls_mom_contrarian_v1_frozen,2020-09-01,002992,1200,35.1,36.2,35.18
vls_mom_contrarian_v1_frozen,2020-09-01,002993,500,87.82,87.7,88.06
vls_mom_contrarian_v1_frozen,2020-09-01,002995,600,67.75,69.53,68.22
vls_mom_contrarian_v1_frozen,2020-09-01,600234,5100,8.89,8.81,8.92
vls_mom_contrarian_v1_frozen,2020-09-01,605066,2900,15.9,15.59,15.85
vls_mom_contrarian_v1_frozen,2020-09-01,605088,2000,21.99,21.9,22.17
vls_mom_contrarian_v1_frozen,2020-09-01,605118,2100,20.7,20.29,20.66
vls_mom_contrarian_v1_frozen,2020-09-01,605318,2000,22.0,22.42,22.06
vls_mom_contrarian_v1_frozen,2020-09-01,605366,3000,14.9,14.82,14.96
vls_mom_contrarian_v1_frozen,2020-09-01,605399,2100,20.98,20.8,21.04
vls_mom_contrarian_v1_frozen,2020-09-02,002992,1200,35.9,36.14,36.2
vls_mom_contrarian_v1_frozen,2020-09-02,002993,500,90.99,93.98,87.7
vls_mom_contrarian_v1_frozen,2020-09-02,002995,600,69.49,68.1,69.53
vls_mom_contrarian_v1_frozen,2020-09-02,600234,5100,8.77,9.11,8.81
vls_mom_contrarian_v1_frozen,2020-09-02,605066,2900,15.53,15.45,15.59
vls_mom_contrarian_v1_frozen,2020-09-02,605088,2000,21.94,21.6,21.9
vls_mom_contrarian_v1_frozen,2020-09-02,605118,2100,20.3,20.05,20.29
vls_mom_contrarian_v1_frozen,2020-09-02,605318,2000,22.24,21.78,22.42
vls_mom_contrarian_v1_frozen,2020-09-02,605366,3000,15.0,14.99,14.82
vls_mom_contrarian_v1_frozen,2020-09-02,605399,2100,20.88,20.72,20.8
vls_mom_contrarian_v1_frozen,2020-09-03,002992,1200,36.14,37.01,36.14
vls_mom_contrarian_v1_frozen,2020-09-03,002993,500,97.01,97.0,93.98
vls_mom_contrarian_v1_frozen,2020-09-03,002995,600,67.77,65.38,68.1
vls_mom_contrarian_v1_frozen,2020-09-03,600234,5100,9.07,9.19,9.11
vls_mom_contrarian_v1_frozen,2020-09-03,605066,2900,15.56,15.33,15.45
vls_mom_contrarian_v1_frozen,2020-09-03,605088,2000,21.64,21.54,21.6
vls_mom_contrarian_v1_frozen,2020-09-03,605118,2100,20.0,19.71,20.05
vls_mom_contrarian_v1_frozen,2020-09-03,605318,2000,21.65,21.38,21.78
vls_mom_contrarian_v1_frozen,2020-09-03,605366,3000,14.94,14.65,14.99
vls_mom_contrarian_v1_frozen,2020-09-03,605399,2100,20.59,20.33,20.72
vls_mom_contrarian_v1_frozen,2020-09-04,002992,1200,36.7,37.34,37.01
vls_mom_contrarian_v1_frozen,2020-09-04,002993,500,92.0,91.94,97.0
vls_mom_contrarian_v1_frozen,2020-09-04,002995,600,64.13,64.74,65.38
vls_mom_contrarian_v1_frozen,2020-09-04,600234,5100,8.99,9.2,9.19
vls_mom_contrarian_v1_frozen,2020-09-04,605066,2900,15.2,15.09,15.33
vls_mom_contrarian_v1_frozen,2020-09-04,605088,2000,21.11,21.28,21.54
vls_mom_contrarian_v1_frozen,2020-09-04,605118,2100,19.36,19.94,19.71
vls_mom_contrarian_v1_frozen,2020-09-04,605318,2000,21.18,21.66,21.38
vls_mom_contrarian_v1_frozen,2020-09-04,605366,3000,14.47,14.71,14.65
vls_mom_contrarian_v1_frozen,2020-09-04,605399,2100,20.01,20.75,20.33
vls_mom_contrarian_v1_frozen,2020-09-07,002992,1200,37.0,35.6,37.34
vls_mom_contrarian_v1_frozen,2020-09-07,002993,500,95.42,90.0,91.94
vls_mom_contrarian_v1_frozen,2020-09-07,002995,600,64.73,63.52,64.74
vls_mom_contrarian_v1_frozen,2020-09-07,600234,5100,9.06,9.34,9.2
vls_mom_contrarian_v1_frozen,2020-09-07,605066,2900,15.09,14.66,15.09
vls_mom_contrarian_v1_frozen,2020-09-07,605088,2000,21.32,21.58,21.28
vls_mom_contrarian_v1_frozen,2020-09-07,605118,2100,20.1,20.31,19.94
vls_mom_contrarian_v1_frozen,2020-09-07,605318,2000,21.47,21.22,21.66
vls_mom_contrarian_v1_frozen,2020-09-07,605366,3000,14.64,14.38,14.71
vls_mom_contrarian_v1_frozen,2020-09-07,605399,2100,20.76,20.39,20.75
vls_mom_contrarian_v1_frozen,2020-09-08,002992,1200,35.3,34.49,35.6
vls_mom_contrarian_v1_frozen,2020-09-08,002993,500,92.63,92.75,90.0
vls_mom_contrarian_v1_frozen,2020-09-08,002995,600,63.53,63.17,63.52
vls_mom_contrarian_v1_frozen,2020-09-08,600234,5100,9.34,9.5,9.34
vls_mom_contrarian_v1_frozen,2020-09-08,605066,2900,14.71,14.95,14.66
vls_mom_contrarian_v1_frozen,2020-09-08,605088,2000,21.53,21.06,21.58
vls_mom_contrarian_v1_frozen,2020-09-08,605118,2100,20.3,19.74,20.31
vls_mom_contrarian_v1_frozen,2020-09-08,605318,2000,21.23,21.36,21.22
vls_mom_contrarian_v1_frozen,2020-09-08,605366,3000,14.65,14.65,14.38
vls_mom_contrarian_v1_frozen,2020-09-08,605399,2100,20.4,20.33,20.39
vls_mom_contrarian_v1_frozen,2020-09-09,002992,1200,34.0,33.06,34.49
vls_mom_contrarian_v1_frozen,2020-09-09,002993,500,87.1,85.01,92.75
vls_mom_contrarian_v1_frozen,2020-09-09,002995,600,61.99,59.62,63.17
vls_mom_contrarian_v1_frozen,2020-09-09,600234,5100,9.45,9.21,9.5
vls_mom_contrarian_v1_frozen,2020-09-09,605066,2900,14.7,14.45,14.95
vls_mom_contrarian_v1_frozen,2020-09-09,605088,2000,20.72,20.04,21.06
vls_mom_contrarian_v1_frozen,2020-09-09,605118,2100,19.6,18.88,19.74
vls_mom_contrarian_v1_frozen,2020-09-09,605318,2000,21.34,21.5,21.36
vls_mom_contrarian_v1_frozen,2020-09-09,605366,3000,14.4,14.8,14.65
vls_mom_contrarian_v1_frozen,2020-09-09,605399,2100,20.08,20.45,20.33
vls_mom_contrarian_v1_frozen,2020-09-10,002992,1200,33.35,31.32,33.06
vls_mom_contrarian_v1_frozen,2020-09-10,002993,500,86.38,90.5,85.01
vls_mom_contrarian_v1_frozen,2020-09-10,002995,600,60.29,55.84,59.62
vls_mom_contrarian_v1_frozen,2020-09-10,600234,5100,9.11,9.15,9.21
vls_mom_contrarian_v1_frozen,2020-09-10,605066,2900,14.54,14.04,14.45
vls_mom_contrarian_v1_frozen,2020-09-10,605088,2000,20.07,19.11,20.04
vls_mom_contrarian_v1_frozen,2020-09-10,605118,2100,19.13,17.65,18.88
vls_mom_contrarian_v1_frozen,2020-09-10,605318,2000,21.53,21.79,21.5
vls_mom_contrarian_v1_frozen,2020-09-10,605366,3000,14.8,14.26,14.8
vls_mom_contrarian_v1_frozen,2020-09-10,605399,2100,20.48,19.6,20.45
vls_mom_contrarian_v1_frozen,2020-09-11,002992,1200,31.19,31.56,31.32
vls_mom_contrarian_v1_frozen,2020-09-11,002993,500,94.01,99.55,90.5
vls_mom_contrarian_v1_frozen,2020-09-11,002995,600,55.85,58.0,55.84
vls_mom_contrarian_v1_frozen,2020-09-11,600234,5100,9.15,9.21,9.15
vls_mom_contrarian_v1_frozen,2020-09-11,605066,2900,14.0,14.13,14.04
vls_mom_contrarian_v1_frozen,2020-09-11,605088,2000,19.0,19.53,19.11
vls_mom_contrarian_v1_frozen,2020-09-11,605118,2100,17.71,17.86,17.65
vls_mom_contrarian_v1_frozen,2020-09-11,605318,2000,21.9,21.5,21.79
vls_mom_contrarian_v1_frozen,2020-09-11,605366,3000,14.07,14.01,14.26
vls_mom_contrarian_v1_frozen,2020-09-11,605399,2100,19.62,19.38,19.6
vls_mom_contrarian_v1_frozen,2020-09-14,002992,1200,31.7,31.7,31.56
vls_mom_contrarian_v1_frozen,2020-09-14,002993,500,101.0,106.96,99.55
vls_mom_contrarian_v1_frozen,2020-09-14,002995,600,58.0,58.1,58.0
vls_mom_contrarian_v1_frozen,2020-09-14,600234,5100,9.2,9.3,9.21
vls_mom_contrarian_v1_frozen,2020-09-14,605066,2900,14.1,14.12,14.13
vls_mom_contrarian_v1_frozen,2020-09-14,605088,2000,19.61,19.51,19.53
vls_mom_contrarian_v1_frozen,2020-09-14,605118,2100,17.98,18.05,17.86
vls_mom_contrarian_v1_frozen,2020-09-14,605318,2000,21.37,21.68,21.5
vls_mom_contrarian_v1_frozen,2020-09-14,605366,3000,14.01,13.97,14.01
vls_mom_contrarian_v1_frozen,2020-09-14,605399,2100,19.39,19.51,19.38
vls_mom_contrarian_v1_frozen,2020-09-15,002992,1200,31.8,32.34,31.7
vls_mom_contrarian_v1_frozen,2020-09-15,002993,500,104.91,106.0,106.96
vls_mom_contrarian_v1_frozen,2020-09-15,002995,600,58.31,58.93,58.1
vls_mom_contrarian_v1_frozen,2020-09-15,600234,5100,9.22,9.25,9.3
