signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,buffer_kept,band_reweight,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,1,002272,,机械基件,0.49925107657741996,0.1,0.1,5700,8.646,,1,0,0,0,0,,,,,,,,,,,,,0.05597964376590325,0.0,0.0,0.0,0.05597964376590325,7.298090893278998e-05,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,2,002277,,百货,0.4985021531548399,0.1,0.1,9700,5.126,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00017858244328141238,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,3,002137,,元器件,0.4981276914435499,0.1,0.1,6000,8.228000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.03877005347593565,0.0,0.0,0.0,0.03877005347593565,0.00019132840216519925,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,4,603958,,服饰,0.4958809211758098,0.1,0.1,3600,13.75,,1,0,0,0,0,,,,,,,,,,,,,0.023199999999999887,0.0,0.0,0.0,0.023199999999999887,0.00113571859982251,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,5,600590,,通信设备,0.49569369032016475,0.1,0.1,9700,5.126,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0008978303373243748,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,6,000670,,元器件,0.49513199775322975,0.1,0.1,6900,7.216,,1,0,0,0,0,,,,,,,,,,,,,0.02286585365853666,0.0,0.0,0.0,0.02286585365853666,0.0001864918618271054,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,7,920171,,软件服务,0.4945703051862947,0.1,0.1,2700,18.304000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.02163461538461542,0.0,0.0,0.0,0.02163461538461542,0.000927636831812986,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,8,600579,,化工机械,0.49419584347500467,0.1,0.1,5300,9.26,,1,0,0,0,0,,,,,,,,,,,,,0.017814726840855055,0.0,0.0,0.0,0.017814726840855055,0.00016590289893781698,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,9,600322,,区域地产,0.4940086126193597,0.1,0.1,21300,2.34,,1,0,0,0,0,,,,,,,,,,,,,0.0046948356807512415,0.0,0.0,0.0,0.0046948356807512415,0.0006662441879022341,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,10,600129,,中成药,0.49363415090806967,0.1,0.1,2400,20.647000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.003196590303675917,0.0,0.0,0.0,0.003196590303675917,0.00019915465461052366,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0,0.0727829306576139,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,1,603958,,服饰,0.499625748502994,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.009463722397476504,0.0,0.0,0.0,0.009463722397476504,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,2,000759,,超市连锁,0.499438622754491,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.024296675191815886,0.0,0.0,0.0,-0.024296675191815886,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,3,000810,,家用电器,0.49869011976047906,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0048154093097914075,0.0,0.0,0.0,-0.0048154093097914075,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,4,603126,,环境保护,0.4979416167664671,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0016835016835018424,0.0,0.0,0.0,-0.0016835016835018424,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,5,000501,,百货,0.49719311377245506,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0012315270935960854,0.0,0.0,0.0,-0.0012315270935960854,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,6,600865,,百货,0.4966317365269461,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.004629629629629761,0.0,0.0,0.0,-0.004629629629629761,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,7,600322,,区域地产,0.4964446107784431,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.004587155963302614,0.0,0.0,0.0,0.004587155963302614,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,8,000670,,元器件,0.4960703592814371,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,9,920171,,软件服务,0.49569610778443113,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.005847953216374324,0.0,0.0,0.0,-0.005847953216374324,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,10,600129,,中成药,0.49550898203592814,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,1,000759,,超市连锁,0.4996258185219832,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.003694581280788256,0.0,0.0,0.0,0.003694581280788256,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,2,920765,,家居用品,0.49943872778297477,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.006711409395973256,0.0,0.0,0.0,-0.006711409395973256,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,3,600579,,化工机械,0.4990645463049579,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,4,600246,,区域地产,0.49869036482694107,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.007504690431519689,0.0,0.0,0.0,-0.007504690431519689,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,5,603682,,房产服务,0.49850327408793266,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,6,603126,,环境保护,0.49831618334892425,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0033112582781458233,0.0,0.0,0.0,-0.0033112582781458233,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,7,603958,,服饰,0.49738072965388214,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.005355776587605221,0.0,0.0,0.0,-0.005355776587605221,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,8,600778,,百货,0.4971936389148737,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,9,600865,,百货,0.4970065481758653,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-06,2025-02-07,vls_mom_contrarian_v1_frozen,10,600973,,电气设备,0.49681945743685685,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.002136752136752129,0.0,0.0,0.0,-0.002136752136752129,0.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,1,000759,,超市连锁,0.4998130491680688,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,2,603001,,服饰,0.4996260983361376,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.001956947162426559,0.0,0.0,0.0,0.001956947162426559,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,3,603215,,家用电器,0.4992521966722752,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0005824111822947398,0.0,0.0,0.0,-0.0005824111822947398,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,4,002052,,家用电器,0.499065245840344,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.04637096774193539,0.0,0.0,0.0,-0.04637096774193539,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,5,001217,,化工原料,0.4986913441764816,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.00093545369504211,0.0,0.0,0.0,-0.00093545369504211,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,6,603617,,机械基件,0.4985043933445504,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.00652741514360311,0.0,0.0,0.0,-0.00652741514360311,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,7,603959,,建筑工程,0.49831744251261917,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.022222222222222143,0.0,0.0,0.0,-0.022222222222222143,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,8,600693,,百货,0.49813049168068796,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0016611295681062677,0.0,0.0,0.0,-0.0016611295681062677,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,9,002918,,陶瓷,0.4979435408487568,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.006335797254487963,0.0,0.0,0.0,-0.006335797254487963,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-11,2025-02-12,vls_mom_contrarian_v1_frozen,10,603682,,房产服务,0.49700878668910076,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0018691588785046953,0.0,0.0,0.0,0.0018691588785046953,0.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,1,000573,,区域地产,0.4996265172735761,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,2,920651,,电器仪表,0.49906629318394025,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.0013934045517882687,0.0,0.0,0.0,-0.0013934045517882687,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,3,002052,,家用电器,0.4988795518207283,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.00952380952380949,0.0,0.0,0.0,0.00952380952380949,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,4,603072,,矿物制品,0.49869281045751634,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.004718372161604201,0.0,0.0,0.0,-0.004718372161604201,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,5,001301,,电气设备,0.4985060690943044,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.004162537165510294,0.0,0.0,0.0,0.004162537165510294,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,6,002184,,机械基件,0.4981325863678805,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.050167224080267525,0.0,0.0,0.0,0.050167224080267525,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,7,603101,,百货,0.4977591036414566,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.006765899864682012,0.0,0.0,0.0,-0.006765899864682012,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,8,002733,,电气设备,0.49757236227824464,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.013855421686746805,0.0,0.0,0.0,0.013855421686746805,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
2025-02-17,2025-02-18,vls_mom_contrarian_v1_frozen,9,605499,,软饮料,0.4970121381886088,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.001838718150774854,0.0,0.0,0.0,-0.001838718150774854,0.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0,0.0,0,0
