strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2025-02-05,000670,6900,6.71,6.81,6.56
vls_mom_contrarian_v1_frozen,2025-02-05,002137,6000,7.77,8.23,7.48
vls_mom_contrarian_v1_frozen,2025-02-05,002272,5700,8.3,8.37,7.86
vls_mom_contrarian_v1_frozen,2025-02-05,002277,9700,4.66,4.77,4.66
vls_mom_contrarian_v1_frozen,2025-02-05,600129,2400,18.83,19.16,18.77
vls_mom_contrarian_v1_frozen,2025-02-05,600322,21300,2.14,2.18,2.13
vls_mom_contrarian_v1_frozen,2025-02-05,600579,5300,8.57,8.26,8.42
vls_mom_contrarian_v1_frozen,2025-02-05,600590,9700,4.66,4.73,4.66
vls_mom_contrarian_v1_frozen,2025-02-05,603958,3600,12.79,12.68,12.5
vls_mom_contrarian_v1_frozen,2025-02-05,920171,2700,17.0,17.1,16.64
vls_mom_contrarian_v1_frozen,2025-02-06,000670,6900,6.81,7.14,6.81
vls_mom_contrarian_v1_frozen,2025-02-06,002137,6000,8.15,8.55,8.23
vls_mom_contrarian_v1_frozen,2025-02-06,002272,5700,8.37,8.74,8.37
vls_mom_contrarian_v1_frozen,2025-02-06,002277,9700,4.76,4.88,4.77
vls_mom_contrarian_v1_frozen,2025-02-06,600129,2400,19.16,19.26,19.16
vls_mom_contrarian_v1_frozen,2025-02-06,600322,21300,2.19,2.22,2.18
vls_mom_contrarian_v1_frozen,2025-02-06,600579,5300,8.26,8.47,8.26
vls_mom_contrarian_v1_frozen,2025-02-06,600590,9700,4.73,4.83,4.73
vls_mom_contrarian_v1_frozen,2025-02-06,603958,3600,12.8,13.07,12.68
vls_mom_contrarian_v1_frozen,2025-02-06,920171,2700,17.0,18.12,17.1
vls_mom_contrarian_v1_frozen,2025-02-07,000670,6900,7.14,7.18,7.14
vls_mom_contrarian_v1_frozen,2025-02-07,002137,6000,8.6,8.9,8.55
vls_mom_contrarian_v1_frozen,2025-02-07,002272,5700,8.76,8.97,8.74
vls_mom_contrarian_v1_frozen,2025-02-07,002277,9700,4.88,5.03,4.88
vls_mom_contrarian_v1_frozen,2025-02-07,600129,2400,19.27,19.7,19.26
vls_mom_contrarian_v1_frozen,2025-02-07,600322,21300,2.2,2.27,2.22
vls_mom_contrarian_v1_frozen,2025-02-07,600579,5300,8.47,8.41,8.47
vls_mom_contrarian_v1_frozen,2025-02-07,600590,9700,4.83,4.93,4.83
vls_mom_contrarian_v1_frozen,2025-02-07,603958,3600,13.0,13.28,13.07
vls_mom_contrarian_v1_frozen,2025-02-07,920171,2700,17.86,23.55,18.12
vls_mom_contrarian_v1_frozen,2025-02-10,000670,6900,7.2,7.61,7.18
vls_mom_contrarian_v1_frozen,2025-02-10,002137,6000,8.76,8.81,8.9
vls_mom_contrarian_v1_frozen,2025-02-10,002272,5700,9.06,9.35,8.97
vls_mom_contrarian_v1_frozen,2025-02-10,002277,9700,5.01,5.12,5.03
vls_mom_contrarian_v1_frozen,2025-02-10,600129,2400,19.76,20.22,19.7
vls_mom_contrarian_v1_frozen,2025-02-10,600322,21300,2.27,2.34,2.27
vls_mom_contrarian_v1_frozen,2025-02-10,600579,5300,8.49,9.25,8.41
vls_mom_contrarian_v1_frozen,2025-02-10,600590,9700,4.94,5.03,4.93
vls_mom_contrarian_v1_frozen,2025-02-10,603958,3600,13.44,14.61,13.28
vls_mom_contrarian_v1_frozen,2025-02-10,920171,2700,23.55,26.23,23.55
vls_mom_contrarian_v1_frozen,2025-02-11,000670,6900,7.61,7.4,7.61
vls_mom_contrarian_v1_frozen,2025-02-11,002137,6000,8.77,9.17,8.81
vls_mom_contrarian_v1_frozen,2025-02-11,002272,5700,9.25,9.0,9.35
vls_mom_contrarian_v1_frozen,2025-02-11,002277,9700,5.17,5.16,5.12
vls_mom_contrarian_v1_frozen,2025-02-11,600129,2400,20.34,19.86,20.22
vls_mom_contrarian_v1_frozen,2025-02-11,600322,21300,2.33,2.28,2.34
vls_mom_contrarian_v1_frozen,2025-02-11,600579,5300,9.38,9.39,9.25
vls_mom_contrarian_v1_frozen,2025-02-11,600590,9700,5.03,4.99,5.03
vls_mom_contrarian_v1_frozen,2025-02-11,603958,3600,14.76,14.21,14.61
vls_mom_contrarian_v1_frozen,2025-02-11,920171,2700,24.0,25.3,26.23
vls_mom_contrarian_v1_frozen,2025-02-12,000670,6900,7.35,7.54,7.4
vls_mom_contrarian_v1_frozen,2025-02-12,002137,6000,9.08,9.05,9.17
vls_mom_contrarian_v1_frozen,2025-02-12,002272,5700,9.29,9.9,9.0
vls_mom_contrarian_v1_frozen,2025-02-12,002277,9700,5.16,5.25,5.16
vls_mom_contrarian_v1_frozen,2025-02-12,600129,2400,19.76,20.12,19.86
vls_mom_contrarian_v1_frozen,2025-02-12,600322,21300,2.29,2.39,2.28
vls_mom_contrarian_v1_frozen,2025-02-12,600579,5300,9.37,9.5,9.39
vls_mom_contrarian_v1_frozen,2025-02-12,600590,9700,4.99,5.49,4.99
vls_mom_contrarian_v1_frozen,2025-02-12,603958,3600,14.3,14.66,14.21
vls_mom_contrarian_v1_frozen,2025-02-12,920171,2700,24.4,26.58,25.3
vls_mom_contrarian_v1_frozen,2025-02-13,000670,6900,7.54,7.32,7.54
vls_mom_contrarian_v1_frozen,2025-02-13,002137,6000,9.04,8.84,9.05
vls_mom_contrarian_v1_frozen,2025-02-13,002272,5700,10.86,10.17,9.9
vls_mom_contrarian_v1_frozen,2025-02-13,002277,9700,5.26,5.21,5.25
vls_mom_contrarian_v1_frozen,2025-02-13,600129,2400,20.11,20.14,20.12
vls_mom_contrarian_v1_frozen,2025-02-13,600322,21300,2.4,2.38,2.39
vls_mom_contrarian_v1_frozen,2025-02-13,600579,5300,9.5,9.28,9.5
vls_mom_contrarian_v1_frozen,2025-02-13,600590,9700,5.54,5.52,5.49
vls_mom_contrarian_v1_frozen,2025-02-13,603958,3600,14.64,14.29,14.66
vls_mom_contrarian_v1_frozen,2025-02-13,920171,2700,26.02,26.8,26.58
vls_mom_contrarian_v1_frozen,2025-02-14,000670,6900,7.27,7.26,7.32
vls_mom_contrarian_v1_frozen,2025-02-14,002137,6000,8.76,8.65,8.84
vls_mom_contrarian_v1_frozen,2025-02-14,002272,5700,9.89,9.84,10.17
vls_mom_contrarian_v1_frozen,2025-02-14,002277,9700,5.21,5.03,5.21
vls_mom_contrarian_v1_frozen,2025-02-14,600129,2400,20.17,20.28,20.14
vls_mom_contrarian_v1_frozen,2025-02-14,600322,21300,2.37,2.3,2.38
vls_mom_contrarian_v1_frozen,2025-02-14,600579,5300,9.35,8.86,9.28
vls_mom_contrarian_v1_frozen,2025-02-14,600590,9700,5.47,5.58,5.52
vls_mom_contrarian_v1_frozen,2025-02-14,603958,3600,14.27,14.1,14.29
vls_mom_contrarian_v1_frozen,2025-02-14,920171,2700,27.2,27.58,26.8
vls_mom_contrarian_v1_frozen,2025-02-17,000670,6900,7.17,7.32,7.26
vls_mom_contrarian_v1_frozen,2025-02-17,002137,6000,8.79,9.52,8.65
vls_mom_contrarian_v1_frozen,2025-02-17,002272,5700,9.84,10.29,9.84
vls_mom_contrarian_v1_frozen,2025-02-17,002277,9700,5.06,5.13,5.03
vls_mom_contrarian_v1_frozen,2025-02-17,600129,2400,20.25,20.25,20.28
vls_mom_contrarian_v1_frozen,2025-02-17,600322,21300,2.32,2.45,2.3
vls_mom_contrarian_v1_frozen,2025-02-17,600579,5300,8.86,9.15,8.86
vls_mom_contrarian_v1_frozen,2025-02-17,600590,9700,6.0,6.14,5.58
vls_mom_contrarian_v1_frozen,2025-02-17,603958,3600,14.19,14.38,14.1
vls_mom_contrarian_v1_frozen,2025-02-17,920171,2700,27.27,25.88,27.58
vls_mom_contrarian_v1_frozen,2025-02-18,000670,6900,7.32,7.1,7.32
vls_mom_contrarian_v1_frozen,2025-02-18,002137,6000,9.8,9.65,9.52
vls_mom_contrarian_v1_frozen,2025-02-18,002272,5700,10.3,10.17,10.29
vls_mom_contrarian_v1_frozen,2025-02-18,002277,9700,5.09,4.84,5.13
vls_mom_contrarian_v1_frozen,2025-02-18,600129,2400,20.25,19.65,20.25
vls_mom_contrarian_v1_frozen,2025-02-18,600322,21300,2.44,2.32,2.45
vls_mom_contrarian_v1_frozen,2025-02-18,600579,5300,9.16,9.19,9.15
vls_mom_contrarian_v1_frozen,2025-02-18,600590,9700,6.7,6.28,6.14
vls_mom_contrarian_v1_frozen,2025-02-18,603958,3600,14.45,13.71,14.38
vls_mom_contrarian_v1_frozen,2025-02-18,920171,2700,25.5,25.21,25.88
vls_mom_contrarian_v1_frozen,2025-02-19,000670,6900,7.09,7.24,7.1
vls_mom_contrarian_v1_frozen,2025-02-19,002137,6000,9.51,10.27,9.65
vls_mom_contrarian_v1_frozen,2025-02-19,002272,5700,9.64,9.97,10.17
vls_mom_contrarian_v1_frozen,2025-02-19,002277,9700,4.85,4.98,4.84
vls_mom_contrarian_v1_frozen,2025-02-19,600129,2400,19.66,19.7,19.65
vls_mom_contrarian_v1_frozen,2025-02-19,600322,21300,2.31,2.36,2.32
vls_mom_contrarian_v1_frozen,2025-02-19,600579,5300,9.1,9.3,9.19
vls_mom_contrarian_v1_frozen,2025-02-19,600590,9700,6.58,6.91,6.28
vls_mom_contrarian_v1_frozen,2025-02-19,603958,3600,13.79,14.2,13.71
vls_mom_contrarian_v1_frozen,2025-02-19,920171,2700,25.0,26.11,25.21
vls_mom_contrarian_v1_frozen,2025-02-20,000670,6900,7.23,7.16,7.24
vls_mom_contrarian_v1_frozen,2025-02-20,002137,6000,10.2,9.96,10.27
vls_mom_contrarian_v1_frozen,2025-02-20,002272,5700,9.88,10.97,9.97
vls_mom_contrarian_v1_frozen,2025-02-20,002277,9700,5.03,5.48,4.98
vls_mom_contrarian_v1_frozen,2025-02-20,600129,2400,19.71,19.78,19.7
vls_mom_contrarian_v1_frozen,2025-02-20,600322,21300,2.36,2.36,2.36
vls_mom_contrarian_v1_frozen,2025-02-20,600579,5300,9.34,9.41,9.3
vls_mom_contrarian_v1_frozen,2025-02-20,600590,9700,7.09,7.6,6.91
vls_mom_contrarian_v1_frozen,2025-02-20,603958,3600,14.5,14.3,14.2
vls_mom_contrarian_v1_frozen,2025-02-20,920171,2700,25.6,25.03,26.11
vls_mom_contrarian_v1_frozen,2025-02-21,000670,6900,7.16,7.34,7.16
vls_mom_contrarian_v1_frozen,2025-02-21,002137,6000,9.9,10.08,9.96
vls_mom_contrarian_v1_frozen,2025-02-21,002272,5700,11.22,12.07,10.97
vls_mom_contrarian_v1_frozen,2025-02-21,002277,9700,5.7,5.74,5.48
vls_mom_contrarian_v1_frozen,2025-02-21,600129,2400,19.77,19.79,19.78
vls_mom_contrarian_v1_frozen,2025-02-21,600322,21300,2.34,2.32,2.36
vls_mom_contrarian_v1_frozen,2025-02-21,600579,5300,9.42,9.24,9.41
vls_mom_contrarian_v1_frozen,2025-02-21,600590,9700,8.36,8.36,7.6
vls_mom_contrarian_v1_frozen,2025-02-21,603958,3600,14.26,14.08,14.3
vls_mom_contrarian_v1_frozen,2025-02-21,920171,2700,25.3,28.26,25.03
vls_mom_contrarian_v1_frozen,2025-02-24,000670,6900,7.3,7.33,7.34
vls_mom_contrarian_v1_frozen,2025-02-24,002137,6000,9.9,9.7,10.08
vls_mom_contrarian_v1_frozen,2025-02-24,002272,5700,12.07,11.8,12.07
vls_mom_contrarian_v1_frozen,2025-02-24,002277,9700,5.9,5.56,5.74
vls_mom_contrarian_v1_frozen,2025-02-24,600129,2400,19.79,19.61,19.79
vls_mom_contrarian_v1_frozen,2025-02-24,600322,21300,2.32,2.34,2.32
vls_mom_contrarian_v1_frozen,2025-02-24,600579,5300,9.18,9.06,9.24
vls_mom_contrarian_v1_frozen,2025-02-24,600590,9700,9.2,9.2,8.36
vls_mom_contrarian_v1_frozen,2025-02-24,603958,3600,13.98,13.94,14.08
vls_mom_contrarian_v1_frozen,2025-02-24,920171,2700,27.51,27.54,28.26
vls_mom_contrarian_v1_frozen,2025-02-25,000670,6900,7.22,7.36,7.33
vls_mom_contrarian_v1_frozen,2025-02-25,002137,6000,9.52,9.59,9.7
vls_mom_contrarian_v1_frozen,2025-02-25,002272,5700,10.97,11.94,11.8
vls_mom_contrarian_v1_frozen,2025-02-25,002277,9700,5.45,5.58,5.56
vls_mom_contrarian_v1_frozen,2025-02-25,600129,2400,19.5,19.32,19.61
vls_mom_contrarian_v1_frozen,2025-02-25,600322,21300,2.32,2.57,2.34
vls_mom_contrarian_v1_frozen,2025-02-25,600579,5300,8.88,9.05,9.06
vls_mom_contrarian_v1_frozen,2025-02-25,600590,9700,9.0,8.98,9.2
vls_mom_contrarian_v1_frozen,2025-02-25,603958,3600,13.94,14.44,13.94
vls_mom_contrarian_v1_frozen,2025-02-25,920171,2700,26.32,27.22,27.54
vls_mom_contrarian_v1_frozen,2025-02-26,000670,6900,7.44,7.68,7.36
vls_mom_contrarian_v1_frozen,2025-02-26,002137,6000,9.54,10.04,9.59
vls_mom_contrarian_v1_frozen,2025-02-26,002272,5700,11.83,11.59,11.94
vls_mom_contrarian_v1_frozen,2025-02-26,002277,9700,5.57,5.69,5.58
vls_mom_contrarian_v1_frozen,2025-02-26,600129,2400,19.3,19.57,19.32
vls_mom_contrarian_v1_frozen,2025-02-26,600322,21300,2.56,2.49,2.57
vls_mom_contrarian_v1_frozen,2025-02-26,600579,5300,9.05,8.97,9.05
vls_mom_contrarian_v1_frozen,2025-02-26,600590,9700,9.11,9.88,8.98
vls_mom_contrarian_v1_frozen,2025-02-26,603958,3600,14.53,14.42,14.44
vls_mom_contrarian_v1_frozen,2025-02-26,920171,2700,27.27,29.53,27.22
vls_mom_contrarian_v1_frozen,2025-02-27,000670,6900,7.61,7.9,7.68
vls_mom_contrarian_v1_frozen,2025-02-27,002137,6000,9.9,9.62,10.04
vls_mom_contrarian_v1_frozen,2025-02-27,002272,5700,11.5,11.1,11.59
vls_mom_contrarian_v1_frozen,2025-02-27,002277,9700,5.7,6.11,5.69
vls_mom_contrarian_v1_frozen,2025-02-27,600129,2400,19.5,19.8,19.57
vls_mom_contrarian_v1_frozen,2025-02-27,600322,21300,2.5,2.5,2.49
vls_mom_contrarian_v1_frozen,2025-02-27,600579,5300,8.96,9.13,8.97
vls_mom_contrarian_v1_frozen,2025-02-27,600590,9700,9.39,9.37,9.88
vls_mom_contrarian_v1_frozen,2025-02-27,603958,3600,14.33,14.78,14.42
vls_mom_contrarian_v1_frozen,2025-02-27,920171,2700,28.68,34.0,29.53
vls_mom_contrarian_v1_frozen,2025-02-28,000670,6900,7.85,7.35,7.9
vls_mom_contrarian_v1_frozen,2025-02-28,002137,6000,9.46,8.78,9.62
vls_mom_contrarian_v1_frozen,2025-02-28,002272,5700,11.08,10.22,11.1
vls_mom_contrarian_v1_frozen,2025-02-28,002277,9700,6.05,5.61,6.11
vls_mom_contrarian_v1_frozen,2025-02-28,600129,2400,19.8,20.2,19.8
vls_mom_contrarian_v1_frozen,2025-02-28,600322,21300,2.5,2.45,2.5
vls_mom_contrarian_v1_frozen,2025-02-28,600579,5300,9.15,8.43,9.13
vls_mom_contrarian_v1_frozen,2025-02-28,600590,9700,9.31,9.35,9.37
vls_mom_contrarian_v1_frozen,2025-02-28,603958,3600,14.87,16.26,14.78
vls_mom_contrarian_v1_frozen,2025-02-28,920171,2700,33.12,28.5,34.0
