strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,corporate_action_status,strict_ledger_frozen,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
vls_mom_contrarian_v1_frozen,2025-01-03,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,2,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-06,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,4,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-07,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,6,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-08,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,8,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-09,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,10,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-10,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,12,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-13,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,14,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-14,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,16,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-15,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,18,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-16,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,20,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-17,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,22,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-20,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,24,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-21,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,26,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-22,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,28,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-23,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,30,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-24,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,32,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-01-27,,500000.0,0.0,500000.0,1.0,0,0.0,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,500000.0,0.0,34,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-05,2025-01-27,40424.804920999944,464242.0,504666.8049209999,1.0093336098419998,10,0.9198980306871423,NO_ACTION_CONFIRMED,,504666.8049209999,0.0,54,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.08097969482676746,0.0,0.0,0.08097969482676746,36047.828000000096,0.0,0.0727829306576139,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-06,2025-02-05,40424.804920999944,478948.0,519372.8049209999,1.0387456098419998,10,0.9221661116292972,NO_ACTION_CONFIRMED,,519372.8049209999,0.0,54,10.0,0.0,0.0,464242.0,10.0,0.0,504666.8049209999,10.0,1.0,5.0,0.08013404409318613,0.0,0.0,0.08013404409318613,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-07,2025-02-06,40424.804920999944,502280.0,542704.8049209999,1.0854096098419999,10,0.9255123511816254,NO_ACTION_CONFIRMED,,542704.8049209999,0.0,54,10.0,0.0,0.0,478948.0,10.0,0.0,519372.8049209999,10.0,1.0,8.0,0.07797531423149132,0.0,0.0,0.07797531423149132,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-10,2025-02-06,40424.804920999944,527931.0,568355.8049209999,1.1367116098419998,10,0.9288741232675211,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,568355.8049209999,0.0,56,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-11,2025-02-06,40424.804920999944,521296.0,561720.8049209999,1.123441609842,10,0.9280339902548469,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,561720.8049209999,0.0,58,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-12,2025-02-11,40424.804920999944,541021.0,581445.8049209999,1.162891609842,10,0.9304753691937078,NO_ACTION_CONFIRMED,,581445.8049209999,0.0,58,10.0,0.0,0.0,521296.0,10.0,0.0,561720.8049209999,10.0,1.0,10.0,0.07215496474237987,0.0,0.0,0.07215496474237987,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-13,2025-02-11,40424.804920999944,537616.0,578040.8049209999,1.156081609842,10,0.9300658282653165,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,578040.8049209999,0.0,60,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-14,2025-02-11,40424.804920999944,530845.0,571269.8049209999,1.1425396098419998,10,0.9292369304787775,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,571269.8049209999,0.0,62,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-17,2025-02-11,40424.804920999944,546524.0,586948.8049209999,1.1738976098419998,10,0.9311272046521317,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,586948.8049209999,0.0,64,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-18,2025-02-17,40424.804920999944,535429.0,575853.8049209999,1.1517076098419998,10,0.9298002295451608,NO_ACTION_CONFIRMED,,575853.8049209999,0.0,64,10.0,0.0,0.0,546524.0,10.0,0.0,586948.8049209999,10.0,1.0,10.0,0.06819347334346813,0.0,0.0,0.06819347334346813,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-19,2025-02-17,40424.804920999944,552193.0,592617.8049209999,1.1852356098419998,10,0.9317860439134311,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,592617.8049209999,0.0,66,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-20,2025-02-17,40424.804920999944,565243.0,605667.8049209999,1.2113356098419998,10,0.9332558135127016,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,605667.8049209999,0.0,68,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-21,2025-02-17,40424.804920999944,589569.0,629993.8049209999,1.2599876098419998,10,0.9358330119991115,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,629993.8049209999,0.0,70,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-24,2025-02-17,40424.804920999944,588675.0,629099.8049209999,1.2581996098419999,10,0.9357418256931802,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,629099.8049209999,0.0,72,,,,,,,,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,2025-02-25,2025-02-24,40424.804920999944,592166.0,632590.8049209999,1.265181609842,10,0.9360964392676426,NO_ACTION_CONFIRMED,,632590.8049209999,0.0,72,10.0,0.0,0.0,588675.0,10.0,0.0,629099.8049209999,10.0,1.0,10.0,0.06577579627305663,0.0,0.0,0.06577579627305663,0.0,0.0,0.0,0.0,0.0
vls_mom_contrarian_v1_frozen,2025-02-26,2025-02-24,40424.804920999944,609513.0,649937.8049209999,1.299875609842,10,0.9378020410338901,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,1.0,649937.8049209999,0.0,74,,,,,,,,,,,,,,,,,,,
