strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2025-02-05,000670,,元器件,6900,2025-02-05,1,6.81,46989.0,0.09310895731958359
vls_mom_contrarian_v1_frozen,2025-02-05,002137,,元器件,6000,2025-02-05,1,8.23,49380.0,0.09784673673500262
vls_mom_contrarian_v1_frozen,2025-02-05,002272,,机械基件,5700,2025-02-05,1,8.37,47708.99999999999,0.09453564120879382
vls_mom_contrarian_v1_frozen,2025-02-05,002277,,百货,9700,2025-02-05,1,4.77,46268.99999999999,0.09168227343037333
vls_mom_contrarian_v1_frozen,2025-02-05,600129,,中成药,2400,2025-02-05,1,19.16,45984.0,0.0911175443908943
vls_mom_contrarian_v1_frozen,2025-02-05,600322,,区域地产,21300,2025-02-05,1,2.18,46434.0,0.0920092218216507
vls_mom_contrarian_v1_frozen,2025-02-05,600579,,化工机械,5300,2025-02-05,1,8.26,43778.0,0.08674634347478624
vls_mom_contrarian_v1_frozen,2025-02-05,600590,,通信设备,9700,2025-02-05,1,4.73,45881.00000000001,0.09091344933452117
vls_mom_contrarian_v1_frozen,2025-02-05,603958,,服饰,3600,2025-02-05,1,12.68,45648.0,0.0904517585759295
vls_mom_contrarian_v1_frozen,2025-02-05,920171,,软件服务,2700,2025-02-05,1,17.1,46170.00000000001,0.09148610439560695
vls_mom_contrarian_v1_frozen,2025-02-06,000670,,元器件,6900,2025-02-05,2,7.14,49266.0,0.09485671859059638
vls_mom_contrarian_v1_frozen,2025-02-06,002137,,元器件,6000,2025-02-05,2,8.55,51300.00000000001,0.09877298062959435
vls_mom_contrarian_v1_frozen,2025-02-06,002272,,机械基件,5700,2025-02-05,2,8.74,49818.0,0.0959195389669616
vls_mom_contrarian_v1_frozen,2025-02-06,002277,,百货,9700,2025-02-05,2,4.88,47336.0,0.09114069807178318
vls_mom_contrarian_v1_frozen,2025-02-06,600129,,中成药,2400,2025-02-05,2,19.26,46224.00000000001,0.08899965412519238
vls_mom_contrarian_v1_frozen,2025-02-06,600322,,区域地产,21300,2025-02-05,2,2.22,47286.00000000001,0.09104442811015591
vls_mom_contrarian_v1_frozen,2025-02-06,600579,,化工机械,5300,2025-02-05,2,8.47,44891.0,0.08643309694820896
vls_mom_contrarian_v1_frozen,2025-02-06,600590,,通信设备,9700,2025-02-05,2,4.83,46851.0,0.09020687944399852
vls_mom_contrarian_v1_frozen,2025-02-06,603958,,服饰,3600,2025-02-05,2,13.07,47052.0,0.09059388468974021
vls_mom_contrarian_v1_frozen,2025-02-06,920171,,软件服务,2700,2025-02-05,2,18.12,48924.0,0.09419823205306575
vls_mom_contrarian_v1_frozen,2025-02-07,000670,,元器件,6900,2025-02-05,3,7.18,49542.0,0.09128719618985444
vls_mom_contrarian_v1_frozen,2025-02-07,002137,,元器件,6000,2025-02-05,3,8.9,53400.0,0.09839603319482917
vls_mom_contrarian_v1_frozen,2025-02-07,002272,,机械基件,5700,2025-02-05,3,8.97,51129.00000000001,0.09421143785053224
vls_mom_contrarian_v1_frozen,2025-02-07,002277,,百货,9700,2025-02-05,3,5.03,48791.0,0.08990338680915562
vls_mom_contrarian_v1_frozen,2025-02-07,600129,,中成药,2400,2025-02-05,3,19.7,47280.0,0.08711918444665774
vls_mom_contrarian_v1_frozen,2025-02-07,600322,,区域地产,21300,2025-02-05,3,2.27,48351.0,0.08909263297758774
vls_mom_contrarian_v1_frozen,2025-02-07,600579,,化工机械,5300,2025-02-05,3,8.41,44573.0,0.0821312057601708
vls_mom_contrarian_v1_frozen,2025-02-07,600590,,通信设备,9700,2025-02-05,3,4.93,47821.0,0.08811604313501734
vls_mom_contrarian_v1_frozen,2025-02-07,603958,,服饰,3600,2025-02-05,3,13.28,47808.0,0.0880920890445392
vls_mom_contrarian_v1_frozen,2025-02-07,920171,,软件服务,2700,2025-02-05,3,23.55,63585.0,0.11716314177328115
vls_mom_contrarian_v1_frozen,2025-02-10,000670,,元器件,6900,2025-02-05,4,7.61,52509.0,0.09238754939311059
vls_mom_contrarian_v1_frozen,2025-02-10,002137,,元器件,6000,2025-02-05,4,8.81,52860.0,0.09300512028261489
vls_mom_contrarian_v1_frozen,2025-02-10,002272,,机械基件,5700,2025-02-05,4,9.35,53295.0,0.09377048591490655
vls_mom_contrarian_v1_frozen,2025-02-10,002277,,百货,9700,2025-02-05,4,5.12,49664.0,0.08738188221180071
vls_mom_contrarian_v1_frozen,2025-02-10,600129,,中成药,2400,2025-02-05,4,20.22,48528.0,0.08538313426172409
vls_mom_contrarian_v1_frozen,2025-02-10,600322,,区域地产,21300,2025-02-05,4,2.34,49842.0,0.08769506630961202
vls_mom_contrarian_v1_frozen,2025-02-10,600579,,化工机械,5300,2025-02-05,4,9.25,49025.0,0.08625758648988262
vls_mom_contrarian_v1_frozen,2025-02-10,600590,,通信设备,9700,2025-02-05,4,5.03,48791.0,0.08584587256354641
vls_mom_contrarian_v1_frozen,2025-02-10,603958,,服饰,3600,2025-02-05,4,14.61,52596.0,0.0925406225195689
vls_mom_contrarian_v1_frozen,2025-02-10,920171,,软件服务,2700,2025-02-05,4,26.23,70821.0,0.12460680332075424
vls_mom_contrarian_v1_frozen,2025-02-11,000670,,元器件,6900,2025-02-05,5,7.4,51060.0,0.090899250219477
vls_mom_contrarian_v1_frozen,2025-02-11,002137,,元器件,6000,2025-02-05,5,9.17,55020.0,0.09794901580641646
vls_mom_contrarian_v1_frozen,2025-02-11,002272,,机械基件,5700,2025-02-05,5,9.0,51300.0,0.09132650873989757
vls_mom_contrarian_v1_frozen,2025-02-11,002277,,百货,9700,2025-02-05,5,5.16,50052.0,0.0891047644337106
vls_mom_contrarian_v1_frozen,2025-02-11,600129,,中成药,2400,2025-02-05,5,19.86,47664.0,0.08485354215552589
vls_mom_contrarian_v1_frozen,2025-02-11,600322,,区域地产,21300,2025-02-05,5,2.28,48563.99999999999,0.08645576160710303
vls_mom_contrarian_v1_frozen,2025-02-11,600579,,化工机械,5300,2025-02-05,5,9.39,49767.0,0.08859739494071116
vls_mom_contrarian_v1_frozen,2025-02-11,600590,,通信设备,9700,2025-02-05,5,4.99,48403.0,0.08616914234965424
vls_mom_contrarian_v1_frozen,2025-02-11,603958,,服饰,3600,2025-02-05,5,14.21,51156.0,0.09107015362764523
vls_mom_contrarian_v1_frozen,2025-02-11,920171,,软件服务,2700,2025-02-05,5,25.3,68310.0,0.12160845637470571
vls_mom_contrarian_v1_frozen,2025-02-12,000670,,元器件,6900,2025-02-05,6,7.54,52026.0,0.08947695479042744
vls_mom_contrarian_v1_frozen,2025-02-12,002137,,元器件,6000,2025-02-05,6,9.05,54300.00000000001,0.09338789538154404
vls_mom_contrarian_v1_frozen,2025-02-12,002272,,机械基件,5700,2025-02-05,6,9.9,56430.0,0.09705117746557144
vls_mom_contrarian_v1_frozen,2025-02-12,002277,,百货,9700,2025-02-05,6,5.25,50925.0,0.08758339912164144
vls_mom_contrarian_v1_frozen,2025-02-12,600129,,中成药,2400,2025-02-05,6,20.12,48288.0,0.08304815271057087
vls_mom_contrarian_v1_frozen,2025-02-12,600322,,区域地产,21300,2025-02-05,6,2.39,50907.0,0.08755244180825529
