strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2024-01-03,000049,,电气设备,1700,2024-01-03,1,26.47,44999.0,0.09050858107674542
vls_mom_contrarian_v1_frozen,2024-01-03,002123,,互联网,4000,2024-01-03,1,11.02,44080.0,0.08866015364481296
vls_mom_contrarian_v1_frozen,2024-01-03,600520,,半导体,1800,2024-01-03,1,23.52,42336.0,0.08515236535178769
vls_mom_contrarian_v1_frozen,2024-01-03,600589,,软件服务,13500,2024-01-03,1,3.52,47520.0,0.09557918559894536
vls_mom_contrarian_v1_frozen,2024-01-03,600986,,互联网,8500,2024-01-03,1,5.41,45985.0,0.09249176872406362
vls_mom_contrarian_v1_frozen,2024-01-03,603023,,汽车配件,8600,2024-01-03,1,5.16,44376.0,0.08925551220830807
vls_mom_contrarian_v1_frozen,2024-01-03,603363,,饲料,7500,2024-01-03,1,5.98,44850.0,0.09020889044849957
vls_mom_contrarian_v1_frozen,2024-01-03,603613,,互联网,2000,2024-01-03,1,22.55,45100.0,0.09071172707307315
vls_mom_contrarian_v1_frozen,2024-01-03,603949,,汽车配件,2400,2024-01-03,1,19.06,45744.0,0.09200703421797468
vls_mom_contrarian_v1_frozen,2024-01-03,603985,,电气设备,1800,2024-01-03,1,23.49,42282.0,0.0850437526408798
vls_mom_contrarian_v1_frozen,2024-01-04,000049,,电气设备,1700,2024-01-03,2,26.3,44710.0,0.08912599517413518
vls_mom_contrarian_v1_frozen,2024-01-04,002123,,互联网,4000,2024-01-03,2,11.08,44320.0,0.08834855974318208
vls_mom_contrarian_v1_frozen,2024-01-04,600520,,半导体,1800,2024-01-03,2,23.65,42570.0,0.08486006742480283
vls_mom_contrarian_v1_frozen,2024-01-04,600589,,软件服务,13500,2024-01-03,2,3.7,49950.0,0.09957153788745363
vls_mom_contrarian_v1_frozen,2024-01-04,600986,,互联网,8500,2024-01-03,2,5.37,45645.0,0.09098984678424066
vls_mom_contrarian_v1_frozen,2024-01-04,603023,,汽车配件,8600,2024-01-03,2,5.18,44548.0,0.08880306045666235
vls_mom_contrarian_v1_frozen,2024-01-04,603363,,饲料,7500,2024-01-03,2,5.89,44175.0,0.08805951323680208
vls_mom_contrarian_v1_frozen,2024-01-04,603613,,互联网,2000,2024-01-03,2,23.74,47480.0,0.09464778015808405
vls_mom_contrarian_v1_frozen,2024-01-04,603949,,汽车配件,2400,2024-01-03,2,19.62,47088.0,0.0938663578787671
vls_mom_contrarian_v1_frozen,2024-01-04,603985,,电气设备,1800,2024-01-03,2,22.92,41256.0,0.08224070804974548
vls_mom_contrarian_v1_frozen,2024-01-05,000049,,电气设备,1700,2024-01-03,3,25.88,43996.0,0.08895765715944451
vls_mom_contrarian_v1_frozen,2024-01-05,002123,,互联网,4000,2024-01-03,3,10.8,43200.0,0.08734818595526872
