signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,buffer_kept,band_reweight,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,1,920855,,机床制造,0.49979620949663744,0.1,0.1,6500,7.579000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.00870827285921627,0.0,0.0,0.0,0.00870827285921627,0.0077820672532477675,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,2,920429,,食品,0.4995924189932749,0.1,0.1,6300,7.832000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.027851367279322477,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,3,920001,,元器件,0.4993886284899124,0.1,0.1,6200,7.986000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.02200256813975327,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,4,920526,,化工原料,0.49918483798654983,0.1,0.1,10900,4.565,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.013822968687105492,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,5,920392,,广告包装,0.4989810474831873,0.1,0.1,5900,8.349,,1,0,0,0,0,,,,,,,,,,,,,0.050065876152832645,0.0,0.0,0.0,-0.050065876152832645,0.022442800035549396,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,6,920879,,电器仪表,0.4987772569798247,0.1,0.1,8000,6.226000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.0017667844522968323,0.0,0.0,0.0,0.0017667844522968323,0.025293339504908172,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,7,600246,,区域地产,0.4985734664764622,0.1,0.1,7000,7.106000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0002823605283699623,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,8,920807,,机械基件,0.49836967597309967,0.1,0.1,7800,6.336,,1,0,0,0,0,,,,,,,,,,,,,0.012152777777777679,0.0,0.0,0.0,-0.012152777777777679,0.03905526867290978,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,9,920957,,化工原料,0.49796209496637456,0.1,0.1,8200,6.050000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.0036363636363636598,0.0,0.0,0.0,0.0036363636363636598,0.12087192169433425,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
2023-01-03,2023-01-04,vls_mom_contrarian_v1_frozen,10,920190,,IT设备,0.497758304463012,0.1,0.1,2300,21.175,,1,0,0,0,0,,,,,,,,,,,,,0.007792207792207684,0.0,0.0,0.0,0.007792207792207684,0.0539687542500394,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0,0.09366249733020102,0,0
