strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2023-01-04,2023-01-03,51553.25400274998,447627.0,499180.25400275,0.9983605080054999,10,0.896724172101435,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.10326838036500709,0.0,0.0,0.10326838036500709,46308.53700000013,0.0,0.09366249733020102,0.0,0.0,NO_ACTION_CONFIRMED,499180.25400275,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-05,2023-01-04,51553.25400274998,447513.0,499066.25400275,0.9981325080054999,10,0.8967005811567738,10.0,0.0,0.0,447627.0,10.0,0.0,499180.25400275,10.0,1.0,2.0,0.10265845435961517,0.0,0.0,0.10265845435961517,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,499066.25400275,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-06,2023-01-05,51553.25400274998,446191.0,497744.25400275,0.9954885080054999,10,0.8964262197138992,10.0,0.0,0.0,447513.0,10.0,0.0,499066.25400275,10.0,1.0,2.0,0.10301806617098104,0.0,0.0,0.10301806617098104,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,497744.25400275,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-09,2023-01-06,51553.25400274998,448563.0,500116.25400275,1.0002325080055,10,0.8969174595103911,10.0,0.0,0.0,446191.0,10.0,0.0,497744.25400275,10.0,1.0,2.0,0.10354632017148829,0.0,0.0,0.10354632017148829,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,500116.25400275,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-10,2023-01-09,51553.25400274998,445421.0,496974.25400275,0.9939485080054999,10,0.8962657449806953,10.0,0.0,0.0,448563.0,10.0,0.0,500116.25400275,10.0,1.0,3.0,0.10339285368607205,0.0,0.0,0.10339285368607205,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,496974.25400275,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-11,2023-01-09,51553.25400274998,444529.0,496082.25400275,0.9921645080054999,10,0.8960792215670262,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,496082.25400275,0.0,22,1.0
vls_mom_contrarian_v1_frozen,2023-01-12,2023-01-11,51553.25400274998,443995.0,495548.25400275,0.9910965080055,10,0.8959672371230595,10.0,0.0,0.0,444529.0,10.0,0.0,496082.25400275,10.0,1.0,4.0,0.10385985462960574,0.0,0.0,0.10385985462960574,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,495548.25400275,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-13,2023-01-12,51553.25400274998,447011.0,498564.25400275,0.9971285080054999,10,0.8965965698726857,10.0,0.0,0.0,443995.0,10.0,0.0,495548.25400275,10.0,1.0,7.0,0.10393146316232761,0.0,0.0,0.10393146316232761,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,498564.25400275,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-16,2023-01-12,51553.25400274998,450199.0,501752.25400275,1.0035045080055,10,0.8972535676890703,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,501752.25400275,0.0,24,1.0
vls_mom_contrarian_v1_frozen,2023-01-17,2023-01-16,51553.25400274998,451880.0,503433.25400275,1.0068665080055,10,0.8975966454483192,10.0,0.0,0.0,450199.0,10.0,0.0,501752.25400275,10.0,1.0,5.0,0.1027751088442655,0.0,0.0,0.1027751088442655,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503433.25400275,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-18,2023-01-17,51553.25400274998,455999.0,507552.25400275,1.0151045080055,10,0.8984276917377838,10.0,0.0,0.0,451880.0,10.0,0.0,503433.25400275,10.0,1.0,4.0,0.10232733568871674,0.0,0.0,0.10232733568871674,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,507552.25400275,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-19,2023-01-18,51553.25400274998,455377.0,506930.25400275,1.0138605080054999,10,0.8983030632011355,10.0,0.0,0.0,455999.0,10.0,0.0,507552.25400275,10.0,1.0,5.0,0.10195396855181349,0.0,0.0,0.10195396855181349,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,506930.25400275,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-20,2023-01-18,51553.25400274998,458967.0,510520.25400275,1.0210405080055,10,0.8990182003582716,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,510520.25400275,0.0,26,1.0
vls_mom_contrarian_v1_frozen,2023-01-30,2023-01-20,51553.25400274998,463661.0,515214.25400275,1.0304285080055,10,0.8999382225894806,10.0,0.0,0.0,458967.0,10.0,0.0,510520.25400275,10.0,1.0,6.0,0.10091933295414161,0.0,0.0,0.10091933295414161,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,515214.25400275,0.0,26,
vls_mom_contrarian_v1_frozen,2023-01-31,2023-01-30,51553.25400274998,508723.0,560276.2540027499,1.1205525080054999,10,0.9079860093401408,10.0,0.0,0.0,463661.0,10.0,0.0,515214.25400275,10.0,1.0,7.0,0.10026358342657113,0.0,0.0,0.10026358342657113,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,560276.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-01,2023-01-31,51553.25400274998,523412.0,574965.2540027499,1.1499305080054998,10,0.910336748796818,10.0,0.0,0.0,508723.0,10.0,0.0,560276.2540027499,10.0,1.0,8.0,0.09130202306189739,0.0,0.0,0.09130202306189739,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,574965.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-02,2023-02-01,51553.25400274998,497865.0,549418.2540027499,1.0988365080054998,10,0.9061675624587241,10.0,0.0,0.0,523412.0,10.0,0.0,574965.2540027499,10.0,1.0,10.0,0.09171377614203383,0.0,0.0,0.09171377614203383,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,549418.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-03,2023-02-02,51553.25400274998,499321.0,550874.2540027499,1.1017485080054998,10,0.9064155682932088,10.0,0.0,0.0,497865.0,10.0,0.0,549418.2540027499,10.0,1.0,9.0,0.09386848703657481,0.0,0.0,0.09386848703657481,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,550874.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-06,2023-02-03,51553.25400274998,489150.0,540703.2540027499,1.0814065080054998,10,0.9046551807833438,10.0,0.0,0.0,499321.0,10.0,0.0,550874.2540027499,10.0,1.0,9.0,0.09404022976168182,0.0,0.0,0.09404022976168182,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,540703.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-07,2023-02-06,51553.25400274998,495281.0,546834.2540027499,1.0936685080054998,10,0.905724168474474,10.0,0.0,0.0,489150.0,10.0,0.0,540703.2540027499,10.0,1.0,10.0,0.0949033903461002,0.0,0.0,0.0949033903461002,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,546834.2540027499,0.0,26,
vls_mom_contrarian_v1_frozen,2023-02-08,2023-02-07,52256.87107600006,483515.0,535771.871076,1.071543742152,10,0.9024643250287634,0.0,0.0,0.0,0.0,10.0,20.0,546834.2540027499,10.0,1.0,0.0,0.09595813920325241,0.0,0.0,0.09595813920325241,47657.07700000011,0.0,0.0881767080058114,0.0,0.0,NO_ACTION_CONFIRMED,535771.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-09,2023-02-08,52256.87107600006,486322.0,538578.871076,1.077157742152,10,0.9029726677327712,10.0,0.0,0.0,483515.0,10.0,0.0,535771.871076,10.0,1.0,2.0,0.09771970699995243,0.0,0.0,0.09771970699995243,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,538578.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-10,2023-02-09,52256.87107600006,489936.0,542192.871076,1.084385742152,10,0.9036194058171688,10.0,0.0,0.0,486322.0,10.0,0.0,538578.871076,10.0,1.0,4.0,0.09687498111976457,0.0,0.0,0.09687498111976457,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,542192.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-13,2023-02-10,52256.87107600006,504042.0,556298.871076,1.1125977421520001,10,0.9060633163340344,10.0,0.0,0.0,489936.0,10.0,0.0,542192.871076,10.0,1.0,4.0,0.09635251617154178,0.0,0.0,0.09635251617154178,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,556298.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-14,2023-02-13,52256.87107600006,500126.0,552382.871076,1.104765742152,10,0.9053973723439186,10.0,0.0,0.0,504042.0,10.0,0.0,556298.871076,10.0,1.0,5.0,0.09441904836126645,0.0,0.0,0.09441904836126645,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,552382.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-15,2023-02-14,52256.87107600006,498659.0,550915.871076,1.101831742152,10,0.9051454608233802,10.0,0.0,0.0,500126.0,10.0,0.0,552382.871076,10.0,1.0,5.0,0.09418403789679683,0.0,0.0,0.09418403789679683,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,550915.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-16,2023-02-15,52256.87107600006,484324.0,536580.871076,1.073161742152,10,0.9026113790243586,10.0,0.0,0.0,498659.0,10.0,0.0,550915.871076,10.0,1.0,5.0,0.09511766341510196,0.0,0.0,0.09511766341510196,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,536580.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-17,2023-02-16,52256.87107600006,501034.0,553290.871076,1.1065817421520001,10,0.9055526237503708,10.0,0.0,0.0,484324.0,10.0,0.0,536580.871076,10.0,1.0,4.0,0.09743474342644864,0.0,0.0,0.09743474342644864,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,553290.871076,0.0,66,
vls_mom_contrarian_v1_frozen,2023-02-20,2023-02-16,52256.87107600006,509520.0,561776.871076,1.123553742152,10,0.906979311953677,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,561776.871076,0.0,68,1.0
vls_mom_contrarian_v1_frozen,2023-02-21,2023-02-20,52256.87107600006,503757.0,556013.871076,1.1120277421520002,10,0.9060151665373521,10.0,0.0,0.0,509520.0,10.0,0.0,561776.871076,10.0,1.0,8.0,0.09323328461935151,0.0,0.0,0.09323328461935151,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,556013.871076,0.0,68,
vls_mom_contrarian_v1_frozen,2023-02-22,2023-02-21,52256.87107600006,514692.0,566948.871076,1.133897742152,10,0.907827894644498,10.0,0.0,0.0,503757.0,10.0,0.0,556013.871076,10.0,1.0,9.0,0.09427970453460228,0.0,0.0,0.09427970453460228,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,566948.871076,0.0,68,
vls_mom_contrarian_v1_frozen,2023-02-23,2023-02-22,52256.87107600006,511041.0,563297.871076,1.126595742152,10,0.9072304836228476,10.0,0.0,0.0,514692.0,10.0,0.0,566948.871076,10.0,1.0,9.0,0.09256919279736602,0.0,0.0,0.09256919279736602,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,563297.871076,0.0,68,
vls_mom_contrarian_v1_frozen,2023-02-24,2023-02-23,52256.87107600006,497224.0,549480.871076,1.0989617421520002,10,0.9048977428938154,10.0,0.0,0.0,511041.0,10.0,0.0,563297.871076,10.0,1.0,9.0,0.09326423426317253,0.0,0.0,0.09326423426317253,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,549480.871076,0.0,68,
