signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,buffer_kept,band_reweight,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,1,603087,,生物制药,0.49973621735689794,0.1,0.1,300,148.51,,1,0,0,0,0,,,,,,,,,,,,,0.008591956151396185,0.0,0.0,0.0,-0.008591956151396185,0.00016625922958186362,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,2,600547,,黄金,0.49920865207069376,0.1,0.1,1500,31.878000000000004,,1,0,0,0,0,,,,,,,,,,,,,0.01104209799861966,0.0,0.0,0.0,0.01104209799861966,3.05415779445026e-05,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,3,603730,,汽车配件,0.49894486942759164,0.1,0.1,1800,27.049000000000003,,1,0,0,0,0,,,,,,,,,,,,,0.020333468889792594,0.0,0.0,0.0,-0.020333468889792594,0.00028024016245634315,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,4,000938,,IT设备,0.4986810867844896,0.1,0.1,1400,34.550000000000004,,1,0,0,0,0,,,,,,,,,,,,,0.009232728430436099,0.0,0.0,0.0,0.009232728430436099,3.3570046811516786e-05,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,5,603083,,通信设备,0.4984173041413875,0.1,0.1,1800,27.456000000000003,,1,0,0,0,0,,,,,,,,,,,,,0.011217948717948789,0.0,0.0,0.0,-0.011217948717948789,0.0005878984767056633,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,6,603330,,塑料,0.4981535214982854,0.1,0.1,1600,30.8,,1,0,0,0,0,,,,,,,,,,,,,0.0007142857142856673,0.0,0.0,0.0,-0.0007142857142856673,0.0005677395297333991,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,7,603128,,仓储物流,0.49788973885518334,0.1,0.1,7300,6.82,,1,0,0,0,0,,,,,,,,,,,,,0.01774193548387082,0.0,0.0,0.0,0.01774193548387082,7.868828888648943e-05,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,8,603883,,医药商业,0.4970983909258771,0.1,0.1,500,95.7,,1,0,0,0,0,,,,,,,,,,,,,0.02298850574712641,0.0,0.0,0.0,0.02298850574712641,0.00011293035666891667,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,9,603393,,供气供热,0.496834608282775,0.1,0.1,1600,30.118000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.0043827611395179655,0.0,0.0,0.0,0.0043827611395179655,0.00016800916292404976,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-08-28,2020-08-31,vls_mom_contrarian_v1_frozen,10,600211,,生物制药,0.4952519124241625,0.1,0.1,400,109.82000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.016626602564102422,0.0,0.0,0.0,0.016626602564102422,5.08535335900735e-05,0.12626148560417125,0.0,0.0,0.12626148560417125,41243.598000000115,0,0.08630501935834366,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,1,600547,,黄金,0.49894625922023184,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.002823861630780078,0.0,0.0,0.0,-0.002823861630780078,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,2,603087,,生物制药,0.4986828240252898,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.020415850534880264,0.0,0.0,0.0,-0.020415850534880264,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,3,603730,,汽车配件,0.49841938883034775,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.009961685823754896,0.0,0.0,0.0,-0.009961685823754896,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,4,000938,,IT设备,0.4981559536354057,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.029962546816479474,0.0,0.0,0.0,-0.029962546816479474,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,5,603083,,通信设备,0.4976290832455216,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.00907965332232763,0.0,0.0,0.0,-0.00907965332232763,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,6,603069,,公共交通,0.49736564805057953,0.1,0.0,0,,,1,0,0,0,1,,,,,,,,,,,,,0.012473379981746135,0.0,0.0,0.0,-0.012473379981746135,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,7,603883,,医药商业,0.49683877766069545,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.017086123297159972,0.0,0.0,0.0,0.017086123297159972,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
2020-09-03,2020-09-04,vls_mom_contrarian_v1_frozen,8,600211,,生物制药,0.49631190727081137,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.022085485111526304,0.0,0.0,0.0,-0.022085485111526304,0.0,0.1278189092020593,0.0,0.0,0.1278189092020593,0.0,0,0.0,0,0
