strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2020-08-31,000938,1400,31.7,32.8,31.41
vls_mom_contrarian_v1_frozen,2020-08-31,600211,400,101.5,96.79,99.84
vls_mom_contrarian_v1_frozen,2020-08-31,600547,1500,29.3,28.99,28.98
vls_mom_contrarian_v1_frozen,2020-08-31,603083,1800,24.68,25.0,24.96
vls_mom_contrarian_v1_frozen,2020-08-31,603087,300,133.85,132.88,135.01
vls_mom_contrarian_v1_frozen,2020-08-31,603128,7300,6.31,6.67,6.2
vls_mom_contrarian_v1_frozen,2020-08-31,603330,1600,27.98,28.36,28.0
vls_mom_contrarian_v1_frozen,2020-08-31,603393,1600,27.5,27.75,27.38
vls_mom_contrarian_v1_frozen,2020-08-31,603730,1800,24.09,25.02,24.59
vls_mom_contrarian_v1_frozen,2020-08-31,603883,500,89.0,88.92,87.0
vls_mom_contrarian_v1_frozen,2020-09-01,000938,1400,32.86,34.77,32.8
vls_mom_contrarian_v1_frozen,2020-09-01,600211,400,96.0,95.48,96.79
vls_mom_contrarian_v1_frozen,2020-09-01,600547,1500,29.07,29.79,28.99
vls_mom_contrarian_v1_frozen,2020-09-01,603083,1800,24.8,24.6,25.0
vls_mom_contrarian_v1_frozen,2020-09-01,603087,300,131.03,132.31,132.88
vls_mom_contrarian_v1_frozen,2020-09-01,603128,7300,6.6,6.7,6.67
vls_mom_contrarian_v1_frozen,2020-09-01,603330,1600,28.55,28.2,28.36
vls_mom_contrarian_v1_frozen,2020-09-01,603393,1600,27.85,27.47,27.75
vls_mom_contrarian_v1_frozen,2020-09-01,603730,1800,24.87,25.22,25.02
vls_mom_contrarian_v1_frozen,2020-09-01,603883,500,89.37,89.88,88.92
vls_mom_contrarian_v1_frozen,2020-09-02,000938,1400,34.5,34.01,34.77
vls_mom_contrarian_v1_frozen,2020-09-02,600211,400,95.99,93.04,95.48
vls_mom_contrarian_v1_frozen,2020-09-02,600547,1500,29.25,28.88,29.79
vls_mom_contrarian_v1_frozen,2020-09-02,603083,1800,24.78,24.85,24.6
vls_mom_contrarian_v1_frozen,2020-09-02,603087,300,132.55,135.84,132.31
vls_mom_contrarian_v1_frozen,2020-09-02,603128,7300,6.85,6.76,6.7
vls_mom_contrarian_v1_frozen,2020-09-02,603330,1600,28.56,28.12,28.2
vls_mom_contrarian_v1_frozen,2020-09-02,603393,1600,27.69,27.72,27.47
vls_mom_contrarian_v1_frozen,2020-09-02,603730,1800,25.29,25.28,25.22
vls_mom_contrarian_v1_frozen,2020-09-02,603883,500,89.1,90.8,89.88
vls_mom_contrarian_v1_frozen,2020-09-03,000938,1400,32.8,32.04,34.01
vls_mom_contrarian_v1_frozen,2020-09-03,600211,400,93.01,91.01,93.04
vls_mom_contrarian_v1_frozen,2020-09-03,600547,1500,28.57,28.33,28.88
vls_mom_contrarian_v1_frozen,2020-09-03,603083,1800,24.89,24.23,24.85
vls_mom_contrarian_v1_frozen,2020-09-03,603087,300,135.84,132.74,135.84
vls_mom_contrarian_v1_frozen,2020-09-03,603128,7300,6.79,6.58,6.76
vls_mom_contrarian_v1_frozen,2020-09-03,603330,1600,28.12,27.99,28.12
vls_mom_contrarian_v1_frozen,2020-09-03,603393,1600,27.72,27.68,27.72
vls_mom_contrarian_v1_frozen,2020-09-03,603730,1800,25.48,26.1,25.28
vls_mom_contrarian_v1_frozen,2020-09-03,603883,500,91.0,86.62,90.8
vls_mom_contrarian_v1_frozen,2020-09-04,000938,1400,31.08,32.06,32.04
vls_mom_contrarian_v1_frozen,2020-09-04,600211,400,89.0,91.44,91.01
vls_mom_contrarian_v1_frozen,2020-09-04,600547,1500,28.25,28.46,28.33
vls_mom_contrarian_v1_frozen,2020-09-04,603083,1800,24.01,24.35,24.23
vls_mom_contrarian_v1_frozen,2020-09-04,603087,300,130.03,132.17,132.74
vls_mom_contrarian_v1_frozen,2020-09-04,603128,7300,6.51,6.5,6.58
vls_mom_contrarian_v1_frozen,2020-09-04,603330,1600,27.89,27.98,27.99
vls_mom_contrarian_v1_frozen,2020-09-04,603393,1600,27.31,27.62,27.68
vls_mom_contrarian_v1_frozen,2020-09-04,603730,1800,25.84,26.41,26.1
vls_mom_contrarian_v1_frozen,2020-09-04,603883,500,88.1,87.94,86.62
vls_mom_contrarian_v1_frozen,2020-09-07,000938,1400,31.95,30.67,32.06
vls_mom_contrarian_v1_frozen,2020-09-07,600211,400,91.08,83.53,91.44
vls_mom_contrarian_v1_frozen,2020-09-07,600547,1500,28.34,27.72,28.46
vls_mom_contrarian_v1_frozen,2020-09-07,603083,1800,24.36,24.13,24.35
vls_mom_contrarian_v1_frozen,2020-09-07,603087,300,130.28,125.08,132.17
vls_mom_contrarian_v1_frozen,2020-09-07,603128,7300,6.53,6.4,6.5
vls_mom_contrarian_v1_frozen,2020-09-07,603330,1600,27.92,26.99,27.98
vls_mom_contrarian_v1_frozen,2020-09-07,603393,1600,27.46,26.79,27.62
vls_mom_contrarian_v1_frozen,2020-09-07,603730,1800,26.39,27.03,26.41
vls_mom_contrarian_v1_frozen,2020-09-07,603883,500,87.06,83.74,87.94
vls_mom_contrarian_v1_frozen,2020-09-08,000938,1400,30.76,30.2,30.67
vls_mom_contrarian_v1_frozen,2020-09-08,600211,400,84.7,82.0,83.53
vls_mom_contrarian_v1_frozen,2020-09-08,600547,1500,27.52,27.21,27.72
vls_mom_contrarian_v1_frozen,2020-09-08,603083,1800,24.12,23.97,24.13
vls_mom_contrarian_v1_frozen,2020-09-08,603087,300,125.08,120.3,125.08
vls_mom_contrarian_v1_frozen,2020-09-08,603128,7300,6.62,6.55,6.4
vls_mom_contrarian_v1_frozen,2020-09-08,603330,1600,26.9,27.18,26.99
vls_mom_contrarian_v1_frozen,2020-09-08,603393,1600,26.8,26.68,26.79
vls_mom_contrarian_v1_frozen,2020-09-08,603730,1800,27.0,26.79,27.03
vls_mom_contrarian_v1_frozen,2020-09-08,603883,500,84.6,83.06,83.74
vls_mom_contrarian_v1_frozen,2020-09-09,000938,1400,30.18,29.75,30.2
vls_mom_contrarian_v1_frozen,2020-09-09,600211,400,80.13,75.5,82.0
vls_mom_contrarian_v1_frozen,2020-09-09,600547,1500,26.8,27.04,27.21
vls_mom_contrarian_v1_frozen,2020-09-09,603083,1800,23.8,23.23,23.97
vls_mom_contrarian_v1_frozen,2020-09-09,603087,300,118.0,120.41,120.3
vls_mom_contrarian_v1_frozen,2020-09-09,603128,7300,6.49,6.4,6.55
vls_mom_contrarian_v1_frozen,2020-09-09,603330,1600,26.98,26.69,27.18
vls_mom_contrarian_v1_frozen,2020-09-09,603393,1600,26.4,25.5,26.68
vls_mom_contrarian_v1_frozen,2020-09-09,603730,1800,26.53,26.96,26.79
vls_mom_contrarian_v1_frozen,2020-09-09,603883,500,83.3,79.05,83.06
vls_mom_contrarian_v1_frozen,2020-09-10,000938,1400,29.23,27.24,29.75
