strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2020-08-31,000938,,IT设备,1400,2020-08-31,1,32.8,45919.99999999999,0.09111430746094616
vls_mom_contrarian_v1_frozen,2020-08-31,600211,,生物制药,400,2020-08-31,1,96.79,38716.0,0.07682015521903293
vls_mom_contrarian_v1_frozen,2020-08-31,600547,,黄金,1500,2020-08-31,1,28.99,43485.0,0.08628278876174313
vls_mom_contrarian_v1_frozen,2020-08-31,603083,,通信设备,1800,2020-08-31,1,25.0,45000.0,0.08928884659718157
vls_mom_contrarian_v1_frozen,2020-08-31,603087,,生物制药,300,2020-08-31,1,132.88,39864.0,0.07909801290555658
vls_mom_contrarian_v1_frozen,2020-08-31,603128,,仓储物流,7300,2020-08-31,1,6.67,48691.0,0.09661251621474151
vls_mom_contrarian_v1_frozen,2020-08-31,603330,,塑料,1600,2020-08-31,1,28.36,45376.0,0.0900349045154158
vls_mom_contrarian_v1_frozen,2020-08-31,603393,,供气供热,1600,2020-08-31,1,27.75,44400.0,0.08809832864255249
vls_mom_contrarian_v1_frozen,2020-08-31,603730,,汽车配件,1800,2020-08-31,1,25.02,45036.0,0.08936027767445931
vls_mom_contrarian_v1_frozen,2020-08-31,603883,,医药商业,500,2020-08-31,1,88.92,44460.0,0.08821738043801539
vls_mom_contrarian_v1_frozen,2020-09-01,000938,,IT设备,1400,2020-08-31,2,34.77,48678.00000000001,0.09603450388953053
vls_mom_contrarian_v1_frozen,2020-09-01,600211,,生物制药,400,2020-08-31,2,95.48,38192.0,0.07534717475140616
vls_mom_contrarian_v1_frozen,2020-09-01,600547,,黄金,1500,2020-08-31,2,29.79,44685.0,0.08815690468597047
vls_mom_contrarian_v1_frozen,2020-09-01,603083,,通信设备,1800,2020-08-31,2,24.6,44280.0,0.08735789950754778
vls_mom_contrarian_v1_frozen,2020-09-01,603087,,生物制药,300,2020-08-31,2,132.31,39693.0,0.07830842604230114
vls_mom_contrarian_v1_frozen,2020-09-01,603128,,仓储物流,7300,2020-08-31,2,6.7,48910.0,0.0964922056213677
vls_mom_contrarian_v1_frozen,2020-09-01,603330,,塑料,1600,2020-08-31,2,28.2,45120.0,0.08901509543316521
vls_mom_contrarian_v1_frozen,2020-09-01,603393,,供气供热,1600,2020-08-31,2,27.47,43952.0,0.08671080395564001
vls_mom_contrarian_v1_frozen,2020-09-01,603730,,汽车配件,1800,2020-08-31,2,25.22,45396.0,0.08955960266586808
vls_mom_contrarian_v1_frozen,2020-09-01,603883,,医药商业,500,2020-08-31,2,89.88,44940.0,0.08865998202053291
vls_mom_contrarian_v1_frozen,2020-09-02,000938,,IT设备,1400,2020-08-31,3,34.01,47614.0,0.09405005701643686
vls_mom_contrarian_v1_frozen,2020-09-02,600211,,生物制药,400,2020-08-31,3,93.04,37216.0,0.07351129755793914
vls_mom_contrarian_v1_frozen,2020-09-02,600547,,黄金,1500,2020-08-31,3,28.88,43320.0,0.08556828810753234
vls_mom_contrarian_v1_frozen,2020-09-02,603083,,通信设备,1800,2020-08-31,3,24.85,44730.0,0.08835340551823456
vls_mom_contrarian_v1_frozen,2020-09-02,603087,,生物制药,300,2020-08-31,3,135.84,40752.0,0.08049581895101934
vls_mom_contrarian_v1_frozen,2020-09-02,603128,,仓储物流,7300,2020-08-31,3,6.76,49348.0,0.09747515885342811
vls_mom_contrarian_v1_frozen,2020-09-02,603330,,塑料,1600,2020-08-31,3,28.12,44992.0,0.08887092378887569
vls_mom_contrarian_v1_frozen,2020-09-02,603393,,供气供热,1600,2020-08-31,3,27.72,44352.0,0.08760675702089737
vls_mom_contrarian_v1_frozen,2020-09-02,603730,,汽车配件,1800,2020-08-31,3,25.28,45504.0,0.08988225720325835
vls_mom_contrarian_v1_frozen,2020-09-02,603883,,医药商业,500,2020-08-31,3,90.8,45400.0,0.08967683010346186
vls_mom_contrarian_v1_frozen,2020-09-03,000938,,IT设备,1400,2020-08-31,4,32.04,44856.0,0.09014083250839562
vls_mom_contrarian_v1_frozen,2020-09-03,600211,,生物制药,400,2020-08-31,4,91.01,36404.0,0.0731560296646075
vls_mom_contrarian_v1_frozen,2020-09-03,600547,,黄金,1500,2020-08-31,4,28.33,42495.0,0.08539626086686891
vls_mom_contrarian_v1_frozen,2020-09-03,603083,,通信设备,1800,2020-08-31,4,24.23,43614.0,0.08764495873508933
vls_mom_contrarian_v1_frozen,2020-09-03,603087,,生物制药,300,2020-08-31,4,132.74,39822.0,0.08002470644170971
vls_mom_contrarian_v1_frozen,2020-09-03,603128,,仓储物流,7300,2020-08-31,4,6.58,48034.0,0.09652721483654975
vls_mom_contrarian_v1_frozen,2020-09-03,603330,,塑料,1600,2020-08-31,4,27.99,44784.0,0.0899961441737112
vls_mom_contrarian_v1_frozen,2020-09-03,603393,,供气供热,1600,2020-08-31,4,27.68,44288.0,0.08899940231255184
vls_mom_contrarian_v1_frozen,2020-09-03,603730,,汽车配件,1800,2020-08-31,4,26.1,46980.0,0.09440913838158611
vls_mom_contrarian_v1_frozen,2020-09-03,603883,,医药商业,500,2020-08-31,4,86.62,43310.0,0.08703405243308843
vls_mom_contrarian_v1_frozen,2020-09-04,000938,,IT设备,1400,2020-08-31,5,32.06,44884.0,0.09002306787689973
vls_mom_contrarian_v1_frozen,2020-09-04,600211,,生物制药,400,2020-08-31,5,91.44,36576.0,0.0733598549742778
vls_mom_contrarian_v1_frozen,2020-09-04,600547,,黄金,1500,2020-08-31,5,28.46,42690.0,0.08562259976082456
