signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,planned_shares,planned_price,plan_reject_reason,execution_tradable,locked,buffer_kept,band_reweight,skipped_by_position_cap,pattern_score,pattern_sentiment,pattern_risk_level,pattern_pass_count,bullish_pattern_count,bearish_pattern_count,top_pattern_ids,base_rank_score,pattern_adjustment_pct,pattern_adjusted_rank_score,pattern_strategy_mode,pattern_weight_multiplier,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,1,920504,,医疗保健,0.5,0.1,0.1,2400,20.647000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.004794885455514097,0.0,0.0,0.0,-0.004794885455514097,0.004733281929891575,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,2,920802,,环境保护,0.499813223757938,0.1,0.1,3000,16.61,,1,0,0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.006754927449377223,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,3,920274,,广告包装,0.4996264475158759,0.1,0.1,3800,12.848,,1,0,0,0,0,,,,,,,,,,,,,0.001712328767123239,0.0,0.0,0.0,0.001712328767123239,0.00793432662639414,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,4,920651,,电器仪表,0.49943967127381395,0.1,0.1,2200,22.165,,1,0,0,0,0,,,,,,,,,,,,,0.011414392059553302,0.0,0.0,0.0,0.011414392059553302,0.0028156523691968984,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,5,920656,,化学制药,0.49925289503175196,0.1,0.1,2900,17.16,,1,0,0,0,0,,,,,,,,,,,,,0.009615384615384581,0.0,0.0,0.0,0.009615384615384581,0.00765781923074449,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,6,920706,,工程机械,0.49906611878969,0.1,0.1,3500,13.904000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.011075949367088667,0.0,0.0,0.0,-0.011075949367088667,0.002687263285695321,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,7,920118,,塑料,0.4988793425476279,0.1,0.1,1800,26.499000000000002,,1,0,0,0,0,,,,,,,,,,,,,0.010377750103777394,0.0,0.0,0.0,0.010377750103777394,0.013082063522837488,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,8,920931,,化工机械,0.4986925663055659,0.1,0.1,3900,12.738000000000001,,1,0,0,0,0,,,,,,,,,,,,,0.010362694300518172,0.0,0.0,0.0,0.010362694300518172,0.004762124726713567,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,9,920132,,家居用品,0.49850579006350393,0.1,0.1,3500,13.992000000000003,,1,0,0,0,0,,,,,,,,,,,,,0.00864779874213828,0.0,0.0,0.0,0.00864779874213828,0.00424652648995964,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-01-27,2025-02-05,vls_mom_contrarian_v1_frozen,10,920895,,农用机械,0.49831901382144195,0.1,0.1,3800,13.134,,1,0,0,0,0,,,,,,,,,,,,,0.0201005025125629,0.0,0.0,0.0,0.0201005025125629,0.005826847760433583,0.09961491251965064,0.0,0.0,0.09961491251965064,41720.31600000011,0,0.084857100667177,0,0
2025-02-05,2025-02-06,vls_mom_contrarian_v1_frozen,1,920504,,医疗保健,0.5,0.1,0.0,0,,,1,1,0,0,0,,,,,,,,,,,,,0.005025125628140614,0.0,0.0,0.0,0.005025125628140614,0.0,0.1016644400553515,0.0,0.0,0.1016644400553515,0.0,0,0.0,0,0
