strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2025-02-05,920118,1800,24.34,24.09,24.09
vls_mom_contrarian_v1_frozen,2025-02-05,920132,3500,12.83,12.51,12.72
vls_mom_contrarian_v1_frozen,2025-02-05,920274,3800,11.7,11.67,11.68
vls_mom_contrarian_v1_frozen,2025-02-05,920504,2400,18.68,17.91,18.77
vls_mom_contrarian_v1_frozen,2025-02-05,920651,2200,20.38,19.5,20.15
vls_mom_contrarian_v1_frozen,2025-02-05,920656,2900,15.75,15.85,15.6
vls_mom_contrarian_v1_frozen,2025-02-05,920706,3500,12.5,12.25,12.64
vls_mom_contrarian_v1_frozen,2025-02-05,920802,3000,15.1,14.88,15.1
vls_mom_contrarian_v1_frozen,2025-02-05,920895,3800,12.18,12.1,11.94
vls_mom_contrarian_v1_frozen,2025-02-05,920931,3900,11.7,11.37,11.58
vls_mom_contrarian_v1_frozen,2025-02-06,920118,1800,23.91,24.94,24.09
vls_mom_contrarian_v1_frozen,2025-02-06,920132,3500,12.61,13.33,12.51
vls_mom_contrarian_v1_frozen,2025-02-06,920274,3800,11.9,12.17,11.67
vls_mom_contrarian_v1_frozen,2025-02-06,920504,2400,18.0,18.8,17.91
vls_mom_contrarian_v1_frozen,2025-02-06,920651,2200,19.6,20.36,19.5
vls_mom_contrarian_v1_frozen,2025-02-06,920656,2900,15.76,16.31,15.85
vls_mom_contrarian_v1_frozen,2025-02-06,920706,3500,12.3,12.84,12.25
vls_mom_contrarian_v1_frozen,2025-02-06,920802,3000,14.21,15.43,14.88
vls_mom_contrarian_v1_frozen,2025-02-06,920895,3800,11.96,12.66,12.1
vls_mom_contrarian_v1_frozen,2025-02-06,920931,3900,11.25,11.94,11.37
vls_mom_contrarian_v1_frozen,2025-02-07,920118,1800,24.86,25.64,24.94
vls_mom_contrarian_v1_frozen,2025-02-07,920132,3500,13.5,13.99,13.33
vls_mom_contrarian_v1_frozen,2025-02-07,920274,3800,12.17,12.66,12.17
vls_mom_contrarian_v1_frozen,2025-02-07,920504,2400,18.7,19.3,18.8
vls_mom_contrarian_v1_frozen,2025-02-07,920651,2200,20.36,21.2,20.36
vls_mom_contrarian_v1_frozen,2025-02-07,920656,2900,16.59,16.88,16.31
vls_mom_contrarian_v1_frozen,2025-02-07,920706,3500,12.84,13.39,12.84
vls_mom_contrarian_v1_frozen,2025-02-07,920802,3000,15.35,15.89,15.43
vls_mom_contrarian_v1_frozen,2025-02-07,920895,3800,12.66,13.65,12.66
vls_mom_contrarian_v1_frozen,2025-02-07,920931,3900,11.88,12.2,11.94
vls_mom_contrarian_v1_frozen,2025-02-10,920118,1800,25.72,25.98,25.64
vls_mom_contrarian_v1_frozen,2025-02-10,920132,3500,14.0,14.25,13.99
vls_mom_contrarian_v1_frozen,2025-02-10,920274,3800,12.64,13.11,12.66
vls_mom_contrarian_v1_frozen,2025-02-10,920504,2400,19.4,19.93,19.3
vls_mom_contrarian_v1_frozen,2025-02-10,920651,2200,21.18,21.63,21.2
vls_mom_contrarian_v1_frozen,2025-02-10,920656,2900,17.18,17.51,16.88
vls_mom_contrarian_v1_frozen,2025-02-10,920706,3500,13.4,13.75,13.39
vls_mom_contrarian_v1_frozen,2025-02-10,920802,3000,15.99,16.83,15.89
vls_mom_contrarian_v1_frozen,2025-02-10,920895,3800,13.65,14.06,13.65
vls_mom_contrarian_v1_frozen,2025-02-10,920931,3900,12.2,12.9,12.2
vls_mom_contrarian_v1_frozen,2025-02-11,920118,1800,26.03,26.78,25.98
vls_mom_contrarian_v1_frozen,2025-02-11,920132,3500,14.25,15.15,14.25
vls_mom_contrarian_v1_frozen,2025-02-11,920274,3800,13.51,13.34,13.11
vls_mom_contrarian_v1_frozen,2025-02-11,920504,2400,19.9,20.01,19.93
vls_mom_contrarian_v1_frozen,2025-02-11,920651,2200,21.81,22.3,21.63
vls_mom_contrarian_v1_frozen,2025-02-11,920656,2900,17.85,17.7,17.51
vls_mom_contrarian_v1_frozen,2025-02-11,920706,3500,13.92,13.86,13.75
vls_mom_contrarian_v1_frozen,2025-02-11,920802,3000,17.0,17.26,16.83
vls_mom_contrarian_v1_frozen,2025-02-11,920895,3800,14.06,15.06,14.06
vls_mom_contrarian_v1_frozen,2025-02-11,920931,3900,12.76,13.2,12.9
vls_mom_contrarian_v1_frozen,2025-02-12,920118,1800,26.55,26.51,26.78
vls_mom_contrarian_v1_frozen,2025-02-12,920132,3500,15.6,15.22,15.15
vls_mom_contrarian_v1_frozen,2025-02-12,920274,3800,10.06,13.29,13.34
vls_mom_contrarian_v1_frozen,2025-02-12,920504,2400,20.03,20.58,20.01
vls_mom_contrarian_v1_frozen,2025-02-12,920651,2200,22.35,22.68,22.3
vls_mom_contrarian_v1_frozen,2025-02-12,920656,2900,17.99,17.82,17.7
vls_mom_contrarian_v1_frozen,2025-02-12,920706,3500,13.85,14.12,13.86
vls_mom_contrarian_v1_frozen,2025-02-12,920802,3000,17.55,17.35,17.26
vls_mom_contrarian_v1_frozen,2025-02-12,920895,3800,15.04,14.88,15.06
vls_mom_contrarian_v1_frozen,2025-02-12,920931,3900,13.12,13.49,13.2
vls_mom_contrarian_v1_frozen,2025-02-13,920118,1800,26.38,25.5,26.51
vls_mom_contrarian_v1_frozen,2025-02-13,920132,3500,14.8,14.85,15.22
vls_mom_contrarian_v1_frozen,2025-02-13,920274,3800,13.3,13.52,13.29
vls_mom_contrarian_v1_frozen,2025-02-13,920504,2400,20.79,19.6,20.58
vls_mom_contrarian_v1_frozen,2025-02-13,920651,2200,22.68,21.7,22.68
vls_mom_contrarian_v1_frozen,2025-02-13,920656,2900,17.89,17.61,17.82
vls_mom_contrarian_v1_frozen,2025-02-13,920706,3500,14.46,14.31,14.12
vls_mom_contrarian_v1_frozen,2025-02-13,920802,3000,17.22,17.0,17.35
vls_mom_contrarian_v1_frozen,2025-02-13,920895,3800,14.92,14.15,14.88
vls_mom_contrarian_v1_frozen,2025-02-13,920931,3900,13.3,13.26,13.49
vls_mom_contrarian_v1_frozen,2025-02-14,920118,1800,25.5,25.2,25.5
vls_mom_contrarian_v1_frozen,2025-02-14,920132,3500,14.68,14.81,14.85
vls_mom_contrarian_v1_frozen,2025-02-14,920274,3800,13.5,13.19,13.52
vls_mom_contrarian_v1_frozen,2025-02-14,920504,2400,19.43,20.86,19.6
vls_mom_contrarian_v1_frozen,2025-02-14,920651,2200,21.7,21.2,21.7
vls_mom_contrarian_v1_frozen,2025-02-14,920656,2900,17.56,17.94,17.61
vls_mom_contrarian_v1_frozen,2025-02-14,920706,3500,15.1,15.05,14.31
vls_mom_contrarian_v1_frozen,2025-02-14,920802,3000,16.8,17.04,17.0
vls_mom_contrarian_v1_frozen,2025-02-14,920895,3800,14.12,14.29,14.15
vls_mom_contrarian_v1_frozen,2025-02-14,920931,3900,13.21,13.65,13.26
vls_mom_contrarian_v1_frozen,2025-02-17,920118,1800,25.23,25.6,25.2
vls_mom_contrarian_v1_frozen,2025-02-17,920132,3500,14.8,15.29,14.81
vls_mom_contrarian_v1_frozen,2025-02-17,920274,3800,13.21,13.43,13.19
vls_mom_contrarian_v1_frozen,2025-02-17,920504,2400,20.88,21.09,20.86
vls_mom_contrarian_v1_frozen,2025-02-17,920651,2200,21.3,21.53,21.2
vls_mom_contrarian_v1_frozen,2025-02-17,920656,2900,17.9,18.13,17.94
vls_mom_contrarian_v1_frozen,2025-02-17,920706,3500,14.36,14.75,15.05
vls_mom_contrarian_v1_frozen,2025-02-17,920802,3000,17.17,17.31,17.04
vls_mom_contrarian_v1_frozen,2025-02-17,920895,3800,14.32,16.5,14.29
vls_mom_contrarian_v1_frozen,2025-02-17,920931,3900,13.87,13.7,13.65
vls_mom_contrarian_v1_frozen,2025-02-18,920118,1800,25.48,25.14,25.6
vls_mom_contrarian_v1_frozen,2025-02-18,920132,3500,17.0,14.81,15.29
vls_mom_contrarian_v1_frozen,2025-02-18,920274,3800,13.38,13.0,13.43
vls_mom_contrarian_v1_frozen,2025-02-18,920504,2400,20.99,19.62,21.09
vls_mom_contrarian_v1_frozen,2025-02-18,920651,2200,21.5,21.58,21.53
vls_mom_contrarian_v1_frozen,2025-02-18,920656,2900,18.09,17.41,18.13
vls_mom_contrarian_v1_frozen,2025-02-18,920706,3500,14.56,14.95,14.75
vls_mom_contrarian_v1_frozen,2025-02-18,920802,3000,17.11,16.48,17.31
vls_mom_contrarian_v1_frozen,2025-02-18,920895,3800,16.19,15.55,16.5
vls_mom_contrarian_v1_frozen,2025-02-18,920931,3900,13.8,13.34,13.7
vls_mom_contrarian_v1_frozen,2025-02-19,920118,1800,25.14,25.68,25.14
vls_mom_contrarian_v1_frozen,2025-02-19,920132,3500,14.8,15.12,14.81
vls_mom_contrarian_v1_frozen,2025-02-19,920274,3800,12.9,13.28,13.0
vls_mom_contrarian_v1_frozen,2025-02-19,920504,2400,19.65,20.01,19.62
vls_mom_contrarian_v1_frozen,2025-02-19,920651,2200,21.44,21.92,21.58
vls_mom_contrarian_v1_frozen,2025-02-19,920656,2900,17.31,17.68,17.41
vls_mom_contrarian_v1_frozen,2025-02-19,920706,3500,15.39,15.9,14.95
