strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2023-01-04,2023-01-03,49437.55641875002,450263.0,499700.55641875,0.9994011128375001,10,0.901065636642355,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.09903107560716232,0.0,0.0,0.09903107560716232,46485.725000000035,0.0,0.09358715992514761,0.0,0.0,NO_ACTION_CONFIRMED,499700.55641875,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-05,2023-01-04,49437.55641875002,454223.0,503660.55641875,1.0073211128375001,10,0.9018435019603819,10.0,0.0,0.0,450263.0,10.0,0.0,499700.55641875,10.0,1.0,0.0,0.09896803265285568,0.0,0.0,0.09896803265285568,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503660.55641875,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-06,2023-01-05,49437.55641875002,453244.0,502681.55641875,1.0053631128375,10,0.9016523367776658,10.0,0.0,0.0,454223.0,10.0,0.0,503660.55641875,10.0,1.0,1.0,0.09909400030264932,0.0,0.0,0.09909400030264932,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,502681.55641875,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-09,2023-01-06,49437.55641875002,449612.0,499049.55641875,0.9980991128375001,10,0.9009365787768235,10.0,0.0,0.0,453244.0,10.0,0.0,502681.55641875,10.0,1.0,1.0,0.09850580346516055,0.0,0.0,0.09850580346516055,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,499049.55641875,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-10,2023-01-09,49437.55641875002,448441.0,497878.55641875,0.9957571128375,10,0.9007035836723812,10.0,0.0,0.0,449612.0,10.0,0.0,499049.55641875,10.0,1.0,1.0,0.09913453673403973,0.0,0.0,0.09913453673403973,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,497878.55641875,0.0,20,
vls_mom_contrarian_v1_frozen,2023-01-11,2023-01-09,49437.55641875002,448628.0,498065.55641875,0.9961311128375001,10,0.9007408647684417,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,498065.55641875,0.0,22,1.0
vls_mom_contrarian_v1_frozen,2023-01-12,2023-01-11,49437.55641875002,449805.0,499242.55641875,0.9984851128375001,10,0.9009748752722849,10.0,0.0,0.0,448628.0,10.0,0.0,498065.55641875,10.0,1.0,2.0,0.09924518694102433,0.0,0.0,0.09924518694102433,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,499242.55641875,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-13,2023-01-12,49437.55641875002,449418.0,498855.55641875,0.9977111128375,10,0.9008980539905,10.0,0.0,0.0,449805.0,10.0,0.0,499242.55641875,10.0,1.0,2.0,0.09894208546498226,0.0,0.0,0.09894208546498226,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,498855.55641875,0.0,22,
vls_mom_contrarian_v1_frozen,2023-01-16,2023-01-12,49437.55641875002,450842.0,500279.55641875,1.0005591128375,10,0.9011801386156,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,500279.55641875,0.0,24,1.0
vls_mom_contrarian_v1_frozen,2023-01-17,2023-01-16,49437.55641875002,450939.0,500376.55641875,1.0007531128375,10,0.9011992952416076,10.0,0.0,0.0,450842.0,10.0,0.0,500279.55641875,10.0,1.0,3.0,0.09834042485109694,0.0,0.0,0.09834042485109694,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,500376.55641875,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-18,2023-01-17,49437.55641875002,453878.0,503315.55641875,1.0066311128375,10,0.9017762201301427,10.0,0.0,0.0,450939.0,10.0,0.0,500376.55641875,10.0,1.0,3.0,0.09880998590731532,0.0,0.0,0.09880998590731532,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503315.55641875,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-19,2023-01-18,49437.55641875002,454042.0,503479.55641875,1.0069591128375,10,0.901808214874901,10.0,0.0,0.0,453878.0,10.0,0.0,503315.55641875,10.0,1.0,3.0,0.09832380019519378,0.0,0.0,0.09832380019519378,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,503479.55641875,0.0,24,
vls_mom_contrarian_v1_frozen,2023-01-20,2023-01-18,49437.55641875002,460275.0,509712.55641875,1.0194251128375,10,0.9030089492672121,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,509712.55641875,0.0,26,1.0
vls_mom_contrarian_v1_frozen,2023-01-30,2023-01-20,49437.55641875002,465759.0,515196.55641875,1.0303931128375001,10,0.9040413686721785,10.0,0.0,0.0,460275.0,10.0,0.0,509712.55641875,10.0,1.0,3.0,0.09666013493849641,0.0,0.0,0.09666013493849641,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,515196.55641875,0.0,26,
