strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2023-01-04,920046,,电气设备,8900,2023-01-04,1,5.04,44856.0,0.08976575956103316
vls_mom_contrarian_v1_frozen,2023-01-04,920122,,综合类,4100,2023-01-04,1,10.85,44485.0,0.08902331492046905
vls_mom_contrarian_v1_frozen,2023-01-04,920299,,电气设备,10400,2023-01-04,1,4.35,45239.99999999999,0.09053421978199437
vls_mom_contrarian_v1_frozen,2023-01-04,920505,,机械基件,4400,2023-01-04,1,10.04,44175.99999999999,0.0884049445864143
vls_mom_contrarian_v1_frozen,2023-01-04,920526,,化工原料,10900,2023-01-04,1,4.14,45126.0,0.09030608315389652
vls_mom_contrarian_v1_frozen,2023-01-04,920564,,软件服务,7100,2023-01-04,1,6.35,45085.0,0.09022403401572097
vls_mom_contrarian_v1_frozen,2023-01-04,920580,,其他建材,10600,2023-01-04,1,4.25,45050.0,0.09015399206849795
vls_mom_contrarian_v1_frozen,2023-01-04,920718,,家用电器,8700,2023-01-04,1,5.15,44805.0,0.08966369843793674
vls_mom_contrarian_v1_frozen,2023-01-04,920753,,纺织,6100,2023-01-04,1,7.6,46360.0,0.09277556209313129
vls_mom_contrarian_v1_frozen,2023-01-04,920871,,塑料,9200,2023-01-04,1,4.9,45080.0,0.09021402802326055
vls_mom_contrarian_v1_frozen,2023-01-05,920046,,电气设备,8900,2023-01-04,2,5.02,44677.99999999999,0.08870656919747774
vls_mom_contrarian_v1_frozen,2023-01-05,920122,,综合类,4100,2023-01-04,2,11.67,47847.0,0.09499850522386226
vls_mom_contrarian_v1_frozen,2023-01-05,920299,,电气设备,10400,2023-01-04,2,4.35,45239.99999999999,0.08982240007372518
vls_mom_contrarian_v1_frozen,2023-01-05,920505,,机械基件,4400,2023-01-04,2,10.13,44572.0,0.08849610999306098
vls_mom_contrarian_v1_frozen,2023-01-05,920526,,化工原料,10900,2023-01-04,2,4.11,44799.0,0.0889468103647837
vls_mom_contrarian_v1_frozen,2023-01-05,920564,,软件服务,7100,2023-01-04,2,6.36,45156.0,0.08965562108154586
vls_mom_contrarian_v1_frozen,2023-01-05,920580,,其他建材,10600,2023-01-04,2,4.21,44626.0,0.08860332505946199
vls_mom_contrarian_v1_frozen,2023-01-05,920718,,家用电器,8700,2023-01-04,2,5.17,44979.0,0.0893041939194537
vls_mom_contrarian_v1_frozen,2023-01-05,920753,,纺织,6100,2023-01-04,2,7.7,46970.0,0.09325725312694234
vls_mom_contrarian_v1_frozen,2023-01-05,920871,,塑料,9200,2023-01-04,2,4.93,45356.0,0.09005271392006807
vls_mom_contrarian_v1_frozen,2023-01-06,920046,,电气设备,8900,2023-01-04,3,5.04,44856.0,0.08923343104045277
vls_mom_contrarian_v1_frozen,2023-01-06,920122,,综合类,4100,2023-01-04,3,11.51,47191.0,0.09387851891006792
vls_mom_contrarian_v1_frozen,2023-01-06,920299,,电气设备,10400,2023-01-04,3,4.36,45344.0,0.09020422456523744
vls_mom_contrarian_v1_frozen,2023-01-06,920505,,机械基件,4400,2023-01-04,3,10.18,44792.0,0.08910611385687446
vls_mom_contrarian_v1_frozen,2023-01-06,920526,,化工原料,10900,2023-01-04,3,4.11,44799.0,0.08912003917382834
vls_mom_contrarian_v1_frozen,2023-01-06,920564,,软件服务,7100,2023-01-04,3,6.38,45298.0,0.09011271533954052
vls_mom_contrarian_v1_frozen,2023-01-06,920580,,其他建材,10600,2023-01-04,3,4.21,44626.0,0.0887758849119682
vls_mom_contrarian_v1_frozen,2023-01-06,920718,,家用电器,8700,2023-01-04,3,5.15,44805.0,0.0891319751597888
vls_mom_contrarian_v1_frozen,2023-01-06,920753,,纺织,6100,2023-01-04,3,7.57,46177.0,0.09186133728274896
vls_mom_contrarian_v1_frozen,2023-01-06,920871,,塑料,9200,2023-01-04,3,4.93,45356.0,0.09022809653715837
vls_mom_contrarian_v1_frozen,2023-01-09,920046,,电气设备,8900,2023-01-04,4,4.85,43165.0,0.08649441612524039
vls_mom_contrarian_v1_frozen,2023-01-09,920122,,综合类,4100,2023-01-04,4,11.47,47027.0,0.09423312654052311
vls_mom_contrarian_v1_frozen,2023-01-09,920299,,电气设备,10400,2023-01-04,4,4.35,45239.99999999999,0.09065231983101761
vls_mom_contrarian_v1_frozen,2023-01-09,920505,,机械基件,4400,2023-01-04,4,10.14,44616.0,0.08940194300576221
vls_mom_contrarian_v1_frozen,2023-01-09,920526,,化工原料,10900,2023-01-04,4,4.09,44581.0,0.08933180969024307
vls_mom_contrarian_v1_frozen,2023-01-09,920564,,软件服务,7100,2023-01-04,4,6.31,44801.0,0.08977264767350619
vls_mom_contrarian_v1_frozen,2023-01-09,920580,,其他建材,10600,2023-01-04,4,4.2,44520.0,0.0892095773403383
vls_mom_contrarian_v1_frozen,2023-01-09,920718,,家用电器,8700,2023-01-04,4,5.16,44892.0,0.08995499429385595
vls_mom_contrarian_v1_frozen,2023-01-09,920753,,纺织,6100,2023-01-04,4,7.46,45506.0,0.09118533302896303
vls_mom_contrarian_v1_frozen,2023-01-09,920871,,塑料,9200,2023-01-04,4,4.92,45264.0,0.0907004112473736
vls_mom_contrarian_v1_frozen,2023-01-10,920046,,电气设备,8900,2023-01-04,5,4.95,44055.0,0.08848543371075962
vls_mom_contrarian_v1_frozen,2023-01-10,920122,,综合类,4100,2023-01-04,5,11.41,46781.0,0.09396066449717502
vls_mom_contrarian_v1_frozen,2023-01-10,920299,,电气设备,10400,2023-01-04,5,4.28,44512.0,0.08940332823364731
vls_mom_contrarian_v1_frozen,2023-01-10,920505,,机械基件,4400,2023-01-04,5,10.15,44660.0,0.08970058947957155
vls_mom_contrarian_v1_frozen,2023-01-10,920526,,化工原料,10900,2023-01-04,5,4.07,44363.0,0.08910405846579116
vls_mom_contrarian_v1_frozen,2023-01-10,920564,,软件服务,7100,2023-01-04,5,6.3,44730.0,0.089841186014806
vls_mom_contrarian_v1_frozen,2023-01-10,920580,,其他建材,10600,2023-01-04,5,4.2,44520.0,0.08941939640910268
vls_mom_contrarian_v1_frozen,2023-01-10,920718,,家用电器,8700,2023-01-04,5,5.13,44631.0,0.08964234234354586
vls_mom_contrarian_v1_frozen,2023-01-10,920753,,纺织,6100,2023-01-04,5,7.41,45201.0,0.09078719984474057
vls_mom_contrarian_v1_frozen,2023-01-10,920871,,塑料,9200,2023-01-04,5,4.89,44988.0,0.09035938467324149
vls_mom_contrarian_v1_frozen,2023-01-11,920046,,电气设备,8900,2023-01-04,6,4.94,43966.0,0.08827352028943648
vls_mom_contrarian_v1_frozen,2023-01-11,920122,,综合类,4100,2023-01-04,6,11.4,46740.0,0.09384306824201112
vls_mom_contrarian_v1_frozen,2023-01-11,920299,,电气设备,10400,2023-01-04,6,4.21,43784.0,0.0879081065448912
vls_mom_contrarian_v1_frozen,2023-01-11,920505,,机械基件,4400,2023-01-04,6,10.13,44572.0,0.0894902275927026
vls_mom_contrarian_v1_frozen,2023-01-11,920526,,化工原料,10900,2023-01-04,6,4.16,45344.0,0.09104022435527925
vls_mom_contrarian_v1_frozen,2023-01-11,920564,,软件服务,7100,2023-01-04,6,6.31,44801.0,0.08995000642512495
vls_mom_contrarian_v1_frozen,2023-01-11,920580,,其他建材,10600,2023-01-04,6,4.21,44626.0,0.08959864705536988
vls_mom_contrarian_v1_frozen,2023-01-11,920718,,家用电器,8700,2023-01-04,6,5.12,44544.0,0.0894340100935418
vls_mom_contrarian_v1_frozen,2023-01-11,920753,,纺织,6100,2023-01-04,6,7.39,45079.0,0.09050816588107873
vls_mom_contrarian_v1_frozen,2023-01-11,920871,,塑料,9200,2023-01-04,6,4.91,45172.0,0.0906948882890057
vls_mom_contrarian_v1_frozen,2023-01-12,920046,,电气设备,8900,2023-01-04,7,5.01,44589.0,0.08931329957096056
vls_mom_contrarian_v1_frozen,2023-01-12,920122,,综合类,4100,2023-01-04,7,11.63,47683.0,0.09551068791500397
vls_mom_contrarian_v1_frozen,2023-01-12,920299,,电气设备,10400,2023-01-04,7,4.21,43784.0,0.08770085690226148
vls_mom_contrarian_v1_frozen,2023-01-12,920505,,机械基件,4400,2023-01-04,7,10.1,44440.0,0.0890148474496734
vls_mom_contrarian_v1_frozen,2023-01-12,920526,,化工原料,10900,2023-01-04,7,4.19,45671.00000000001,0.09148058276044183
vls_mom_contrarian_v1_frozen,2023-01-12,920564,,软件服务,7100,2023-01-04,7,6.24,44304.0,0.08874243477520996
vls_mom_contrarian_v1_frozen,2023-01-12,920580,,其他建材,10600,2023-01-04,7,4.21,44626.0,0.08938741184268958
vls_mom_contrarian_v1_frozen,2023-01-12,920718,,家用电器,8700,2023-01-04,7,5.11,44457.0,0.08904889903398133
vls_mom_contrarian_v1_frozen,2023-01-12,920753,,纺织,6100,2023-01-04,7,7.39,45079.0,0.0902947864127774
vls_mom_contrarian_v1_frozen,2023-01-12,920871,,塑料,9200,2023-01-04,7,4.91,45172.0,0.09048106860928548
vls_mom_contrarian_v1_frozen,2023-01-13,920046,,电气设备,8900,2023-01-04,8,4.99,44411.0,0.08902576994195181
vls_mom_contrarian_v1_frozen,2023-01-13,920122,,综合类,4100,2023-01-04,8,11.54,47314.0,0.09484508970825939
vls_mom_contrarian_v1_frozen,2023-01-13,920299,,电气设备,10400,2023-01-04,8,4.14,43056.0,0.0863095528274679
vls_mom_contrarian_v1_frozen,2023-01-13,920505,,机械基件,4400,2023-01-04,8,10.1,44440.0,0.08908390300196659
vls_mom_contrarian_v1_frozen,2023-01-13,920526,,化工原料,10900,2023-01-04,8,4.18,45562.0,0.09133305104805585
vls_mom_contrarian_v1_frozen,2023-01-13,920564,,软件服务,7100,2023-01-04,8,6.25,44375.0,0.08895360476400242
vls_mom_contrarian_v1_frozen,2023-01-13,920580,,其他建材,10600,2023-01-04,8,4.23,44838.00000000001,0.08988172913596261
vls_mom_contrarian_v1_frozen,2023-01-13,920718,,家用电器,8700,2023-01-04,8,5.15,44805.0,0.08981557772284234
vls_mom_contrarian_v1_frozen,2023-01-13,920753,,纺织,6100,2023-01-04,8,7.45,45445.0,0.09109851421972033
