signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count,market_amount_ratio_20,market_liquidity_bucket,index_bucket,market_bs_ratio,market_avg_score,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,avg_vol_20,median_hist_mdd_20,top_industry,top_industry_weight,industry_count
2020-04-30,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,,,0
2020-04-30,2020-06-02,recent_champion,baseline_full_liquidity_detail_vol_position,-0.09046793326877085,10,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,新型电力,0.2,9
2020-04-30,2020-06-02,balanced,baseline_full_liquidity_detail_market_gate,-0.09046793326877085,10,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,新型电力,0.2,9
2020-04-30,2020-06-02,robust,baseline_full_liquidity_detail_vol_position,-0.09046793326877085,10,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,新型电力,0.2,9
2020-04-30,2020-06-02,defensive,baseline_full_liquidity,0.04498592728801687,10,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,元器件,0.2,8
2020-04-30,2020-06-02,fallback,baseline_full_liquidity,0.04498592728801687,10,,,,0.0,-0.04738166748910202,-0.024741377494047995,,,49.98082822085889,,,,元器件,0.2,8
2020-05-06,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,,,0
2020-05-06,2020-06-03,recent_champion,baseline_full_liquidity_detail_vol_position,-0.0762118990056884,10,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,新型电力,0.2,8
2020-05-06,2020-06-03,balanced,baseline_full_liquidity_detail_market_gate,-0.0762118990056884,10,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,新型电力,0.2,8
2020-05-06,2020-06-03,robust,baseline_full_liquidity_detail_vol_position,-0.0762118990056884,10,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,新型电力,0.2,8
2020-05-06,2020-06-03,defensive,baseline_full_liquidity,0.005058626463062288,10,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,专用机械,0.2,8
2020-05-06,2020-06-03,fallback,baseline_full_liquidity,0.005058626463062288,10,,,,0.0,-0.04598761430416107,-0.02364487711937755,,,49.98095238095238,,,,专用机械,0.2,8
2020-05-07,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,,,0
2020-05-07,2020-06-04,recent_champion,baseline_full_liquidity_detail_vol_position,-0.03201002684804925,10,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,新型电力,0.2,9
2020-05-07,2020-06-04,balanced,baseline_full_liquidity_detail_market_gate,-0.03201002684804927,10,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,新型电力,0.2,9
2020-05-07,2020-06-04,robust,baseline_full_liquidity_detail_vol_position,-0.03201002684804925,10,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,新型电力,0.2,9
2020-05-07,2020-06-04,defensive,baseline_full_liquidity,0.006866452797505903,10,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-07,2020-06-04,fallback,baseline_full_liquidity,0.006866452797505903,10,,,,0.0,-0.046158178099675026,-0.02293162187428161,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-08,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,,,0
2020-05-08,2020-06-05,recent_champion,baseline_full_liquidity_detail_vol_position,0.02386609460985163,10,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,文教休闲,0.1,10
2020-05-08,2020-06-05,balanced,baseline_full_liquidity_detail_market_gate,0.023866094609851635,10,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,文教休闲,0.1,10
2020-05-08,2020-06-05,robust,baseline_full_liquidity_detail_vol_position,0.02386609460985163,10,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,文教休闲,0.1,10
2020-05-08,2020-06-05,defensive,baseline_full_liquidity,0.013157691025664584,10,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-08,2020-06-05,fallback,baseline_full_liquidity,0.013157691025664584,10,,,,0.0,-0.04612688415505317,-0.02373585547184363,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-11,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,,,0
2020-05-11,2020-06-08,recent_champion,baseline_full_liquidity_detail_vol_position,0.0858100045723754,10,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,医疗保健,0.3,8
2020-05-11,2020-06-08,balanced,baseline_full_liquidity_detail_market_gate,0.08581000457237542,10,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,医疗保健,0.3,8
2020-05-11,2020-06-08,robust,baseline_full_liquidity_detail_vol_position,0.0858100045723754,10,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,医疗保健,0.3,8
2020-05-11,2020-06-08,defensive,baseline_full_liquidity,0.039476707607302805,10,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-11,2020-06-08,fallback,baseline_full_liquidity,0.039476707607302805,10,,,,0.0,-0.04634101458084028,-0.023725058189784713,,,49.980966882375334,,,,专用机械,0.2,8
2020-05-12,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,-0.04645780436987899,-0.02152227685257735,,,49.98097412480974,,,,,,0
2020-05-12,2020-06-09,recent_champion,baseline_full_liquidity_detail_vol_position,0.054286476401176724,10,,,,0.0,-0.04645780436987899,-0.02152227685257735,,,49.98097412480974,,,,供气供热,0.2,8
2020-05-12,2020-06-09,balanced,baseline_full_liquidity_detail_market_gate,0.05428647640117674,10,,,,0.0,-0.04645780436987899,-0.02152227685257735,,,49.98097412480974,,,,供气供热,0.2,8
