strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2020-08-31,002356,34000,1.33,1.37,1.34
vls_mom_contrarian_v1_frozen,2020-08-31,002871,2400,18.26,18.01,18.21
vls_mom_contrarian_v1_frozen,2020-08-31,603499,3500,12.75,12.49,12.71
vls_mom_contrarian_v1_frozen,2020-08-31,603551,2600,17.41,17.37,17.31
vls_mom_contrarian_v1_frozen,2020-08-31,603709,1500,26.9,26.9,29.89
vls_mom_contrarian_v1_frozen,2020-08-31,603895,2100,21.26,21.4,21.27
vls_mom_contrarian_v1_frozen,2020-08-31,603922,2400,18.59,18.65,18.6
vls_mom_contrarian_v1_frozen,2020-08-31,605188,3300,13.52,13.4,13.52
vls_mom_contrarian_v1_frozen,2020-09-01,002356,34000,1.37,1.35,1.37
vls_mom_contrarian_v1_frozen,2020-09-01,002871,2400,17.9,18.37,18.01
vls_mom_contrarian_v1_frozen,2020-09-01,603499,3500,12.48,12.4,12.49
vls_mom_contrarian_v1_frozen,2020-09-01,603551,2600,17.37,17.51,17.37
vls_mom_contrarian_v1_frozen,2020-09-01,603709,1500,25.01,25.67,26.9
vls_mom_contrarian_v1_frozen,2020-09-01,603895,2100,21.52,21.58,21.4
vls_mom_contrarian_v1_frozen,2020-09-01,603922,2400,18.52,18.52,18.65
vls_mom_contrarian_v1_frozen,2020-09-01,605188,3300,13.36,13.38,13.4
vls_mom_contrarian_v1_frozen,2020-09-02,002356,34000,1.34,1.36,1.35
vls_mom_contrarian_v1_frozen,2020-09-02,002871,2400,18.35,18.35,18.37
vls_mom_contrarian_v1_frozen,2020-09-02,603499,3500,12.43,12.67,12.4
vls_mom_contrarian_v1_frozen,2020-09-02,603551,2600,17.51,17.67,17.51
vls_mom_contrarian_v1_frozen,2020-09-02,603709,1500,24.95,25.3,25.67
vls_mom_contrarian_v1_frozen,2020-09-02,603895,2100,21.57,21.85,21.58
vls_mom_contrarian_v1_frozen,2020-09-02,603922,2400,18.48,18.82,18.52
vls_mom_contrarian_v1_frozen,2020-09-02,605188,3300,13.38,13.03,13.38
vls_mom_contrarian_v1_frozen,2020-09-03,002356,34000,1.36,1.34,1.36
vls_mom_contrarian_v1_frozen,2020-09-03,002871,2400,18.33,18.29,18.35
vls_mom_contrarian_v1_frozen,2020-09-03,603499,3500,12.71,13.26,12.67
vls_mom_contrarian_v1_frozen,2020-09-03,603551,2600,17.68,17.41,17.67
vls_mom_contrarian_v1_frozen,2020-09-03,603709,1500,25.3,25.5,25.3
vls_mom_contrarian_v1_frozen,2020-09-03,603895,2100,21.85,22.34,21.85
vls_mom_contrarian_v1_frozen,2020-09-03,603922,2400,18.8,18.56,18.82
vls_mom_contrarian_v1_frozen,2020-09-03,605188,3300,12.98,12.78,13.03
vls_mom_contrarian_v1_frozen,2020-09-04,002356,34000,1.34,1.35,1.34
vls_mom_contrarian_v1_frozen,2020-09-04,002871,2400,18.06,18.53,18.29
