strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2025-02-05,000002,6200,7.05,6.97,7.27
vls_mom_contrarian_v1_frozen,2025-02-05,000069,18600,2.45,2.4,2.44
vls_mom_contrarian_v1_frozen,2025-02-05,000402,15000,3.05,3.05,3.02
vls_mom_contrarian_v1_frozen,2025-02-05,000926,19400,2.21,2.22,2.34
vls_mom_contrarian_v1_frozen,2025-02-05,002146,32900,1.4,1.39,1.38
vls_mom_contrarian_v1_frozen,2025-02-05,600016,10900,4.15,4.09,4.15
vls_mom_contrarian_v1_frozen,2025-02-05,600383,9900,4.57,4.58,4.58
vls_mom_contrarian_v1_frozen,2025-02-05,600606,24700,1.84,1.82,1.84
vls_mom_contrarian_v1_frozen,2025-02-05,601828,15700,2.93,2.94,2.89
vls_mom_contrarian_v1_frozen,2025-02-05,601997,7700,5.92,5.84,5.9
vls_mom_contrarian_v1_frozen,2025-02-06,000002,6200,6.97,7.02,6.97
vls_mom_contrarian_v1_frozen,2025-02-06,000069,18600,2.41,2.42,2.4
vls_mom_contrarian_v1_frozen,2025-02-06,000402,15000,3.04,3.06,3.05
vls_mom_contrarian_v1_frozen,2025-02-06,000926,19400,2.22,2.23,2.22
vls_mom_contrarian_v1_frozen,2025-02-06,002146,32900,1.39,1.46,1.39
vls_mom_contrarian_v1_frozen,2025-02-06,600016,10900,4.09,4.09,4.09
vls_mom_contrarian_v1_frozen,2025-02-06,600383,9900,4.57,4.56,4.58
vls_mom_contrarian_v1_frozen,2025-02-06,600606,24700,1.83,1.86,1.82
vls_mom_contrarian_v1_frozen,2025-02-06,601828,15700,2.93,2.96,2.94
vls_mom_contrarian_v1_frozen,2025-02-06,601997,7700,5.83,5.83,5.84
vls_mom_contrarian_v1_frozen,2025-02-07,000002,6200,7.05,7.42,7.02
vls_mom_contrarian_v1_frozen,2025-02-07,000069,18600,2.42,2.48,2.42
vls_mom_contrarian_v1_frozen,2025-02-07,000402,15000,3.06,3.13,3.06
vls_mom_contrarian_v1_frozen,2025-02-07,000926,19400,2.23,2.3,2.23
vls_mom_contrarian_v1_frozen,2025-02-07,002146,32900,1.45,1.53,1.46
vls_mom_contrarian_v1_frozen,2025-02-07,600016,10900,4.1,4.11,4.09
