signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count,market_amount_ratio_20,market_liquidity_bucket,index_bucket,market_bs_ratio,market_avg_score,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,avg_vol_20,median_hist_mdd_20,top_industry,top_industry_weight,industry_count
2024-01-02,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,,,0
2024-01-02,2024-01-30,recent_champion,baseline_full_liquidity_detail_vol_position,-0.18797155458507642,10,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,电气设备,0.2,8
2024-01-02,2024-01-30,balanced,baseline_full_liquidity_detail_market_gate,-0.18797155458507642,10,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,电气设备,0.2,8
2024-01-02,2024-01-30,robust,baseline_full_liquidity_detail_vol_position,-0.18797155458507642,10,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,电气设备,0.2,8
2024-01-02,2024-01-30,defensive,baseline_full_liquidity,-0.2284547592748021,10,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,专用机械,0.2,9
2024-01-02,2024-01-30,fallback,baseline_full_liquidity,-0.2284547592748021,10,,,,0.0,0.04519444106633784,-0.04441464400625061,,,49.98453927025356,,,,专用机械,0.2,9
2024-01-03,,attack,tiered_liquidity_then_bs_v2,,0,,,,0.0,0.04522588924379742,-0.045018705219562596,,,49.984539270253556,,,,,,0
2024-01-03,2024-01-31,recent_champion,baseline_full_liquidity_detail_vol_position,-0.048617671890946026,10,,,,0.0,0.04522588924379742,-0.045018705219562596,,,49.984539270253556,,,,银行,0.2,9
2024-01-03,2024-01-31,balanced,baseline_full_liquidity_detail_market_gate,-0.04861767189094603,10,,,,0.0,0.04522588924379742,-0.045018705219562596,,,49.984539270253556,,,,银行,0.2,9
2024-01-03,2024-01-31,robust,baseline_full_liquidity_detail_vol_position,-0.048617671890946026,10,,,,0.0,0.04522588924379742,-0.045018705219562596,,,49.984539270253556,,,,银行,0.2,9
