strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2024-01-03,000042,8000,5.64,5.9,5.62
vls_mom_contrarian_v1_frozen,2024-01-03,000069,15000,3.02,3.05,3.03
vls_mom_contrarian_v1_frozen,2024-01-03,000402,12700,3.56,3.6,3.57
vls_mom_contrarian_v1_frozen,2024-01-03,000926,10800,4.2,4.21,4.19
vls_mom_contrarian_v1_frozen,2024-01-03,002146,27200,1.67,1.69,1.67
vls_mom_contrarian_v1_frozen,2024-01-03,600016,12000,3.76,3.76,3.76
vls_mom_contrarian_v1_frozen,2024-01-03,600376,15300,2.96,2.98,2.96
vls_mom_contrarian_v1_frozen,2024-01-03,600383,10700,4.25,4.32,4.24
vls_mom_contrarian_v1_frozen,2024-01-03,600606,20000,2.27,2.29,2.27
vls_mom_contrarian_v1_frozen,2024-01-03,601828,11700,3.87,3.9,3.86
vls_mom_contrarian_v1_frozen,2024-01-04,000042,8000,5.85,5.7,5.9
vls_mom_contrarian_v1_frozen,2024-01-04,000069,15000,3.05,2.95,3.05
vls_mom_contrarian_v1_frozen,2024-01-04,000402,12700,3.6,3.56,3.6
vls_mom_contrarian_v1_frozen,2024-01-04,000926,10800,4.18,4.19,4.21
vls_mom_contrarian_v1_frozen,2024-01-04,002146,27200,1.68,1.68,1.69
vls_mom_contrarian_v1_frozen,2024-01-04,600016,12000,3.75,3.76,3.76
vls_mom_contrarian_v1_frozen,2024-01-04,600376,15300,2.98,2.94,2.98
vls_mom_contrarian_v1_frozen,2024-01-04,600383,10700,4.29,4.23,4.32
vls_mom_contrarian_v1_frozen,2024-01-04,600606,20000,2.28,2.27,2.29
vls_mom_contrarian_v1_frozen,2024-01-04,601828,11700,3.91,3.87,3.9
vls_mom_contrarian_v1_frozen,2024-01-05,000042,8000,5.71,5.76,5.7
vls_mom_contrarian_v1_frozen,2024-01-05,000069,15000,2.95,2.95,2.95
vls_mom_contrarian_v1_frozen,2024-01-05,000402,12700,3.56,3.57,3.56
vls_mom_contrarian_v1_frozen,2024-01-05,000926,10800,4.18,4.16,4.19
