strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,buffer_kept_count,band_reweight_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,corporate_action_status,ledger_eod_equity,ledger_reconciliation_error_bps,ledger_event_count,strict_ledger_frozen
vls_mom_contrarian_v1_frozen,2024-01-03,2024-01-02,46228.94876649998,458474.0,504702.9487665,1.009405897533,10,0.9084036483648766,0.0,0.0,0.0,0.0,10.0,10.0,500000.0,10.0,1.0,0.0,0.09260477820015924,0.0,0.0,0.09260477820015924,44504.522000000055,0.0,0.0893780861175796,0.0,0.0,NO_ACTION_CONFIRMED,504702.9487665,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-04,2024-01-03,46228.94876649998,452052.0,498280.9487665,0.996561897533,10,0.9072231260678534,10.0,0.0,0.0,458474.0,10.0,0.0,504702.9487665,10.0,1.0,0.0,0.09187304315423522,0.0,0.0,0.09187304315423522,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,498280.9487665,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-05,2024-01-04,46228.94876649998,452735.0,498963.9487665,0.9979278975329999,10,0.907350122427114,10.0,0.0,0.0,452052.0,10.0,0.0,498280.9487665,10.0,1.0,0.0,0.0928396637433143,0.0,0.0,0.0928396637433143,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,498963.9487665,0.0,20,
vls_mom_contrarian_v1_frozen,2024-01-08,2024-01-04,46228.94876649998,443616.0,489844.9487665,0.979689897533,10,0.905625343523678,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,489844.9487665,0.0,22,1.0
vls_mom_contrarian_v1_frozen,2024-01-09,2024-01-08,46228.94876649998,447067.0,493295.9487665,0.986591897533,10,0.9062855697840277,10.0,0.0,0.0,443616.0,10.0,0.0,489844.9487665,10.0,1.0,0.0,0.09441108370674564,0.0,0.0,0.09441108370674564,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,493295.9487665,0.0,22,
vls_mom_contrarian_v1_frozen,2024-01-10,2024-01-08,46228.94876649998,446163.0,492391.9487665,0.984783897533,10,0.9061135161078304,,,,,,,,,,,,,,,,,,,,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,492391.9487665,0.0,24,1.0
vls_mom_contrarian_v1_frozen,2024-01-11,2024-01-10,46228.94876649998,450040.0,496268.9487665,0.992537897533,10,0.906846985124892,10.0,0.0,0.0,446163.0,10.0,0.0,492391.9487665,10.0,1.0,0.0,0.09394505741819824,0.0,0.0,0.09394505741819824,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,496268.9487665,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-12,2024-01-11,46228.94876649998,450201.0,496429.9487665,0.992859897533,10,0.9068771961051766,10.0,0.0,0.0,450040.0,10.0,0.0,496268.9487665,10.0,1.0,0.0,0.09344449407643596,0.0,0.0,0.09344449407643596,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,496429.9487665,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-15,2024-01-12,46228.94876649998,452776.0,499004.9487665,0.998009897533,10,0.9073577348666095,10.0,0.0,0.0,450201.0,10.0,0.0,496429.9487665,10.0,1.0,0.0,0.09334449309312867,0.0,0.0,0.09334449309312867,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,499004.9487665,0.0,24,
vls_mom_contrarian_v1_frozen,2024-01-16,2024-01-15,46228.94876649998,447923.0,494151.9487665,0.988303897533,10,0.9064479076083855,10.0,0.0,0.0,452776.0,10.0,0.0,499004.9487665,10.0,1.0,0.0,0.09280537034907478,0.0,0.0,0.09280537034907478,0.0,0.0,0.0,0.0,0.0,NO_ACTION_CONFIRMED,494151.9487665,0.0,24,
