strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2024-01-03,000042,,全国地产,8000,2024-01-03,1,5.9,47200.0,0.09352035710383179
vls_mom_contrarian_v1_frozen,2024-01-03,000069,,全国地产,15000,2024-01-03,1,3.05,45750.0,0.09064738003178612
vls_mom_contrarian_v1_frozen,2024-01-03,000402,,全国地产,12700,2024-01-03,1,3.6,45720.0,0.09058793912684723
vls_mom_contrarian_v1_frozen,2024-01-03,000926,,区域地产,10800,2024-01-03,1,4.21,45468.0,0.09008863552536067
vls_mom_contrarian_v1_frozen,2024-01-03,002146,,全国地产,27200,2024-01-03,1,1.69,45968.0,0.09107931727434194
vls_mom_contrarian_v1_frozen,2024-01-03,600016,,银行,12000,2024-01-03,1,3.76,45120.0,0.08939912102806971
vls_mom_contrarian_v1_frozen,2024-01-03,600376,,区域地产,15300,2024-01-03,1,2.98,45594.0,0.09033828732610395
vls_mom_contrarian_v1_frozen,2024-01-03,600383,,全国地产,10700,2024-01-03,1,4.32,46224.0,0.09158654632982036
vls_mom_contrarian_v1_frozen,2024-01-03,600606,,全国地产,20000,2024-01-03,1,2.29,45800.0,0.09074644820668423
vls_mom_contrarian_v1_frozen,2024-01-03,601828,,其他商业,11700,2024-01-03,1,3.9,45630.0,0.0904096164120306
vls_mom_contrarian_v1_frozen,2024-01-04,000042,,全国地产,8000,2024-01-03,2,5.7,45600.0,0.09151463669819869
vls_mom_contrarian_v1_frozen,2024-01-04,000069,,全国地产,15000,2024-01-03,2,2.95,44250.0,0.08880532179594938
vls_mom_contrarian_v1_frozen,2024-01-04,000402,,全国地产,12700,2024-01-03,2,3.56,45212.0,0.09073595952629296
vls_mom_contrarian_v1_frozen,2024-01-04,000926,,区域地产,10800,2024-01-03,2,4.19,45252.00000000001,0.09081623552339665
vls_mom_contrarian_v1_frozen,2024-01-04,002146,,全国地产,27200,2024-01-03,2,1.68,45696.0,0.09170729909124753
vls_mom_contrarian_v1_frozen,2024-01-04,600016,,银行,12000,2024-01-03,2,3.76,45120.0,0.09055132473295449
vls_mom_contrarian_v1_frozen,2024-01-04,600376,,区域地产,15300,2024-01-03,2,2.94,44982.0,0.09027437254294679
vls_mom_contrarian_v1_frozen,2024-01-04,600383,,全国地产,10700,2024-01-03,2,4.23,45261.00000000001,0.09083429762274499
vls_mom_contrarian_v1_frozen,2024-01-04,600606,,全国地产,20000,2024-01-03,2,2.27,45400.0,0.09111325671268027
vls_mom_contrarian_v1_frozen,2024-01-04,601828,,其他商业,11700,2024-01-03,2,3.87,45279.0,0.09087042182144163
vls_mom_contrarian_v1_frozen,2024-01-05,000042,,全国地产,8000,2024-01-03,3,5.76,46080.0,0.09235136148396172
vls_mom_contrarian_v1_frozen,2024-01-05,000069,,全国地产,15000,2024-01-03,3,2.95,44250.0,0.08868376184169502
vls_mom_contrarian_v1_frozen,2024-01-05,000402,,全国地产,12700,2024-01-03,3,3.57,45339.0,0.09086628425176521
vls_mom_contrarian_v1_frozen,2024-01-05,000926,,区域地产,10800,2024-01-03,3,4.16,44928.0,0.09004257744686268
vls_mom_contrarian_v1_frozen,2024-01-05,002146,,全国地产,27200,2024-01-03,3,1.67,45424.0,0.09103663724061366
vls_mom_contrarian_v1_frozen,2024-01-05,600016,,银行,12000,2024-01-03,3,3.81,45720.0,0.09162986647236827
vls_mom_contrarian_v1_frozen,2024-01-05,600376,,区域地产,15300,2024-01-03,3,2.96,45288.0,0.09076407245845614
vls_mom_contrarian_v1_frozen,2024-01-05,600383,,全国地产,10700,2024-01-03,3,4.23,45261.00000000001,0.09070996033258664
vls_mom_contrarian_v1_frozen,2024-01-05,600606,,全国地产,20000,2024-01-03,3,2.27,45400.0,0.0909885375731741
vls_mom_contrarian_v1_frozen,2024-01-05,601828,,其他商业,11700,2024-01-03,3,3.85,45045.0,0.09027706332563055
vls_mom_contrarian_v1_frozen,2024-01-08,000042,,全国地产,8000,2024-01-03,4,5.66,45280.0,0.09243741333665183
vls_mom_contrarian_v1_frozen,2024-01-08,000069,,全国地产,15000,2024-01-03,4,2.86,42900.0,0.08757873304201333
vls_mom_contrarian_v1_frozen,2024-01-08,000402,,全国地产,12700,2024-01-03,4,3.47,44069.0,0.08996520248085048
vls_mom_contrarian_v1_frozen,2024-01-08,000926,,区域地产,10800,2024-01-03,4,4.06,43847.99999999999,0.08951403931063404
vls_mom_contrarian_v1_frozen,2024-01-08,002146,,全国地产,27200,2024-01-03,4,1.68,45696.0,0.09328666165705923
vls_mom_contrarian_v1_frozen,2024-01-08,600016,,银行,12000,2024-01-03,4,3.76,45120.0,0.09211077936726438
vls_mom_contrarian_v1_frozen,2024-01-08,600376,,区域地产,15300,2024-01-03,4,2.89,44217.0,0.09026733890253388
vls_mom_contrarian_v1_frozen,2024-01-08,600383,,全国地产,10700,2024-01-03,4,4.11,43977.0,0.08977738794845269
vls_mom_contrarian_v1_frozen,2024-01-08,600606,,全国地产,20000,2024-01-03,4,2.22,44400.00000000001,0.0906409265050208
vls_mom_contrarian_v1_frozen,2024-01-08,601828,,其他商业,11700,2024-01-03,4,3.77,44109.0,0.09004686097319735
