strategy,event_type,mark_price_basis,order_status,event_timestamp,symbol,side,planned_shares,planned_price,planned_notional,planned_fee,signal_date,execution_date,order_id,cost_rate,lot_size,filled_shares,filled_price,filled_notional,fee,reject_reason,remaining_shares,event_date,source_reason,cash_delta,share_delta
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,000402,BUY,8600.0,5.808000000000001,49948.8,37.461600000000004,2023-01-03,2023-01-04,2023-01-03:000402:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,000402,BUY,8600.0,,,,2023-01-03,2023-01-04,2023-01-03:000402:BUY,,,8600.0,5.355349999999999,46056.00999999999,34.54200749999999,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,000926,BUY,10500.0,4.75,49875.0,37.40625,2023-01-03,2023-01-04,2023-01-03:000926:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,000926,BUY,10500.0,,,,2023-01-03,2023-01-04,2023-01-03:000926:BUY,,,10500.0,4.32432,45405.36,34.05402,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,002146,BUY,20700.0,2.4090000000000003,49866.3,37.399725000000004,2023-01-03,2023-01-04,2023-01-03:002146:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,002146,BUY,20700.0,,,,2023-01-03,2023-01-04,2023-01-03:002146:BUY,,,20700.0,2.1921899999999996,45378.33299999999,34.03374974999999,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,600000,BUY,6200.0,7.95,49290.0,36.9675,2023-01-03,2023-01-04,2023-01-03:600000:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,600000,BUY,6200.0,,,,2023-01-03,2023-01-04,2023-01-03:600000:BUY,,,6200.0,7.277269999999999,45119.07399999999,33.839305499999995,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,600015,BUY,8700.0,5.73,49851.00000000001,37.388250000000006,2023-01-03,2023-01-04,2023-01-03:600015:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,600015,BUY,8700.0,,,,2023-01-03,2023-01-04,2023-01-03:600015:BUY,,,8700.0,5.215209999999999,45372.32699999999,34.029245249999995,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,600016,BUY,13200.0,3.7800000000000002,49896.0,37.422000000000004,2023-01-03,2023-01-04,2023-01-03:600016:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,600016,BUY,13200.0,,,,2023-01-03,2023-01-04,2023-01-03:600016:BUY,,,13200.0,3.4534499999999997,45585.53999999999,34.18915499999999,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,600606,BUY,15100.0,3.3000000000000003,49830.00000000001,37.37250000000001,2023-01-03,2023-01-04,2023-01-03:600606:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,600606,BUY,15100.0,,,,2023-01-03,2023-01-04,2023-01-03:600606:BUY,,,15100.0,2.99299,45194.149,33.89561175,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,601077,BUY,12800.0,3.88,49664.0,37.248,2023-01-03,2023-01-04,2023-01-03:601077:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,601077,BUY,12800.0,,,,2023-01-03,2023-01-04,2023-01-03:601077:BUY,,,12800.0,3.5435399999999997,45357.312,34.017984,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,601169,BUY,10500.0,4.719,49549.5,37.162125,2023-01-03,2023-01-04,2023-01-03:601169:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,601169,BUY,10500.0,,,,2023-01-03,2023-01-04,2023-01-03:601169:BUY,,,10500.0,4.294289999999999,45090.04499999999,33.817533749999996,,0.0,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2023-01-03T15:00:00+08:00,601997,BUY,8200.0,6.039000000000001,49519.8,37.13985,2023-01-03,2023-01-04,2023-01-03:601997:BUY,0.00075,100.0,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2023-01-04T09:30:00+08:00,601997,BUY,8200.0,,,,2023-01-03,2023-01-04,2023-01-03:601997:BUY,,,8200.0,5.495489999999999,45063.018,33.7972635,,0.0,,,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-11T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-11,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-11T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-11,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-16T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-16,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-16T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-16,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-20T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-20,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-01-20T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-01-20,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-02-20T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-02-20,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-02-20T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-02-20,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-02-27T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-02-27,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-02-27T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-02-27,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-10T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-10,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-10T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-10,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-14T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-14,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-14T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-14,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-22T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-22,unknown_corporate_action_type,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-22T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-22,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2023-03-23T09:25:00+08:00,,,,,,,,,,,,,,,,,,2023-03-23,unknown_corporate_action_type,0.0,0.0
