strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2020-08-31,000415,,多元金融,15500,2020-08-31,1,2.88,44640.0,0.08963607466237197
vls_mom_contrarian_v1_frozen,2020-08-31,000709,,普钢,20300,2020-08-31,1,2.22,45066.00000000001,0.09049147268670377
vls_mom_contrarian_v1_frozen,2020-08-31,000898,,普钢,16700,2020-08-31,1,2.69,44923.0,0.09020433203534355
vls_mom_contrarian_v1_frozen,2020-08-31,000926,,区域地产,7700,2020-08-31,1,5.83,44891.0,0.09014007678468952
vls_mom_contrarian_v1_frozen,2020-08-31,000980,,汽车配件,35700,2020-08-31,1,1.29,46053.0,0.09247334557406399
vls_mom_contrarian_v1_frozen,2020-08-31,002470,,农药化肥,26800,2020-08-31,1,1.66,44488.0,0.08933086222176533
vls_mom_contrarian_v1_frozen,2020-08-31,600015,,银行,7000,2020-08-31,1,6.43,45010.0,0.09037902599805919
vls_mom_contrarian_v1_frozen,2020-08-31,600269,,路桥,12700,2020-08-31,1,3.57,45339.0,0.09103965029384595
vls_mom_contrarian_v1_frozen,2020-08-31,600708,,全国地产,15000,2020-08-31,1,2.95,44250.0,0.08885296379502598
vls_mom_contrarian_v1_frozen,2020-08-31,601328,,银行,9500,2020-08-31,1,4.73,44935.00000000001,0.09022842775433883
vls_mom_contrarian_v1_frozen,2020-09-01,000415,,多元金融,15500,2020-08-31,2,2.86,44330.0,0.0890833640721657
vls_mom_contrarian_v1_frozen,2020-09-01,000709,,普钢,20300,2020-08-31,2,2.23,45269.0,0.09097033178846987
vls_mom_contrarian_v1_frozen,2020-09-01,000898,,普钢,16700,2020-08-31,2,2.7,45090.0,0.09061062228770475
vls_mom_contrarian_v1_frozen,2020-09-01,000926,,区域地产,7700,2020-08-31,2,5.75,44275.0,0.08897283880656749
vls_mom_contrarian_v1_frozen,2020-09-01,000980,,汽车配件,35700,2020-08-31,2,1.28,45696.0,0.09182840975956878
vls_mom_contrarian_v1_frozen,2020-09-01,002470,,农药化肥,26800,2020-08-31,2,1.7,45560.0,0.09155511092099863
vls_mom_contrarian_v1_frozen,2020-09-01,600015,,银行,7000,2020-08-31,2,6.38,44660.0,0.08974651566575503
