trade_date,listed_symbols,market_coverage,industry_coverage,adjustment_coverage,financial_coverage,universe_status_coverage
2020-01-02,3545,1.0,1.0,1.0,0.0,1.0
2020-01-03,3546,1.0,1.0,1.0,0.0,1.0
2020-01-06,3548,1.0,1.0,1.0,0.0002818489289740699,1.0
2020-01-07,3549,1.0,1.0,1.0,0.0005635390250774866,1.0
2020-01-08,3548,1.0,1.0,1.0,0.0005636978579481398,1.0
2020-01-09,3548,1.0,1.0,1.0,0.0005636978579481398,1.0
2020-01-10,3546,1.0,1.0,1.0,0.0005640157924421884,1.0
2020-01-13,3546,1.0,1.0,1.0,0.0005640157924421884,1.0
2020-01-14,3550,1.0,1.0,1.0,0.0005633802816901409,1.0
2020-01-15,3549,1.0,1.0,1.0,0.0005635390250774866,1.0
2020-01-16,3550,1.0,1.0,1.0,0.0005633802816901409,1.0
2020-01-17,3554,1.0,1.0,1.0,0.0008441193021947102,1.0
2020-01-20,3557,1.0,1.0,1.0,0.0008434073657576609,1.0
2020-01-21,3560,1.0,1.0,1.0,0.0008426966292134832,1.0
2020-01-22,3563,1.0,1.0,1.0,0.001122649452708392,1.0
2020-01-23,3566,1.0,1.0,1.0,0.0025238362310712283,1.0
2020-02-03,3567,1.0,1.0,1.0,0.002523128679562658,1.0
2020-02-04,3568,1.0,1.0,1.0,0.002802690582959641,1.0
2020-02-05,3571,1.0,1.0,1.0,0.0033604032483898066,1.0
2020-02-06,3572,1.0,1.0,1.0,0.003639417693169093,1.0
2020-02-07,3573,1.0,1.0,1.0,0.003918275958578225,1.0
2020-02-10,3574,1.0,1.0,1.0,0.004476776720761052,1.0
2020-02-11,3576,1.0,1.0,1.0,0.0050335570469798654,1.0
2020-02-12,3579,1.0,1.0,1.0,0.005588153115395362,1.0
2020-02-13,3581,1.0,1.0,1.0,0.006143535325328121,1.0
2020-02-14,3581,1.0,1.0,1.0,0.006422786931024853,1.0
2020-02-17,3582,1.0,1.0,1.0,0.006700167504187605,1.0
2020-02-18,3582,1.0,1.0,1.0,0.007537688442211055,1.0
2020-02-19,3584,1.0,1.0,1.0,0.007533482142857143,1.0
2020-02-20,3584,1.0,1.0,1.0,0.008091517857142858,1.0
2020-02-21,3587,1.0,1.0,1.0,0.009199888486200167,1.0
2020-02-24,3588,1.0,1.0,1.0,0.00975473801560758,1.0
2020-02-25,3588,1.0,1.0,1.0,0.010033444816053512,1.0
2020-02-26,3588,1.0,1.0,1.0,0.010590858416945374,1.0
2020-02-27,3588,1.0,1.0,1.0,0.011426978818283166,1.0
2020-02-28,3589,1.0,1.0,1.0,0.013652828085817777,1.0
2020-03-02,3589,1.0,1.0,1.0,0.01783226525494567,1.0
2020-03-03,3589,1.0,1.0,1.0,0.01838952354416272,1.0
2020-03-04,3586,1.0,1.0,1.0,0.018126045733407696,1.0
2020-03-05,3587,1.0,1.0,1.0,0.019236130471145804,1.0
2020-03-06,3586,1.0,1.0,1.0,0.02091466815393196,1.0
2020-03-09,3585,1.0,1.0,1.0,0.023430962343096235,1.0
2020-03-10,3586,1.0,1.0,1.0,0.027607361963190184,1.0
2020-03-11,3585,1.0,1.0,1.0,0.02900976290097629,1.0
2020-03-12,3586,1.0,1.0,1.0,0.03179029559397657,1.0
2020-03-13,3587,1.0,1.0,1.0,0.0359632004460552,1.0
2020-03-16,3586,1.0,1.0,1.0,0.038761851645287226,1.0
2020-03-17,3586,1.0,1.0,1.0,0.044617958728388175,1.0
2020-03-18,3587,1.0,1.0,1.0,0.04878728742681907,1.0
2020-03-19,3591,1.0,1.0,1.0,0.050960735171261484,1.0
2020-03-20,3593,1.0,1.0,1.0,0.06290008349568606,1.0
2020-03-23,3594,1.0,1.0,1.0,0.07234279354479689,1.0
2020-03-24,3593,1.0,1.0,1.0,0.08126913442805456,1.0
2020-03-25,3591,1.0,1.0,1.0,0.08827624617098301,1.0
2020-03-26,3594,1.0,1.0,1.0,0.0993322203672788,1.0
2020-03-27,3597,1.0,1.0,1.0,0.1148179038087295,1.0
2020-03-30,3596,1.0,1.0,1.0,0.14627363737486096,1.0
2020-03-31,3596,1.0,1.0,1.0,0.19160177975528364,1.0
2020-04-01,3598,1.0,1.0,1.0,0.19983324068927183,1.0
2020-04-02,3598,1.0,1.0,1.0,0.20928293496386882,1.0
2020-04-03,3599,1.0,1.0,1.0,0.2189497082522923,1.0
2020-04-07,3596,1.0,1.0,1.0,0.22302558398220246,1.0
2020-04-08,3596,1.0,1.0,1.0,0.2299777530589544,1.0
2020-04-09,3598,1.0,1.0,1.0,0.24041133963312952,1.0
2020-04-10,3599,1.0,1.0,1.0,0.2670186162823006,1.0
2020-04-13,3598,1.0,1.0,1.0,0.27987770983879934,1.0
2020-04-14,3600,1.0,1.0,1.0,0.2911111111111111,1.0
2020-04-15,3598,1.0,1.0,1.0,0.3129516397998888,1.0
2020-04-16,3604,1.0,1.0,1.0,0.33102108768035515,1.0
2020-04-17,3607,1.0,1.0,1.0,0.3507069586914333,1.0
2020-04-20,3605,1.0,1.0,1.0,0.3925104022191401,1.0
2020-04-21,3606,1.0,1.0,1.0,0.43427620632279534,1.0
2020-04-22,3610,1.0,1.0,1.0,0.46066481994459835,1.0
2020-04-23,3612,1.0,1.0,1.0,0.4883720930232558,1.0
2020-04-24,3612,1.0,1.0,1.0,0.5348837209302325,1.0
2020-04-27,3611,1.0,1.0,1.0,0.630296316809748,1.0
2020-04-28,3608,1.0,1.0,1.0,0.7605321507760532,1.0
2020-04-29,3602,1.0,1.0,1.0,0.8792337590227651,1.0
2020-04-30,3593,1.0,1.0,1.0,0.9963818536042305,1.0
2020-05-06,3614,1.0,1.0,1.0,0.9961261759822911,1.0
2020-05-07,3617,1.0,1.0,1.0,0.9961293889964059,1.0
