strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
vls_mom_contrarian_v1_frozen,2023-01-04,920204,,塑料,5200,2023-01-04,1,8.57,44564.0,0.08904047824258893
vls_mom_contrarian_v1_frozen,2023-01-04,920392,,广告包装,5900,2023-01-04,1,7.38,43542.0,0.08699848540613067
vls_mom_contrarian_v1_frozen,2023-01-04,920429,,食品,6300,2023-01-04,1,7.14,44982.0,0.08987565730877244
vls_mom_contrarian_v1_frozen,2023-01-04,920580,,其他建材,10600,2023-01-04,1,4.25,45050.0,0.09001152375973052
vls_mom_contrarian_v1_frozen,2023-01-04,920608,,机械基件,5200,2023-01-04,1,8.63,44876.00000000001,0.08966386548816133
vls_mom_contrarian_v1_frozen,2023-01-04,920807,,机械基件,7800,2023-01-04,1,5.72,44616.0,0.08914437611685098
vls_mom_contrarian_v1_frozen,2023-01-04,920821,,元器件,5300,2023-01-04,1,8.75,46375.0,0.09265892151736965
vls_mom_contrarian_v1_frozen,2023-01-04,920855,,机床制造,6500,2023-01-04,1,6.88,44720.0,0.08935217186537511
vls_mom_contrarian_v1_frozen,2023-01-04,920873,,建筑工程,13900,2023-01-04,1,3.27,45453.0,0.09081673228526152
vls_mom_contrarian_v1_frozen,2023-01-04,920914,,小金属,4200,2023-01-04,1,10.9,45780.0,0.09147009007148642
vls_mom_contrarian_v1_frozen,2023-01-05,920204,,塑料,5200,2023-01-04,2,8.62,44823.99999999999,0.08942970713957347
vls_mom_contrarian_v1_frozen,2023-01-05,920392,,广告包装,5900,2023-01-04,2,7.28,42952.0,0.08569482377875604
vls_mom_contrarian_v1_frozen,2023-01-05,920429,,食品,6300,2023-01-04,2,7.23,45549.0,0.09087617638989008
vls_mom_contrarian_v1_frozen,2023-01-05,920580,,其他建材,10600,2023-01-04,2,4.21,44626.0,0.08903467139948704
vls_mom_contrarian_v1_frozen,2023-01-05,920608,,机械基件,5200,2023-01-04,2,8.66,45032.0,0.08984469417966433
vls_mom_contrarian_v1_frozen,2023-01-05,920807,,机械基件,7800,2023-01-04,2,5.75,44850.0,0.08948158051958485
vls_mom_contrarian_v1_frozen,2023-01-05,920821,,元器件,5300,2023-01-04,2,8.88,47064.00000000001,0.09389879834055166
vls_mom_contrarian_v1_frozen,2023-01-05,920855,,机床制造,6500,2023-01-04,2,6.84,44460.0,0.08870347981941454
vls_mom_contrarian_v1_frozen,2023-01-05,920873,,建筑工程,13900,2023-01-04,2,3.28,45592.0,0.09096196697990885
