strategy,trade_date,symbol,shares,raw_open,raw_close,prev_raw_close
vls_mom_contrarian_v1_frozen,2023-01-04,920204,5200,8.67,8.57,8.58
vls_mom_contrarian_v1_frozen,2023-01-04,920392,5900,7.21,7.38,7.59
vls_mom_contrarian_v1_frozen,2023-01-04,920429,6300,7.12,7.14,7.12
vls_mom_contrarian_v1_frozen,2023-01-04,920580,10600,4.27,4.25,4.26
vls_mom_contrarian_v1_frozen,2023-01-04,920608,5200,8.72,8.63,8.74
vls_mom_contrarian_v1_frozen,2023-01-04,920807,7800,5.69,5.72,5.76
vls_mom_contrarian_v1_frozen,2023-01-04,920821,5300,8.56,8.75,8.52
vls_mom_contrarian_v1_frozen,2023-01-04,920855,6500,6.95,6.88,6.89
vls_mom_contrarian_v1_frozen,2023-01-04,920873,13900,3.29,3.27,3.26
vls_mom_contrarian_v1_frozen,2023-01-04,920914,4200,10.7,10.9,10.77
vls_mom_contrarian_v1_frozen,2023-01-05,920204,5200,8.59,8.62,8.57
vls_mom_contrarian_v1_frozen,2023-01-05,920392,5900,7.56,7.28,7.38
vls_mom_contrarian_v1_frozen,2023-01-05,920429,6300,7.16,7.23,7.14
vls_mom_contrarian_v1_frozen,2023-01-05,920580,10600,4.23,4.21,4.25
vls_mom_contrarian_v1_frozen,2023-01-05,920608,5200,8.64,8.66,8.63
vls_mom_contrarian_v1_frozen,2023-01-05,920807,7800,5.76,5.75,5.72
vls_mom_contrarian_v1_frozen,2023-01-05,920821,5300,8.95,8.88,8.75
vls_mom_contrarian_v1_frozen,2023-01-05,920855,6500,6.9,6.84,6.88
vls_mom_contrarian_v1_frozen,2023-01-05,920873,13900,3.3,3.28,3.27
vls_mom_contrarian_v1_frozen,2023-01-05,920914,4200,10.94,10.89,10.9
vls_mom_contrarian_v1_frozen,2023-01-06,920204,5200,8.63,8.64,8.62
vls_mom_contrarian_v1_frozen,2023-01-06,920392,5900,7.28,7.07,7.28
vls_mom_contrarian_v1_frozen,2023-01-06,920429,6300,7.18,7.21,7.23
vls_mom_contrarian_v1_frozen,2023-01-06,920580,10600,4.23,4.21,4.21
vls_mom_contrarian_v1_frozen,2023-01-06,920608,5200,8.63,8.64,8.66
vls_mom_contrarian_v1_frozen,2023-01-06,920807,7800,5.75,5.72,5.75
vls_mom_contrarian_v1_frozen,2023-01-06,920821,5300,8.9,8.89,8.88
vls_mom_contrarian_v1_frozen,2023-01-06,920855,6500,7.0,6.92,6.84
vls_mom_contrarian_v1_frozen,2023-01-06,920873,13900,3.3,3.27,3.28
vls_mom_contrarian_v1_frozen,2023-01-06,920914,4200,10.73,10.84,10.89
vls_mom_contrarian_v1_frozen,2023-01-09,920204,5200,8.63,8.57,8.64
vls_mom_contrarian_v1_frozen,2023-01-09,920392,5900,7.06,6.91,7.07
vls_mom_contrarian_v1_frozen,2023-01-09,920429,6300,7.21,7.15,7.21
vls_mom_contrarian_v1_frozen,2023-01-09,920580,10600,4.2,4.2,4.21
vls_mom_contrarian_v1_frozen,2023-01-09,920608,5200,8.63,8.64,8.64
vls_mom_contrarian_v1_frozen,2023-01-09,920807,7800,5.7,5.72,5.72
vls_mom_contrarian_v1_frozen,2023-01-09,920821,5300,8.72,8.87,8.89
vls_mom_contrarian_v1_frozen,2023-01-09,920855,6500,7.0,7.41,6.92
vls_mom_contrarian_v1_frozen,2023-01-09,920873,13900,3.3,3.27,3.27
vls_mom_contrarian_v1_frozen,2023-01-09,920914,4200,10.81,10.71,10.84
vls_mom_contrarian_v1_frozen,2023-01-10,920204,5200,8.5,8.55,8.57
vls_mom_contrarian_v1_frozen,2023-01-10,920392,5900,6.9,6.82,6.91
vls_mom_contrarian_v1_frozen,2023-01-10,920429,6300,7.12,7.22,7.15
vls_mom_contrarian_v1_frozen,2023-01-10,920580,10600,4.2,4.2,4.2
vls_mom_contrarian_v1_frozen,2023-01-10,920608,5200,8.63,8.61,8.64
vls_mom_contrarian_v1_frozen,2023-01-10,920807,7800,5.72,5.68,5.72
vls_mom_contrarian_v1_frozen,2023-01-10,920821,5300,8.94,8.76,8.87
vls_mom_contrarian_v1_frozen,2023-01-10,920855,6500,7.28,7.21,7.41
vls_mom_contrarian_v1_frozen,2023-01-10,920873,13900,3.3,3.28,3.27
vls_mom_contrarian_v1_frozen,2023-01-10,920914,4200,10.62,10.66,10.71
vls_mom_contrarian_v1_frozen,2023-01-11,920204,5200,8.53,8.55,8.55
vls_mom_contrarian_v1_frozen,2023-01-11,920392,5900,6.85,6.81,6.82
vls_mom_contrarian_v1_frozen,2023-01-11,920429,6300,7.23,7.23,7.22
vls_mom_contrarian_v1_frozen,2023-01-11,920580,10600,4.21,4.21,4.2
vls_mom_contrarian_v1_frozen,2023-01-11,920608,5200,8.68,8.6,8.61
vls_mom_contrarian_v1_frozen,2023-01-11,920807,7800,5.74,5.68,5.68
vls_mom_contrarian_v1_frozen,2023-01-11,920821,5300,8.86,8.64,8.76
vls_mom_contrarian_v1_frozen,2023-01-11,920855,6500,7.25,6.99,7.21
vls_mom_contrarian_v1_frozen,2023-01-11,920873,13900,3.26,3.28,3.28
vls_mom_contrarian_v1_frozen,2023-01-11,920914,4200,10.64,10.72,10.66
vls_mom_contrarian_v1_frozen,2023-01-12,920204,5200,8.54,8.55,8.55
vls_mom_contrarian_v1_frozen,2023-01-12,920392,5900,6.86,6.82,6.81
vls_mom_contrarian_v1_frozen,2023-01-12,920429,6300,7.22,7.25,7.23
vls_mom_contrarian_v1_frozen,2023-01-12,920580,10600,4.21,4.21,4.21
vls_mom_contrarian_v1_frozen,2023-01-12,920608,5200,8.61,8.58,8.6
vls_mom_contrarian_v1_frozen,2023-01-12,920807,7800,5.7,5.68,5.68
vls_mom_contrarian_v1_frozen,2023-01-12,920821,5300,8.83,8.6,8.64
vls_mom_contrarian_v1_frozen,2023-01-12,920855,6500,6.91,6.87,6.99
vls_mom_contrarian_v1_frozen,2023-01-12,920873,13900,3.3,3.27,3.28
vls_mom_contrarian_v1_frozen,2023-01-12,920914,4200,10.79,10.71,10.72
vls_mom_contrarian_v1_frozen,2023-01-13,920204,5200,8.54,8.55,8.55
vls_mom_contrarian_v1_frozen,2023-01-13,920392,5900,6.86,6.78,6.82
vls_mom_contrarian_v1_frozen,2023-01-13,920429,6300,7.27,7.42,7.25
vls_mom_contrarian_v1_frozen,2023-01-13,920580,10600,4.22,4.23,4.21
vls_mom_contrarian_v1_frozen,2023-01-13,920608,5200,8.51,8.56,8.58
vls_mom_contrarian_v1_frozen,2023-01-13,920807,7800,5.66,5.68,5.68
vls_mom_contrarian_v1_frozen,2023-01-13,920821,5300,8.82,8.65,8.6
vls_mom_contrarian_v1_frozen,2023-01-13,920855,6500,6.91,7.22,6.87
vls_mom_contrarian_v1_frozen,2023-01-13,920873,13900,3.29,3.28,3.27
vls_mom_contrarian_v1_frozen,2023-01-13,920914,4200,10.71,10.78,10.71
vls_mom_contrarian_v1_frozen,2023-01-16,920204,5200,8.54,8.58,8.55
vls_mom_contrarian_v1_frozen,2023-01-16,920392,5900,6.66,6.77,6.78
vls_mom_contrarian_v1_frozen,2023-01-16,920429,6300,7.42,7.57,7.42
vls_mom_contrarian_v1_frozen,2023-01-16,920580,10600,4.21,4.23,4.23
vls_mom_contrarian_v1_frozen,2023-01-16,920608,5200,8.58,8.57,8.56
vls_mom_contrarian_v1_frozen,2023-01-16,920807,7800,5.65,5.7,5.68
vls_mom_contrarian_v1_frozen,2023-01-16,920821,5300,8.8,8.69,8.65
vls_mom_contrarian_v1_frozen,2023-01-16,920855,6500,7.17,7.19,7.22
vls_mom_contrarian_v1_frozen,2023-01-16,920873,13900,3.29,3.29,3.28
vls_mom_contrarian_v1_frozen,2023-01-16,920914,4200,10.85,10.79,10.78
vls_mom_contrarian_v1_frozen,2023-01-17,920204,5200,8.69,8.75,8.58
vls_mom_contrarian_v1_frozen,2023-01-17,920392,5900,6.76,6.8,6.77
vls_mom_contrarian_v1_frozen,2023-01-17,920429,6300,7.58,7.77,7.57
vls_mom_contrarian_v1_frozen,2023-01-17,920580,10600,4.23,4.22,4.23
vls_mom_contrarian_v1_frozen,2023-01-17,920608,5200,8.57,8.6,8.57
vls_mom_contrarian_v1_frozen,2023-01-17,920807,7800,5.69,5.71,5.7
vls_mom_contrarian_v1_frozen,2023-01-17,920821,5300,8.78,8.7,8.69
vls_mom_contrarian_v1_frozen,2023-01-17,920855,6500,7.16,7.24,7.19
vls_mom_contrarian_v1_frozen,2023-01-17,920873,13900,3.3,3.3,3.29
vls_mom_contrarian_v1_frozen,2023-01-17,920914,4200,10.86,10.85,10.79
vls_mom_contrarian_v1_frozen,2023-01-18,920204,5200,8.83,8.98,8.75
vls_mom_contrarian_v1_frozen,2023-01-18,920392,5900,6.76,6.84,6.8
vls_mom_contrarian_v1_frozen,2023-01-18,920429,6300,7.76,7.86,7.77
vls_mom_contrarian_v1_frozen,2023-01-18,920580,10600,4.2,4.25,4.22
