trade_date,market_avg_liquidity,market_avg_score,market_bs_ratio,market_hs300_ret_20,market_hs300_pct_chg,amount,market_amount_ratio_20,market_liquidity_bucket,index_bucket
2026-01-05,15.002898859021467,44.84822084703152,0.056275,0.03765,1.8965,2567239811.635,1.3137043587215775,high_liquidity,index_neutral
2026-01-06,15.002890005799342,45.55784844384303,0.056254,0.044968,1.5462,2832277969.205,1.409889433337714,high_liquidity,index_strong
2026-01-07,15.00288944723618,46.254223038268265,0.056243,0.033518,-0.2928,2881565961.189,1.4053930670766235,high_liquidity,index_neutral
2026-01-08,15.002897738256332,46.984442296539726,0.056254,0.030323,-0.8167,2826302442.822,1.3485565707687264,high_liquidity,index_neutral
2026-01-09,15.00289829853055,48.09510054137664,0.056265,0.03639,0.4489,3152368298.167,1.4568424384533856,high_liquidity,index_neutral
2026-01-12,15.00289829853055,49.08183101314772,0.056265,0.052223,0.6513,3644614289.497,1.6185279732686697,high_liquidity,index_strong
2026-01-13,15.002902226524686,49.769624394966115,0.056147,0.039311,-0.603,3698811083.914,1.5869268440876108,high_liquidity,index_neutral
2026-01-14,15.00290884459067,50.21064640990904,0.056125,0.041711,-0.4012,3986861533.538,1.633674736865707,high_liquidity,index_strong
2026-01-15,15.002907156673114,49.261442940038684,0.055899,0.056447,0.2003,2938493793.991,1.1754221729676126,normal_liquidity,index_strong
2026-01-16,15.002890564578498,48.97252126836814,0.055878,0.033188,-0.4116,3056523974.277,1.1934619021787187,normal_liquidity,index_neutral
2026-01-19,15.002895805142083,48.457776918615885,0.055867,0.039901,0.0546,2732216214.272,1.0452927207638374,normal_liquidity,index_neutral
2026-01-20,15.002892450279976,48.286447190577334,0.055995,0.032989,-0.329,2804235216.197,1.0516126611180243,normal_liquidity,index_neutral
2026-01-21,15.002894126738793,47.57303323029366,0.056028,0.024166,0.0888,2623747053.499,0.970434198058107,normal_liquidity,index_neutral
2026-01-22,15.00289799072643,47.77341962905719,0.056801,0.022285,0.0135,2716404578.145,0.9901467531043421,normal_liquidity,index_neutral
2026-01-23,15.002897430944563,48.68138883523276,0.05988,0.014768,-0.4491,3118107722.921,1.111830429052512,normal_liquidity,index_neutral
2026-01-26,15.002899671370578,48.530612797216314,0.058187,0.013878,0.095,3280644397.75,1.142556155311103,normal_liquidity,index_neutral
2026-01-27,15.002899671370578,47.717918035955925,0.054707,0.010404,-0.027,2921453671.61,1.004508717159974,normal_liquidity,index_neutral
