strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-03,300433,蓝思科技,元器件,74.94,0.2,bs_score_v2,,,,
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-03,002897,意华股份,元器件,74.41,0.2,bs_score_v2,,,,
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-03,603678,火炬电子,元器件,74.34,0.2,bs_score_v2,,,,
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-03,300179,四方达,矿物制品,73.38,0.2,bs_score_v2,,,,
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-03,300394,天孚通信,通信设备,72.64,0.2,bs_score_v2,,,,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,1,2026-06-03,300433,蓝思科技,元器件,99.49755183786712,0.2,dynamic_factor_score,,,,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2,2026-06-03,300308,中际旭创,通信设备,99.43836727906378,0.2,dynamic_factor_score,,,,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,3,2026-06-03,300394,天孚通信,通信设备,99.40468879300303,0.2,dynamic_factor_score,,,,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,4,2026-06-03,300285,国瓷材料,陶瓷,98.96874341351617,0.2,dynamic_factor_score,,,,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,5,2026-06-03,601208,东材科技,化工原料,98.7652716300165,0.2,dynamic_factor_score,,,,
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.2,liquidity_detail_score,,,,
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.2,liquidity_detail_score,,,,
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.2,liquidity_detail_score,,,,
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.2,liquidity_detail_score,,,,
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.2,liquidity_detail_score,,,,
baseline_full_score,基础综合评分策略,1,2026-06-03,603011,合锻智能,专用机械,83.29,0.2,score,,,,
baseline_full_score,基础综合评分策略,2,2026-06-03,600162,香江控股,全国地产,83.1,0.2,score,,,,
baseline_full_score,基础综合评分策略,3,2026-06-03,603319,美湖股份,汽车配件,81.77,0.2,score,,,,
baseline_full_score,基础综合评分策略,4,2026-06-03,300433,蓝思科技,元器件,81.41,0.2,score,,,,
baseline_full_score,基础综合评分策略,5,2026-06-03,603678,火炬电子,元器件,81.02,0.2,score,,,,
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,1,2026-06-03,300433,蓝思科技,元器件,74.94,0.2,adaptive:tiered_liquidity_then_bs_v2:bs_score_v2,attack,tiered_liquidity_then_bs_v2,1.0,attack_full_position
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2,2026-06-03,002897,意华股份,元器件,74.41,0.2,adaptive:tiered_liquidity_then_bs_v2:bs_score_v2,attack,tiered_liquidity_then_bs_v2,1.0,attack_full_position
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,3,2026-06-03,603678,火炬电子,元器件,74.34,0.2,adaptive:tiered_liquidity_then_bs_v2:bs_score_v2,attack,tiered_liquidity_then_bs_v2,1.0,attack_full_position
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,4,2026-06-03,300179,四方达,矿物制品,73.38,0.2,adaptive:tiered_liquidity_then_bs_v2:bs_score_v2,attack,tiered_liquidity_then_bs_v2,1.0,attack_full_position
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,5,2026-06-03,300394,天孚通信,通信设备,72.64,0.2,adaptive:tiered_liquidity_then_bs_v2:bs_score_v2,attack,tiered_liquidity_then_bs_v2,1.0,attack_full_position
