strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-02,002484,江海股份,元器件,74.53,0.2,bs_score_v2,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-02,300502,新易盛,通信设备,71.65,0.2,bs_score_v2,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-02,601991,大唐发电,火力发电,71.56,0.2,bs_score_v2,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-02,603773,沃格光电,元器件,71.4,0.2,bs_score_v2,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-02,000636,风华高科,元器件,71.35,0.2,bs_score_v2,,,,,tiered_liquidity_then_bs_v2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,1,2026-06-02,002436,兴森科技,元器件,99.25138443690207,0.2,dynamic_factor_score,,,,,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2,2026-06-02,300285,国瓷材料,陶瓷,99.17846617344317,0.2,dynamic_factor_score,,,,,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,3,2026-06-02,300502,新易盛,通信设备,99.12327009360398,0.2,dynamic_factor_score,,,,,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,4,2026-06-02,000636,风华高科,元器件,99.09040107115453,0.2,dynamic_factor_score,,,,,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,5,2026-06-02,601991,大唐发电,火力发电,98.91231854337529,0.2,dynamic_factor_score,,,,,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-02,600183,生益科技,元器件,96.50020280307434,0.2,liquidity_detail_score,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-02,300620,光库科技,通信设备,95.52552089388361,0.2,liquidity_detail_score,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-02,688498,源杰科技,半导体,95.20088871665698,0.2,liquidity_detail_score,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-02,300408,三环集团,元器件,94.97003423109217,0.2,liquidity_detail_score,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-02,600036,招商银行,银行,94.6291648905251,0.2,liquidity_detail_score,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,1,2026-06-02,600183,生益科技,元器件,96.50020280307434,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,baseline_full_liquidity_detail,12,1.0
