strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-02,000636,风华高科,BUY,59.91,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-02,002484,江海股份,BUY,83.46,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-02,300502,新易盛,BUY,747.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-02,601991,大唐发电,BUY,9.18,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-02,603773,沃格光电,BUY,122.0,0,800,800,800,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-02,000636,风华高科,BUY,59.91,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-02,002436,兴森科技,BUY,42.22,0,2300,2300,2300,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-02,300285,国瓷材料,BUY,58.3368,0,1700,1700,1700,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-02,300502,新易盛,BUY,747.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2026-06-02,601991,大唐发电,BUY,9.18,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:baseline_full_dynamic_factor_industry_cap2; hold_gate=10d; max_positions=5,baseline_full_dynamic_factor_industry_cap2,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-02,300408,三环集团,BUY,134.46,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-02,300620,光库科技,BUY,320.02,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-02,600036,招商银行,BUY,38.8,0,2500,2500,2500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-02,600183,生益科技,BUY,141.07,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-02,300408,三环集团,BUY,134.46,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-02,300620,光库科技,BUY,320.02,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-02,600036,招商银行,BUY,38.8,0,2500,2500,2500,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-02,600183,生益科技,BUY,141.07,0,700,700,700,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-02,300408,三环集团,BUY,134.46,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-02,300620,光库科技,BUY,320.02,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-02,600036,招商银行,BUY,38.8,0,1200,1200,1200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-02,600183,生益科技,BUY,141.07,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_score,基础综合评分策略,2026-06-02,002484,江海股份,BUY,83.46,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-02,300715,凯伦股份,BUY,24.38,0,4100,4100,4100,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-02,600575,淮河能源,BUY,4.38,0,22800,22800,22800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-02,603011,合锻智能,BUY,28.99,0,3400,3400,3400,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
baseline_full_score,基础综合评分策略,2026-06-02,603773,沃格光电,BUY,122.0,0,800,800,800,0.0,0.2,0.2,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-02,000636,风华高科,BUY,59.91,0,1600,1600,1600,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-02,002484,江海股份,BUY,83.46,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-02,300502,新易盛,BUY,747.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-02,601991,大唐发电,BUY,9.18,0,10800,10800,10800,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-02,603773,沃格光电,BUY,122.0,0,800,800,800,0.0,0.2,0.2,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,1.0
