strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,target_position_ratio,style_reason,switch_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-03,300433,蓝思科技,元器件,74.94,0.2,bs_score_v2,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-03,002897,意华股份,元器件,74.41,0.2,bs_score_v2,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-03,603678,火炬电子,元器件,74.34,0.2,bs_score_v2,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-03,300179,四方达,矿物制品,73.38,0.2,bs_score_v2,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,1.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-03,300394,天孚通信,通信设备,72.64,0.2,bs_score_v2,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.2,liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.2,liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.2,liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.2,liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.2,liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.2,baseline_full_liquidity_detail:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail,12,1.0
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,1,2026-06-03,300620,光库科技,通信设备,96.74493707647629,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2,2026-06-03,600183,生益科技,元器件,96.27962568570506,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,3,2026-06-03,600584,长电科技,半导体,95.98076798967409,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,4,2026-06-03,300308,中际旭创,通信设备,95.91287512100676,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,2026-06-03,688498,源杰科技,半导体,95.67797353985156,0.2,baseline_full_liquidity_detail_market_gate:liquidity_detail_score,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,10,0.5
