strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,strategy_source,ashare_resolved_strategy,dual_intersection_count,dual_union_count,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-06-04,002056,横店东磁,电气设备,71.94,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-06-04,600487,亨通光电,通信设备,71.78,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-06-04,000700,模塑科技,汽车配件,71.47,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-06-04,301377,鼎泰高科,机械基件,71.34,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.8
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-06-04,000636,风华高科,元器件,71.05,0.2,bs_score_v2,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,1,2026-06-04,300408,三环集团,元器件,99.2258651058895,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,2,2026-06-04,300285,国瓷材料,陶瓷,99.1004831497232,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,3,2026-06-04,000636,风华高科,元器件,99.06855263126992,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,4,2026-06-04,600487,亨通光电,通信设备,98.91592953030526,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,5,2026-06-04,688146,中船特气,半导体,98.80336465932349,0.2,dynamic_factor_score,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-06-04,002463,沪电股份,元器件,95.95123588254275,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-06-04,600183,生益科技,元器件,94.99211358502744,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.8
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-06-04,688630,芯碁微装,专用机械,93.97703775411424,0.2,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,10,0.8
