strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,000636,风华高科,BUY,63.5,0,1100,1100,1100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,000700,模塑科技,BUY,17.8,0,3900,3900,3900,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,002056,横店东磁,BUY,29.42,0,2300,2300,2300,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,301377,鼎泰高科,BUY,408.52,0,100,100,100,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-04,600487,亨通光电,BUY,97.87,0,700,700,700,0.0,0.2,0.2,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,002463,沪电股份,BUY,140.82,0,400,400,400,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,300620,光库科技,BUY,319.26,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,600183,生益科技,BUY,143.96,0,400,400,400,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,400,400,400,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,300620,光库科技,BUY,319.26,0,200,200,200,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,600183,生益科技,BUY,143.96,0,400,400,400,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,300620,光库科技,BUY,319.26,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,600183,生益科技,BUY,143.96,0,300,300,300,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-04,688630,芯碁微装,BUY,408.0,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-04,300394,天孚通信,BUY,480.45,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-04,688008,澜起科技,BUY,259.67,0,100,100,100,0.0,0.2,0.2,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,002463,沪电股份,BUY,140.82,0,400,400,400,0.0,0.16422196234503905,0.16422196234503905,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,300620,光库科技,BUY,319.26,0,100,100,100,0.0,0.13311243182475374,0.13311243182475374,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-04,300750,宁德时代,BUY,408.2,0,300,300,300,0.0,0.3925482517974463,0.3925482517974463,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
