strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-18,002436,兴森科技,BUY,52.06,0,1300,1300,1300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-18,002600,领益智造,BUY,16.82,0,4100,4100,4100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-18,002741,光华科技,BUY,41.3,0,1600,1600,1600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-18,300260,新莱应材,BUY,82.97,0,800,800,800,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-18,300373,扬杰科技,BUY,123.13,0,500,500,500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-18,300285,国瓷材料,BUY,89.53,0,700,700,700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-18,300857,协创数据,BUY,277.76,0,200,200,200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-18,301217,铜冠铜箔,BUY,200.0,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-18,600378,昊华科技,BUY,65.16,0,1000,1000,1000,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-18,600392,盛和资源,BUY,31.66,0,2200,2200,2200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-18,300285,国瓷材料,BUY,89.53,0,700,700,700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
