strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-03,300503,昊志机电,BUY,111.0,0,100,100,100,0.0,0.027995419832355345,0.027995419832355345,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-03,300607,拓斯达,BUY,52.96,0,200,200,200,0.0,0.02748561712263254,0.02748561712263254,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-03,603662,柯力传感,BUY,80.0,0,100,100,100,0.0,0.027952623243277547,0.027952623243277547,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-07-03,688400,凌云光,BUY,71.41,0,200,200,200,0.0,0.029501460816639888,0.029501460816639888,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-03,000021,深科技,BUY,55.91,0,1300,1300,1300,0.0,0.1496187199085372,0.1496187199085372,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-03,300223,北京君正,BUY,259.56,0,200,200,200,0.0,0.143900807885015,0.143900807885015,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-03,603986,兆易创新,BUY,677.77,0,100,100,100,0.0,0.14214974097272587,0.14214974097272587,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-03,688120,华海清科,BUY,267.5,0,200,200,200,0.0,0.12453840856006888,0.12453840856006888,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-03,000021,深科技,BUY,55.91,0,1300,1300,1300,0.0,0.1496187199085372,0.1496187199085372,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-03,300223,北京君正,BUY,259.56,0,200,200,200,0.0,0.143900807885015,0.143900807885015,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-03,603986,兆易创新,BUY,677.77,0,100,100,100,0.0,0.14214974097272587,0.14214974097272587,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-03,688120,华海清科,BUY,267.5,0,200,200,200,0.0,0.12453840856006888,0.12453840856006888,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-03,000021,深科技,BUY,55.91,0,900,900,900,0.0,0.10687051422038372,0.10687051422038372,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-03,300223,北京君正,BUY,259.56,0,100,100,100,0.0,0.10278629134643928,0.10278629134643928,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-03,688120,华海清科,BUY,267.5,0,100,100,100,0.0,0.08895600611433492,0.08895600611433492,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-03,000725,京东方Ａ,BUY,8.38,0,7900,7900,7900,0.0,0.13303477838568623,0.13303477838568623,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-03,600487,亨通光电,BUY,89.42,0,500,500,500,0.0,0.09124976105514306,0.09124976105514306,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-03,000021,深科技,BUY,55.91,0,1400,1400,1400,0.0,0.1630000689322675,0.1630000689322675,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-03,002371,北方华创,BUY,815.2677,0,100,100,100,0.0,0.22005909894144238,0.22005909894144238,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-03,300223,北京君正,BUY,259.56,0,200,200,200,0.0,0.1265413923995097,0.1265413923995097,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-03,688120,华海清科,BUY,267.5,0,100,100,100,0.0,0.058364203777677905,0.058364203777677905,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-03,000021,深科技,BUY,55.91,0,700,700,700,0.0,0.08727615892866503,0.08727615892866503,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-03,300223,北京君正,BUY,259.56,0,800,800,800,0.0,0.4367479656493755,0.4367479656493755,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-07-03,000608,*ST阳光,BUY,5.96,0,12700,12700,12700,0.0,0.15242698565133883,0.15242698565133883,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-03,002217,合力泰,BUY,1.76,0,39000,39000,39000,0.0,0.13759546943848153,0.13759546943848153,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-03,002647,*ST仁东,BUY,10.93,0,5300,5300,5300,0.0,0.11710569427183369,0.11710569427183369,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-03,300052,ST中青宝,BUY,12.18,0,6000,6000,6000,0.0,0.1478824426618461,0.1478824426618461,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-03,603007,*ST花王,BUY,6.0,0,12000,12000,12000,0.0,0.1449894079764998,0.1449894079764998,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-03,000021,深科技,BUY,55.91,0,900,900,900,0.0,0.10473310393597603,0.10473310393597603,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-03,300223,北京君正,BUY,259.56,0,100,100,100,0.0,0.10073056551951048,0.10073056551951048,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-03,688120,华海清科,BUY,267.5,0,100,100,100,0.0,0.0871768859920482,0.0871768859920482,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-03,000021,深科技,BUY,55.91,0,900,900,900,0.0,0.10473310393597603,0.10473310393597603,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-03,300223,北京君正,BUY,259.56,0,100,100,100,0.0,0.10073056551951048,0.10073056551951048,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-03,688120,华海清科,BUY,267.5,0,100,100,100,0.0,0.0871768859920482,0.0871768859920482,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-03,000002,万科Ａ,BUY,3.09,0,22600,22600,22600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-03,000011,深物业A,BUY,6.63,0,10500,10500,10500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-03,000520,凤凰航运,BUY,4.55,0,15300,15300,15300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-03,300998,宁波方正,BUY,29.61,0,2300,2300,2300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-03,688061,灿瑞科技,BUY,49.01,0,1400,1400,1400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-03,000002,万科Ａ,BUY,3.09,0,22600,22600,22600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-03,000011,深物业A,BUY,6.63,0,10500,10500,10500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-03,000016,深康佳Ａ,BUY,2.67,0,26200,26200,26200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
