strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-15,002156,通富微电,BUY,78.71,0,900,900,900,0.0,0.14515686653146875,0.14515686653146875,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-15,002384,东山精密,BUY,262.49,0,200,200,200,0.0,0.12980324592460538,0.12980324592460538,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-15,300759,康龙化成,BUY,40.3,0,1800,1800,1800,0.0,0.1506360163412274,0.1506360163412274,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-15,603501,豪威集团,BUY,111.12,0,600,600,600,0.0,0.1442923733106992,0.1442923733106992,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-15,002156,通富微电,BUY,78.71,0,900,900,900,0.0,0.14515686653146875,0.14515686653146875,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-15,002384,东山精密,BUY,262.49,0,200,200,200,0.0,0.12980324592460538,0.12980324592460538,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-15,300759,康龙化成,BUY,40.3,0,1800,1800,1800,0.0,0.1506360163412274,0.1506360163412274,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-15,603501,豪威集团,BUY,111.12,0,600,600,600,0.0,0.1442923733106992,0.1442923733106992,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-15,002156,通富微电,BUY,78.71,0,600,600,600,0.0,0.10368347609390627,0.10368347609390627,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-15,002384,东山精密,BUY,262.49,0,100,100,100,0.0,0.092716604231861,0.092716604231861,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-15,300759,康龙化成,BUY,40.3,0,1300,1300,1300,0.0,0.10759715452944814,0.10759715452944814,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-15,603501,豪威集团,BUY,111.12,0,400,400,400,0.0,0.1030659809362137,0.1030659809362137,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-15,000725,京东方Ａ,BUY,6.38,0,8100,8100,8100,0.0,0.10454470393513071,0.10454470393513071,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-15,600584,长电科技,BUY,92.46,0,500,500,500,0.0,0.10865123262293962,0.10865123262293962,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-15,002156,通富微电,BUY,78.71,0,700,700,700,0.0,0.12515121868569595,0.12515121868569595,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
