strategy,strategy_display_name,rank,signal_date,symbol,name,industry,rank_score,effective_weight,sort_col,adaptive_role,adaptive_underlying_strategy,adaptive_position_scale,adaptive_position_reason,market_style_state,selected_strategy,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_version,strategy_source,ashare_resolved_strategy,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_weight_penalty,ashare_weight_reason,ashare_supplement,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,1,2026-07-16,002558,巨人网络,互联网,76.45,0.0,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,tiered_liquidity_then_bs_v2,10,0.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2,2026-07-16,300683,海特生物,生物制药,72.8,0.0,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,tiered_liquidity_then_bs_v2,10,0.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,3,2026-07-16,300528,幸福蓝海,影视音像,72.61,0.0,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,tiered_liquidity_then_bs_v2,10,0.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,4,2026-07-16,603127,昭衍新药,医疗保健,71.94,0.0,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,tiered_liquidity_then_bs_v2,10,0.0
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,2026-07-16,300896,爱美客,医疗保健,71.28,0.0,bs_score_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,tiered_liquidity_then_bs_v2,10,0.0
baseline_full_liquidity_detail,流动性质量防守策略,1,2026-07-16,002156,通富微电,半导体,94.86710027100271,0.14740923913353854,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2,2026-07-16,002384,东山精密,元器件,93.75016647309333,0.13108078507893878,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,3,2026-07-16,000938,紫光股份,IT设备,92.09073945025165,0.14835500506337929,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,4,2026-07-16,300759,康龙化成,化学制药,91.59118854045683,0.14660068276864882,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,5,2026-07-16,600900,长江电力,水力发电,90.77982191250484,0.1265542879554946,liquidity_detail_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,baseline_full_liquidity_detail,10,0.7
