strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-17,300759,康龙化成,BUY,35.48,0,2200,2200,2200,0.0,0.15810830188206432,0.15810830188206432,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-17,600900,长江电力,BUY,27.2071,0,2200,2200,2200,0.0,0.12093659117898053,0.12093659117898053,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-17,601398,工商银行,BUY,7.57,0,8900,8900,8900,0.0,0.13524927363926564,0.13524927363926564,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-17,688347,华虹公司,BUY,309.0,0,200,200,200,0.0,0.14917994673586638,0.14917994673586638,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-17,300759,康龙化成,BUY,35.48,0,2200,2200,2200,0.0,0.15810830188206432,0.15810830188206432,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-17,600900,长江电力,BUY,27.2071,0,2200,2200,2200,0.0,0.12093659117898053,0.12093659117898053,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-17,601398,工商银行,BUY,7.57,0,8900,8900,8900,0.0,0.13524927363926564,0.13524927363926564,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-17,688347,华虹公司,BUY,309.0,0,200,200,200,0.0,0.14917994673586638,0.14917994673586638,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-17,300759,康龙化成,BUY,35.48,0,1500,1500,1500,0.0,0.11293450134433167,0.11293450134433167,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-17,600900,长江电力,BUY,27.2071,0,1500,1500,1500,0.0,0.08638327941355753,0.08638327941355753,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-17,601398,工商银行,BUY,7.57,0,6300,6300,6300,0.0,0.0966066240280469,0.0966066240280469,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-17,688347,华虹公司,BUY,309.0,0,100,100,100,0.0,0.10655710481133314,0.10655710481133314,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-17,000725,京东方Ａ,BUY,6.07,0,8700,8700,8700,0.0,0.10570866515006944,0.10570866515006944,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-17,002384,东山精密,BUY,241.92,0,200,200,200,0.0,0.10095615219848932,0.10095615219848932,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-17,603986,兆易创新,BUY,463.15,0,100,100,100,0.0,0.10114167047379882,0.10114167047379882,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-17,300759,康龙化成,BUY,35.48,0,1200,1200,1200,0.0,0.08825380600017707,0.08825380600017707,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-17,600900,长江电力,BUY,27.2071,0,4300,4300,4300,0.0,0.23770209758855157,0.23770209758855157,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-17,601398,工商银行,BUY,7.57,0,15700,15700,15700,0.0,0.23800835897602907,0.23800835897602907,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-17,300759,康龙化成,BUY,35.48,0,1200,1200,1200,0.0,0.09064885245621908,0.09064885245621908,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-17,600900,长江电力,BUY,27.2071,0,2900,2900,2900,0.0,0.16147795335747175,0.16147795335747175,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-17,601398,工商银行,BUY,7.57,0,24500,24500,24500,0.0,0.37097492967810075,0.37097492967810075,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-07-17,000711,ST京蓝,BUY,4.43,0,16100,16100,16100,0.0,0.1426856268946738,0.1426856268946738,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-17,001270,*ST铖昌,BUY,109.94,0,600,600,600,0.0,0.14039656439008605,0.14039656439008605,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-17,002647,*ST仁东,BUY,9.08,0,7400,7400,7400,0.0,0.13498097080506716,0.13498097080506716,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-17,600228,*ST返利,BUY,6.18,0,11000,11000,11000,0.0,0.13701709368416293,0.13701709368416293,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-07-17,600360,*ST华微,BUY,11.59,0,6200,6200,6200,0.0,0.14491974422601003,0.14491974422601003,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-17,000725,京东方Ａ,BUY,6.07,0,9900,9900,9900,0.0,0.12019900251055379,0.12019900251055379,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-17,002384,东山精密,BUY,241.92,0,200,200,200,0.0,0.11479502436564534,0.11479502436564534,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-07-17,603986,兆易创新,BUY,463.15,0,100,100,100,0.0,0.11500597312380083,0.11500597312380083,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-17,000725,京东方Ａ,BUY,6.07,0,9900,9900,9900,0.0,0.12019900251055379,0.12019900251055379,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-17,002384,东山精密,BUY,241.92,0,200,200,200,0.0,0.11479502436564534,0.11479502436564534,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-07-17,603986,兆易创新,BUY,463.15,0,100,100,100,0.0,0.11500597312380083,0.11500597312380083,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-17,000001,平安银行,BUY,10.78,0,6400,6400,6400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-17,000002,万科Ａ,BUY,3.1,0,22500,22500,22500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-17,000011,深物业A,BUY,6.63,0,10500,10500,10500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-17,000016,深康佳Ａ,BUY,2.52,0,27700,27700,27700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-17,000019,深粮控股,BUY,6.05,0,11500,11500,11500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-17,000001,平安银行,BUY,10.78,0,6400,6400,6400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-17,000002,万科Ａ,BUY,3.1,0,22500,22500,22500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-17,000011,深物业A,BUY,6.63,0,10500,10500,10500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-17,000016,深康佳Ａ,BUY,2.52,0,27700,27700,27700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-17,000019,深粮控股,BUY,6.05,0,11500,11500,11500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
