strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-20,600900,长江电力,BUY,28.98,0,1700,1700,1700,0.0,0.0988548756879832,0.0988548756879832,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.5
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-20,601318,中国平安,BUY,53.23,0,900,900,900,0.0,0.1008339812455348,0.1008339812455348,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.5
baseline_full_liquidity_detail,流动性质量防守策略,2026-07-20,601668,中国建筑,BUY,4.65,0,9300,9300,9300,0.0,0.08735063099871966,0.08735063099871966,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.5
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-20,600900,长江电力,BUY,28.98,0,1700,1700,1700,0.0,0.0988548756879832,0.0988548756879832,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.5
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-20,601318,中国平安,BUY,53.23,0,900,900,900,0.0,0.1008339812455348,0.1008339812455348,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.5
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-07-20,601668,中国建筑,BUY,4.65,0,9300,9300,9300,0.0,0.08735063099871966,0.08735063099871966,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-20,600900,长江电力,BUY,28.98,0,1700,1700,1700,0.0,0.0988548756879832,0.0988548756879832,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-20,601318,中国平安,BUY,53.23,0,900,900,900,0.0,0.1008339812455348,0.1008339812455348,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-07-20,601668,中国建筑,BUY,4.65,0,9300,9300,9300,0.0,0.08735063099871966,0.08735063099871966,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-20,000725,京东方Ａ,BUY,5.79,0,8700,8700,8700,0.0,0.10137136101274208,0.10137136101274208,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-20,002384,东山精密,BUY,217.73,0,200,200,200,0.0,0.10008657664251305,0.10008657664251305,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-07-20,603986,兆易创新,BUY,432.3,0,100,100,100,0.0,0.10384894087524836,0.10384894087524836,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-20,600900,长江电力,BUY,28.98,0,2100,2100,2100,0.0,0.12647477469798418,0.12647477469798418,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-20,601318,中国平安,BUY,53.23,0,1000,1000,1000,0.0,0.10938364937324707,0.10938364937324707,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-07-20,601668,中国建筑,BUY,4.65,0,13000,13000,13000,0.0,0.12156047883816977,0.12156047883816977,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.5
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-20,600900,长江电力,BUY,28.98,0,2100,2100,2100,0.0,0.12365280634847199,0.12365280634847199,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.5
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-20,601318,中国平安,BUY,53.23,0,1100,1100,1100,0.0,0.12612837424077838,0.12612837424077838,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.5
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-07-20,601668,中国建筑,BUY,4.65,0,11700,11700,11700,0.0,0.10926270033855806,0.10926270033855806,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.5
baseline_full_score,基础综合评分策略,2026-07-20,000711,ST京蓝,BUY,4.32,0,11600,11600,11600,0.0,0.10070620484123838,0.10070620484123838,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.5
baseline_full_score,基础综合评分策略,2026-07-20,001270,*ST铖昌,BUY,98.95,0,500,500,500,0.0,0.10492152062138058,0.10492152062138058,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.5
baseline_full_score,基础综合评分策略,2026-07-20,002647,*ST仁东,BUY,8.41,0,5700,5700,5700,0.0,0.09689230027550955,0.09689230027550955,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.5
baseline_full_score,基础综合评分策略,2026-07-20,600360,*ST华微,BUY,10.43,0,4900,4900,4900,0.0,0.10288607690759972,0.10288607690759972,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.5
