trade_date,returncode,elapsed_seconds,industry_updated,model_rows_cleared,rule_bs_updated,score_rows,empty_industry_rows,null_score_rows,null_liquidity_rows,null_bs_v2_rows,null_consensus_rows,model_field_rows,score_log,status,error
2025-10-21,0,81.576,0,5149,5149,5149,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251021.log,PASS,
2025-10-22,0,79.476,0,5149,5149,5149,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251022.log,PASS,
2025-10-23,0,77.822,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251023.log,PASS,
2025-10-24,0,79.469,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251024.log,PASS,
2025-10-27,0,80.555,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251027.log,PASS,
2025-10-28,0,79.668,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251028.log,PASS,
2025-10-29,0,77.062,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251029.log,PASS,
2025-10-30,0,72.862,0,5150,5150,5150,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251030.log,PASS,
2025-10-31,0,74.544,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251031.log,PASS,
2025-11-03,0,73.068,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251103.log,PASS,
2025-11-04,0,73.586,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251104.log,PASS,
2025-11-05,0,71.32,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251105.log,PASS,
2025-11-06,0,71.762,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251106.log,PASS,
2025-11-07,0,78.724,0,5153,5153,5153,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251107.log,PASS,
2025-11-10,0,79.963,0,5156,5156,5156,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251110.log,PASS,
2025-11-11,0,78.399,0,5157,5157,5157,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251111.log,PASS,
2025-11-12,0,78.089,0,5159,5159,5159,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251112.log,PASS,
2025-11-13,0,78.014,0,5158,5158,5158,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251113.log,PASS,
2025-11-14,0,77.258,0,5156,5156,5156,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251114.log,PASS,
2025-11-17,0,78.54,0,5155,5155,5155,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251117.log,PASS,
2025-11-18,0,78.292,0,5157,5157,5157,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251118.log,PASS,
2025-11-19,0,78.843,0,5159,5159,5159,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251119.log,PASS,
2025-11-20,0,78.601,0,5158,5158,5158,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251120.log,PASS,
2025-11-21,0,76.5,0,5160,5160,5160,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251121.log,PASS,
2025-11-24,0,77.18,0,5156,5156,5156,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251124.log,PASS,
2025-11-25,0,81.873,0,5154,5154,5154,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251125.log,PASS,
2025-11-26,0,78.991,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251126.log,PASS,
2025-11-27,0,77.254,0,5150,5150,5150,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251127.log,PASS,
2025-11-28,0,76.119,0,5149,5149,5149,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251128.log,PASS,
2025-12-01,0,76.4,0,5148,5148,5148,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251201.log,PASS,
2025-12-02,0,80.227,0,5151,5151,5151,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251202.log,PASS,
2025-12-03,0,79.422,0,5157,5157,5157,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251203.log,PASS,
2025-12-04,0,74.622,0,5155,5155,5155,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251204.log,PASS,
2025-12-05,0,79.072,0,5153,5153,5153,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251205.log,PASS,
2025-12-08,0,84.848,0,5155,5155,5155,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251208.log,PASS,
2025-12-09,0,81.144,0,5155,5155,5155,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251209.log,PASS,
2025-12-10,0,75.447,0,5152,5152,5152,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251210.log,PASS,
2025-12-11,0,72.394,0,5155,5155,5155,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251211.log,PASS,
2025-12-12,0,74.788,0,5157,5157,5157,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251212.log,PASS,
2025-12-15,0,79.478,0,5156,5156,5156,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251215.log,PASS,
2025-12-16,0,76.07,0,5158,5158,5158,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251216.log,PASS,
2025-12-17,0,75.599,0,5159,5159,5159,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251217.log,PASS,
2025-12-18,0,74.228,0,5162,5162,5162,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251218.log,PASS,
2025-12-19,0,72.875,0,5161,5161,5161,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251219.log,PASS,
2025-12-22,0,73.97,0,5157,5157,5157,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251222.log,PASS,
2025-12-23,0,74.319,0,5162,5162,5162,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251223.log,PASS,
2025-12-24,0,80.801,0,5164,5164,5164,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251224.log,PASS,
2025-12-25,0,81.289,0,5166,5166,5166,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251225.log,PASS,
2025-12-26,0,74.905,0,5165,5165,5165,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251226.log,PASS,
2025-12-29,0,72.866,0,5167,5167,5167,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251229.log,PASS,
2025-12-30,0,73.412,0,5170,5170,5170,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_172535_553378_44917_2025_full/logs/score_rank_20251230.log,PASS,
