trade_date,price_rows,price_symbols,score_rows,empty_industry_rows,null_score_rows,null_liquidity_rows,null_bs_v2_rows,null_consensus_rows,model_field_rows,has_price,has_score,score_rows_ok,core_null_rows,core_fields_ok,model_fields_clean,ready,month
2023-01-03,4935,4935,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-04,4937,4937,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-05,4937,4937,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-06,4937,4937,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-09,4934,4934,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-10,4938,4938,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-11,4939,4939,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-12,4936,4936,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-13,4937,4937,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-16,4938,4938,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-17,4937,4937,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-18,4938,4938,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-19,4940,4940,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-20,4941,4941,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-30,4941,4941,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-01-31,4940,4940,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-01
2023-02-01,4942,4942,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-02,4945,4945,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-03,4945,4945,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-06,4947,4947,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-07,4949,4949,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-08,4950,4950,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-09,4953,4953,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-10,4954,4954,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-13,4955,4955,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-14,4956,4956,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-15,4957,4957,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-16,4962,4962,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-17,4964,4964,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-20,4966,4966,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-21,4967,4967,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-22,4969,4969,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-23,4969,4969,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-24,4968,4968,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-27,4968,4968,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-02-28,4971,4971,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-02
2023-03-01,4973,4973,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-02,4975,4975,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-03,4977,4977,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-06,4978,4978,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-07,4979,4979,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-08,4980,4980,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-09,4982,4982,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-10,4984,4984,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-13,4989,4989,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-14,4990,4990,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-15,4993,4993,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-16,4993,4993,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-17,4994,4994,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-20,4994,4994,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-21,4997,4997,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
2023-03-22,4996,4996,0,0,0,0,0,0,0,True,False,False,0,True,True,False,2023-03
