sample_split,event_date,event_date_key,event_uid,symbol,ts_code,name,event_seq_for_symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20
train,2026-01-22,20260122,20260122_000011_01,000011,000011.SZ,深物业A,1,当天出现买点,当天无卖点,2,1,1,0,2026-01-23 00:41:39,34.85,34.85,0.0,0.0,44.25,77.01,18.85,31.72,1.93,2.7,,25.87,75.0,9.05,9.05,0.0,0,,1,0.003315,0.003315,0.0,0.0,0.0,,-0.022099,0.003315,-0.022099,0.0,0.0,,0.00663,0.00663,-0.022099,0.0,0.0,,0.00884,0.01105,-0.034254,0.0,0.0,,-0.01768,0.025414,-0.034254,0.0,0.0,
train,2026-01-22,20260122,20260122_000012_01,000012,000012.SZ,南玻Ａ,1,当天出现买点,当天无卖点,3,1,1,0,2026-01-23 00:37:55,58.38,58.38,0.0,100.0,89.66,94.02,27.59,14.94,4.07,2.8,,31.39,56.15,4.59,4.77,-3.77,0,,1,0.026144,0.026144,0.0,0.0,0.0,,0.010893,0.026144,0.0,0.0,0.0,,0.026144,0.026144,0.0,0.0,0.0,,0.021786,0.039216,-0.028322,0.0,0.0,,0.095861,0.12854,-0.028322,1.0,1.0,18.0
train,2026-01-22,20260122,20260122_000078_01,000078,000078.SZ,海王生物,1,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:39:48,28.98,28.98,0.0,0.0,44.25,33.22,9.66,46.67,22.9,2.55,,23.16,75.0,3.63,3.63,0.0,0,,1,0.052342,0.052342,0.0,1.0,0.0,,0.143251,0.157025,0.0,1.0,1.0,2.0,0.046832,0.157025,0.0,1.0,1.0,2.0,0.016529,0.157025,-0.008264,1.0,1.0,2.0,-0.030303,0.157025,-0.049587,1.0,1.0,2.0
train,2026-01-22,20260122,20260122_002023_01,002023,002023.SZ,海特高新,1,当天出现买点,当天无卖点,4,3,1,0,2026-01-23 00:42:01,51.69,51.69,0.0,100.0,44.25,33.22,70.34,78.16,22.0,2.75,,36.27,75.0,14.42,14.42,0.0,0,,1,0.020804,0.020804,0.0,0.0,0.0,,-0.009015,0.020804,-0.013176,0.0,0.0,,-0.057559,0.020804,-0.057559,0.0,0.0,,-0.171983,0.020804,-0.183079,0.0,0.0,,-0.135922,0.020804,-0.183079,0.0,0.0,
train,2026-01-22,20260122,20260122_002669_01,002669,002669.SZ,康达新材,1,当天出现买点,当天无卖点,3,1,1,0,2026-01-23 00:40:21,44.22,44.22,0.0,0.0,44.25,80.46,53.56,83.22,13.24,3.6,,35.18,75.0,15.5,15.5,0.0,0,,1,0.016774,0.016774,0.0,0.0,0.0,,-0.012258,0.016774,-0.012258,0.0,0.0,,-0.052903,0.016774,-0.052903,0.0,0.0,,-0.087742,0.016774,-0.087742,0.0,0.0,,-0.016129,0.016774,-0.087742,0.0,0.0,
train,2026-01-22,20260122,20260122_002673_01,002673,002673.SZ,西部证券,1,当天出现买点,当天无卖点,2,3,1,0,2026-01-23 00:38:16,48.55,48.55,0.0,100.0,44.25,33.22,23.22,86.44,14.28,1.85,,26.03,75.0,8.08,8.08,0.0,0,,1,0.003713,0.003713,0.0,0.0,0.0,,0.001238,0.009901,0.0,0.0,0.0,,0.011139,0.011139,0.0,0.0,0.0,,-0.014851,0.011139,-0.032178,0.0,0.0,,-0.009901,0.011139,-0.034653,0.0,0.0,
train,2026-01-22,20260122,20260122_300008_01,300008,300008.SZ,天海防务,1,当天出现买点,当天无卖点,2,2,1,0,2026-01-23 00:41:35,54.36,54.36,0.0,100.0,44.25,97.01,77.01,42.07,26.41,3.4,,39.62,75.0,8.99,8.99,0.0,0,,1,0.003337,0.003337,0.0,0.0,0.0,,-0.034483,0.003337,-0.034483,0.0,0.0,,-0.066741,0.003337,-0.066741,0.0,0.0,,-0.011123,0.003337,-0.113459,0.0,0.0,,0.084538,0.091212,-0.113459,1.0,0.0,
train,2026-01-22,20260122,20260122_300084_01,300084,300084.SZ,海默科技,1,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:37:54,50.56,50.56,0.0,100.0,44.25,88.74,67.82,26.9,11.72,2.6,,35.27,75.0,10.78,10.78,0.0,0,,1,0.025046,0.025046,0.0,0.0,0.0,,0.056586,0.056586,0.0,1.0,0.0,,0.032468,0.056586,0.0,1.0,0.0,,-0.002783,0.056586,-0.002783,1.0,0.0,,0.039889,0.056586,-0.005566,1.0,0.0,
train,2026-01-22,20260122,20260122_300145_01,300145,300145.SZ,南方泵业,1,当天出现买点,当天无卖点,3,2,1,0,2026-01-23 00:40:12,42.45,42.45,0.0,0.0,44.25,74.02,29.2,88.51,13.45,2.75,,28.71,75.0,4.76,4.76,0.0,0,,1,0.002101,0.002101,0.0,0.0,0.0,,-0.010504,0.002101,-0.012605,0.0,0.0,,-0.037815,0.002101,-0.037815,0.0,0.0,,-0.065126,0.002101,-0.065126,0.0,0.0,,0.039916,0.058824,-0.065126,1.0,0.0,
train,2026-01-22,20260122,20260122_600336_01,600336,600336.SH,澳柯玛,1,当天出现买点,当天无卖点,2,2,1,0,2026-01-23 00:37:08,32.17,32.17,0.0,0.0,44.25,99.66,17.24,39.08,10.69,3.3,,27.02,75.0,8.64,8.64,0.0,0,,1,0.021991,0.021991,0.0,0.0,0.0,,-0.094907,0.021991,-0.094907,0.0,0.0,,-0.121528,0.021991,-0.121528,0.0,0.0,,-0.086806,0.021991,-0.121528,0.0,0.0,,-0.100694,0.021991,-0.121528,0.0,0.0,
