event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260122_000011_01,2026-01-22,000011,000011.SZ,0.0,0.003315,-0.00663,-0.022099,-0.020994,0.00663,-0.016575,-0.034254,-0.022099,0.01105,0.00884,0.001105,0.025414,0.01326,0.01989,-0.001105,-0.001105,0.00221,0.022099,-0.01547,-0.01768
20260122_000012_01,2026-01-22,000012,000012.SZ,0.0,0.026144,0.017429,0.010893,0.017429,0.026144,0.013072,-0.028322,-0.008715,0.039216,0.021786,0.013072,0.037037,0.026144,0.043573,0.017429,-0.008715,0.026144,0.12854,0.098039,0.095861
20260122_000078_01,2026-01-22,000078,000078.SZ,0.0,0.052342,0.157025,0.143251,0.090909,0.046832,0.016529,-0.008264,0.035813,0.044077,0.016529,0.046832,0.052342,0.027548,-0.00551,-0.044077,-0.049587,-0.033058,-0.002755,-0.035813,-0.030303
20260122_002023_01,2026-01-22,002023,002023.SZ,0.0,0.020804,-0.013176,-0.009015,-0.033981,-0.057559,-0.151872,-0.183079,-0.169209,-0.162275,-0.171983,-0.183079,-0.169903,-0.174757,-0.17337,-0.168516,-0.165742,-0.162275,-0.142857,-0.133148,-0.135922
20260122_002669_01,2026-01-22,002669,002669.SZ,0.0,0.016774,-0.011613,-0.012258,-0.032258,-0.052903,-0.042581,-0.077419,-0.057419,-0.062581,-0.087742,-0.075484,-0.065161,-0.072258,-0.06,-0.076774,-0.07871,-0.04,-0.021935,-0.009677,-0.016129
20260122_002673_01,2026-01-22,002673,002673.SZ,0.0,0.003713,0.009901,0.001238,0.011139,0.011139,-0.008663,-0.032178,-0.028465,-0.017327,-0.014851,-0.022277,-0.013614,-0.018564,-0.018564,-0.023515,-0.034653,-0.032178,-0.018564,-0.024752,-0.009901
20260122_300008_01,2026-01-22,300008,300008.SZ,0.0,0.003337,-0.020022,-0.034483,-0.043382,-0.066741,-0.097887,-0.113459,-0.017798,0.0,-0.011123,-0.040044,-0.028921,-0.004449,-0.016685,-0.007786,0.024472,0.074527,0.091212,0.074527,0.084538
20260122_300084_01,2026-01-22,300084,300084.SZ,0.0,0.025046,0.038961,0.056586,0.046382,0.032468,0.032468,0.003711,0.008349,0.026902,-0.002783,0.005566,0.022263,0.003711,-0.005566,0.006494,0.014842,0.055659,0.050093,0.027829,0.039889
20260122_300145_01,2026-01-22,300145,300145.SZ,0.0,0.002101,-0.012605,-0.010504,-0.006303,-0.037815,-0.037815,-0.065126,-0.05042,-0.039916,-0.065126,-0.063025,-0.046218,-0.046218,-0.039916,0.006303,-0.018908,0.014706,0.008403,0.058824,0.039916
20260122_600336_01,2026-01-22,600336,600336.SH,0.0,0.021991,-0.052083,-0.094907,-0.116898,-0.121528,-0.100694,-0.087963,-0.090278,-0.090278,-0.086806,-0.09838,-0.083333,-0.082176,-0.076389,-0.096065,-0.111111,-0.078704,-0.076389,-0.090278,-0.100694
20260122_688316_01,2026-01-22,688316,688316.SH,0.0,-0.010277,0.060101,0.066346,0.078314,0.009236,-0.01431,-0.059191,0.02862,-0.059711,-0.051125,-0.019123,0.033043,0.035775,0.085599,0.18863,0.186158,0.122935,0.04332,0.021855,0.081306
20260123_000039_01,2026-01-23,000039,000039.SZ,0.0,-0.011089,-0.028226,-0.039315,-0.03125,-0.02621,-0.049395,0.045363,0.150202,0.138105,0.106855,0.122984,0.113911,0.134073,0.160282,0.122984,0.215726,0.242944,0.362903,0.360887,0.38004
20260123_000723_01,2026-01-23,000723,000723.SZ,0.0,-0.006024,-0.028112,0.008032,0.008032,0.016064,-0.064257,-0.056225,0.038153,0.008032,-0.01004,0.006024,-0.01004,-0.01004,-0.024096,-0.048193,0.002008,0.018072,0.008032,0.052209,0.062249
20260123_000868_01,2026-01-23,000868,000868.SZ,0.0,-0.011834,-0.021696,-0.033531,-0.039448,-0.04142,-0.051282,-0.053254,-0.043393,-0.043393,-0.031558,-0.029586,-0.025641,-0.023669,-0.033531,-0.037475,-0.019724,-0.025641,-0.037475,-0.031558,-0.061144
20260123_002006_01,2026-01-23,002006,002006.SZ,0.0,-0.041561,-0.04665,-0.080153,-0.116624,-0.126802,-0.152672,-0.126378,-0.127651,-0.143342,-0.139949,-0.127651,-0.131043,-0.13274,-0.133164,-0.140373,-0.123834,-0.115776,-0.117897,-0.117048,-0.14419
20260123_002007_01,2026-01-23,002007,002007.SZ,0.0,0.069827,0.037156,0.012172,0.01089,0.001281,-0.0205,-0.01025,0.000641,-0.003844,-0.008328,0.000641,-0.003203,-0.008328,-0.012172,-0.019218,-0.012812,-0.007687,-0.008328,-0.008969,-0.019218
20260123_002074_01,2026-01-23,002074,002074.SZ,0.0,-0.027704,-0.060467,-0.073476,-0.092267,-0.08504,-0.09564,-0.085522,-0.085762,-0.105276,-0.115876,-0.104794,-0.112503,-0.099253,-0.104312,-0.110817,-0.092026,-0.07444,-0.082872,-0.086967,-0.10383
