asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected
2026-05-08,20260508,000700,000700.SZ,模塑科技,76.73,76.73,0.0,100.0,99.2,96.05,89.55,48.07,24.43,8.8,63.2093,79.1,70.0,14.5,12.04,20.43,0,TRADE,1
2026-05-08,20260508,300767,300767.SZ,震安科技,75.65,75.65,0.0,100.0,94.36,86.34,94.29,47.87,21.08,9.45,52.9265,78.14,63.51,25.94,20.99,23.58,0,TRADE,1
2026-05-08,20260508,002439,002439.SZ,启明星辰,73.69,73.69,0.0,100.0,92.78,81.95,89.92,42.4,25.53,8.6,57.9564,77.31,78.45,16.63,14.26,16.62,0,WATCH,1
2026-05-08,20260508,600497,600497.SH,驰宏锌锗,77.21,77.21,0.0,100.0,94.99,86.69,87.16,63.68,27.35,8.35,62.8461,77.25,70.84,10.01,8.34,20.02,0,TRADE,1
2026-05-08,20260508,688418,688418.SH,震有科技,75.72,75.72,0.0,100.0,96.88,76.5,92.75,62.95,23.44,8.25,50.7626,76.72,91.6,54.2,48.67,11.36,0,TRADE,1
2026-05-08,20260508,300397,300397.SZ,天和防务,76.89,76.89,0.0,100.0,91.74,93.81,83.91,73.1,18.83,8.8,46.7204,74.92,81.32,13.88,12.02,15.47,0,TRADE,1
2026-05-08,20260508,002747,002747.SZ,埃斯顿,78.13,78.13,0.0,100.0,94.84,89.33,83.8,75.96,21.71,8.8,45.9202,74.73,78.2,24.08,20.63,16.72,0,TRADE,1
2026-05-08,20260508,002448,002448.SZ,中原内配,55.97,55.97,0.0,100.0,43.85,75.91,73.72,86.27,23.21,9.55,66.1836,74.65,78.09,16.3,16.14,0.99,0,,1
2026-05-08,20260508,603010,603010.SH,万盛股份,72.07,72.07,0.0,100.0,99.2,93.5,87.66,4.74,17.43,9.05,53.406,74.62,51.94,15.0,11.61,29.2,0,WATCH,1
2026-05-08,20260508,600584,600584.SH,长电科技,73.93,73.93,0.0,100.0,94.6,84.5,89.02,32.5,29.46,8.05,57.6582,74.6,68.64,50.75,41.91,21.09,0,WATCH,1
2026-05-08,20260508,300833,300833.SZ,浩洋股份,61.39,61.39,0.0,100.0,90.12,29.12,78.7,48.93,7.17,9.05,52.4473,74.2,84.22,38.98,34.1,14.31,0,WATCH,1
2026-05-08,20260508,603025,603025.SH,大豪科技,75.63,75.63,0.0,100.0,87.95,85.03,85.29,76.94,19.84,7.55,59.0525,73.46,75.1,17.14,14.53,17.96,0,TRADE,1
2026-05-08,20260508,300671,300671.SZ,富满微,75.94,75.94,0.0,100.0,99.2,93.96,92.88,29.64,25.87,8.9,45.9294,73.04,45.79,53.8,40.7,32.19,0,TRADE,1
2026-05-08,20260508,688017,688017.SH,绿的谐波,74.86,74.86,0.0,100.0,99.2,95.83,93.98,19.78,27.88,7.85,53.6235,72.42,51.8,262.99,203.45,29.27,0,WATCH,1
2026-05-08,20260508,600143,600143.SH,金发科技,76.96,76.96,0.0,100.0,90.19,93.59,67.0,89.66,26.22,7.8,54.7996,72.38,91.75,18.07,17.15,5.36,0,TRADE,1
2026-05-08,20260508,301525,301525.SZ,儒竞科技,62.69,62.69,0.0,100.0,94.4,98.7,73.47,49.34,11.56,8.35,55.4733,71.56,75.0,78.3,78.3,0.0,0,WATCH,1
2026-05-08,20260508,300339,300339.SZ,润和软件,76.15,76.15,0.0,100.0,88.47,83.79,85.7,75.16,28.01,7.35,50.4738,71.14,77.67,47.8,40.88,16.93,0,TRADE,1
2026-05-08,20260508,300056,300056.SZ,中创环保,68.77,68.77,0.0,100.0,94.0,29.12,95.45,68.78,19.22,9.2,39.1247,71.04,43.27,12.26,9.19,33.41,0,WATCH,1
2026-05-08,20260508,002669,002669.SZ,康达新材,49.29,49.29,0.0,100.0,43.85,96.75,68.09,12.74,14.94,9.35,59.7475,70.29,75.0,14.35,14.35,0.0,0,,1
2026-05-08,20260508,300503,300503.SZ,昊志机电,73.34,73.34,0.0,100.0,87.9,86.89,89.2,37.29,27.75,7.7,54.8215,70.27,46.92,68.49,52.03,31.64,0,WATCH,1
2026-05-08,20260508,301359,301359.SZ,东南电子,54.76,54.76,0.0,100.0,43.85,29.12,81.4,73.69,3.7,8.65,53.201,70.06,81.92,23.99,20.82,15.23,0,,1
2026-05-08,20260508,001337,001337.SZ,四川黄金,53.47,53.47,0.0,100.0,43.85,29.12,86.25,34.34,25.11,8.25,56.0934,69.93,80.03,59.19,51.03,15.99,0,,1
2026-05-08,20260508,300166,300166.SZ,东方国信,56.67,56.67,0.0,100.0,43.85,61.62,89.53,13.17,29.28,7.95,52.1143,69.89,88.84,19.35,18.53,4.43,0,,1
2026-05-08,20260508,601778,601778.SH,晶科科技,53.57,53.57,0.0,100.0,43.85,29.12,96.38,20.22,29.52,8.05,56.9778,69.64,65.63,7.39,6.03,22.55,0,,1
2026-05-08,20260508,002965,002965.SZ,祥鑫科技,50.78,70.78,20.0,100.0,99.2,96.24,84.39,2.72,17.13,9.65,55.6655,69.6,94.95,34.93,31.75,10.02,1,,1
2026-05-08,20260508,000810,000810.SZ,创维数字,62.33,62.33,0.0,100.0,43.85,60.85,77.76,89.99,19.74,8.15,51.8391,69.52,89.03,12.97,11.54,12.39,0,WATCH,1
2026-05-08,20260508,300943,300943.SZ,春晖智控,43.87,43.87,0.0,0.0,43.85,82.04,84.76,61.29,22.11,8.35,56.0985,69.45,88.84,32.75,31.36,4.43,0,,1
2026-05-08,20260508,600336,600336.SH,澳柯玛,72.26,72.26,0.0,100.0,96.22,89.09,77.4,36.49,7.74,7.85,44.1668,69.35,75.0,8.18,8.18,0.0,0,WATCH,1
2026-05-08,20260508,002153,002153.SZ,石基信息,77.56,77.56,0.0,100.0,96.05,92.42,70.05,84.02,18.69,7.4,39.8979,68.85,97.33,10.7,9.81,9.07,0,TRADE,1
2026-05-08,20260508,300676,300676.SZ,华大基因,70.95,70.95,0.0,100.0,95.96,97.54,56.61,49.38,18.89,8.05,44.2765,68.82,96.72,43.08,40.28,6.95,0,WATCH,1
2026-05-08,20260508,300751,300751.SZ,迈为股份,54.69,54.69,0.0,100.0,43.85,29.12,85.6,39.86,29.09,8.15,49.1345,68.76,87.95,269.51,238.88,12.82,0,,1
2026-05-08,20260508,300454,300454.SZ,深信服,64.0,64.0,0.0,100.0,43.85,86.21,87.75,43.55,28.21,7.35,53.8678,68.58,81.1,123.52,106.89,15.56,0,WATCH,1
2026-05-08,20260508,603706,603706.SH,东方环宇,60.68,60.68,0.0,100.0,87.73,29.12,72.68,59.82,1.83,7.15,52.1399,68.5,96.25,22.25,20.32,9.5,0,WATCH,1
2026-05-08,20260508,300221,300221.SZ,银禧科技,63.27,63.27,0.0,100.0,43.85,73.03,79.29,83.47,17.55,7.2,56.2171,68.34,91.1,11.68,10.47,11.56,0,WATCH,1
2026-05-08,20260508,601061,601061.SH,中信金属,56.75,56.75,0.0,100.0,43.85,29.12,88.19,69.35,20.59,7.65,57.0331,68.29,71.52,14.65,12.24,19.69,0,,1
2026-05-08,20260508,002843,002843.SZ,泰嘉股份,57.33,57.33,0.0,100.0,43.85,29.12,87.33,78.19,25.86,7.25,52.0513,68.09,94.4,27.56,25.0,10.24,0,,1
2026-05-08,20260508,600546,600546.SH,山煤国际,50.95,50.95,0.0,100.0,43.85,29.12,78.48,22.02,23.09,7.4,61.8911,67.9,86.25,13.45,11.85,13.5,0,,1
2026-05-08,20260508,603989,603989.SH,艾华集团,53.82,53.82,0.0,100.0,43.85,29.12,78.2,53.93,16.26,7.9,58.9988,67.63,71.85,21.05,17.61,19.53,0,,1
2026-05-08,20260508,603307,603307.SH,扬州金泉,51.04,51.04,0.0,100.0,43.85,29.12,77.89,47.04,0.99,7.9,56.4981,67.63,82.75,45.19,39.33,14.9,0,,1
2026-05-08,20260508,300693,300693.SZ,盛弘股份,40.85,40.85,0.0,0.0,43.85,72.64,80.72,48.86,26.92,7.6,63.2544,67.41,83.72,53.11,51.67,2.79,0,,1
2026-05-08,20260508,300424,300424.SZ,航新科技,63.64,63.64,0.0,100.0,43.85,87.83,73.19,65.13,16.48,7.6,47.584,66.94,95.22,19.07,17.35,9.91,0,WATCH,1
2026-05-08,20260508,000738,000738.SZ,航发控制,53.17,53.17,0.0,0.0,96.84,97.28,64.36,53.91,24.3,7.4,51.3174,66.81,93.09,23.03,21.77,5.79,0,,1
2026-05-08,20260508,688169,688169.SH,石头科技,63.47,63.47,0.0,100.0,43.85,86.85,44.25,76.63,25.52,8.3,58.8834,66.57,86.0,120.87,116.76,3.52,0,WATCH,1
2026-05-08,20260508,300407,300407.SZ,凯发电气,66.49,66.49,0.0,100.0,43.85,89.04,59.42,91.54,11.31,7.55,56.8517,66.49,85.44,13.62,13.18,3.34,0,WATCH,1
2026-05-08,20260508,300628,300628.SZ,亿联网络,55.61,55.61,0.0,100.0,43.85,61.35,66.1,93.41,21.54,7.05,59.3662,66.43,99.85,37.42,34.63,8.06,0,,1
2026-05-08,20260508,000021,000021.SZ,深科技,52.37,52.37,0.0,100.0,43.85,29.12,77.86,29.67,28.87,7.0,56.2644,66.32,95.28,31.02,29.13,6.49,0,,1
2026-05-08,20260508,600694,600694.SH,大商股份,52.62,52.62,0.0,100.0,43.85,29.12,54.17,72.49,6.24,8.1,53.9338,65.61,96.16,17.97,16.83,6.77,0,,1
2026-05-08,20260508,600058,600058.SH,五矿发展,67.77,67.77,0.0,100.0,93.54,91.61,53.42,16.32,13.36,8.05,38.7238,65.57,88.84,11.78,11.28,4.43,0,WATCH,1
2026-05-08,20260508,688063,688063.SH,派能科技,56.74,56.74,0.0,100.0,43.85,64.52,69.74,12.91,26.59,7.75,55.0936,65.55,73.6,77.84,78.06,-0.28,0,,1
