sample_split,event_date,event_date_key,event_uid,symbol,ts_code,name,event_seq_for_symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,industry,fund_pe_ttm,fund_pb,fund_roe,fund_netprofit_yoy,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,dynamic_trade_threshold,dynamic_watch_threshold,bs_threshold_version,bs_threshold_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,pool_type_shadow,pool_type_shadow_reason,is_self_selected,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_bs_ratio,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_regime,adc_ret_5,adc_ret_20,adc_ret_60,adc_vol_20,adc_vol_60,adc_amt_ma20,adc_turnover_rate,adc_pe_ttm,adc_pb,adc_total_mv,adc_circ_mv,adc_roe,adc_grossprofit_margin,adc_debt_to_assets,adc_industry_code,adc_hma_slope,adc_rsi_14,adc_boll_width,adc_boll_upper,adc_boll_mid,adc_boll_lower,adc_main_net_ratio,adc_main_net_ma5,adc_vol_price_corr,adc_rz_buy_intensity,adc_rq_pressure_factor,adc_turnover_spike,adc_profit_ratio,adc_profit_pressure,adc_support_strength,adc_chip_peak_cross,adc_amihud_20,adc_turnover_vol_20,adc_vol_concentration,adc_bid_ask_spread,adc_downside_vol_60,adc_max_drawdown_60,adc_tech_score,adc_capital_score,adc_sentiment_score,adc_chip_score,adc_total_score,adc_score_rank,adc_macd_qfq,adc_macd_dif_qfq,adc_macd_dea_qfq,adc_kdj_qfq,adc_kdj_k_qfq,adc_kdj_d_qfq,adc_rsi_qfq_6,adc_rsi_qfq_12,adc_rsi_qfq_24,adc_boll_upper_qfq,adc_boll_mid_qfq,adc_boll_lower_qfq,adc_cci_qfq,adc_atr_qfq,adc_mfi_qfq,adc_mtm_qfq,adc_obv_qfq,adc_roc_qfq,adc_wr_qfq,adc_dmi_adx_qfq,adc_dmi_pdi_qfq,adc_dmi_mdi_qfq,adc_ma_qfq_5,adc_ma_qfq_10,adc_ma_qfq_20,adc_ma_qfq_60,adc_ma_qfq_250,adc_updays,adc_downdays,adc_lowdays,adc_topdays,adc_volume_ratio,adc_turnover_rate_f,adc_amount,adc_pct_chg,adc_signal_strength,adc_signal_quality_score,adc_confirmation_required_flag,adc_execution_ready_flag,adc_trend_context_score,adc_volume_confirm_score,adc_signal_price_confirm_flag,adc_signal_volume_confirm_flag,adc_signal_kdj_confirm_flag,adc_secondary_indicator_score,adc_signal_geometry_score,adc_trend_alignment_score,adc_price_confirmation_score,adc_volume_confirmation_detail_score,adc_volatility_penalty_score,adc_plate_confirm_flag,adc_plate_mainline_score,adc_plate_sentiment_score,adc_entry_signal_confidence,adc_exit_signal_confidence,adc_close_vs_ma20,adc_close_vs_ma60,adc_ma20_vs_ma60,adc_boll_position,adc_main_net_accel,adc_leverage_balance,adc_capital_leverage_resonance,adc_capital_short_pressure,adc_financing_turnover_resonance,adc_score_momentum_gap,split_hit_1_10pct,split_hit_3_10pct,split_hit_5_10pct,split_hit_10_10pct,split_hit_20_10pct,split_hit_60_10pct,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20,ret_60,max_ret_60,mdd_60,hit_60_5pct,hit_60_10pct,days_to_10pct_within_60
train,2025-08-11,20250811,20250811_000011_01,000011,000011.SZ,深物业A,1,当天出现买点,当天无卖点,3,3,1,0,2025-08-16 20:59:27,45.44,45.44,0.0,0.0,99.37,98.81,67.48,3.06,3.16,9.15,8.0,8.0,8.0,8.0,8.0,8.0,8.0,52.7915,房产服务,,,,,19.62,9.84,5.71,9.0,4.62,4.0,62.05,75.0,观察,44.23,剔除,23.37,回避,流动性偏弱；涨停可买性不足,21.32,0,过滤,涨停可买性不足；流动性低于门槛,,,,,,14.67,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,9.56,9.56,0.0,1,,,,1,-46.06,-7.3515000000000015,38.7085,24.74508747374584,14.602629900124155,99.174,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.127358,0.085131,0.136742,,,,4.6977,,1.6925,569756.012,503310.6191,0.1488,25.8386,79.8098,房产服务,0.100115,77.108,0.101889,9.18,8.735,8.29,0.214312,1115.038,-1.0,,,,94.11,932.1,0.0,0.182857,1.65e-07,2.509693,4.017109,0.088476,0.80131,0.0,86.776329,0.0,0.0,16.671209,37.211213,41.0,0.091,0.073,0.027,99.09333,66.04517,49.52109,87.725,77.108,67.716,9.18,8.735,8.29,260.52773,0.209,74.83813,0.71,6237.4659,8.0226,0.0,34.52827,37.1517,15.47988,8.816,8.714,8.735,8.6048,8.6052,1.0,0.0,0.0,157.0,4.22,13.2239,228825.39,10.0115,100.0,98.806485,0.0,1.0,100.0,100.0,1.0,1.0,0.0,16.0,96.166856,84.0,76.0,88.0,15.0575,0.0,,,,,0.009273039496279485,0.024544440312383974,0.015131089624395725,0.5910112359550576,-1114.823688,,,,,70.10512,train,train,train,train,train,train,0.100418,0.100418,0.0,1.0,1.0,1.0,0.077406,0.100418,0.0,1.0,1.0,1.0,0.064854,0.100418,0.0,1.0,1.0,1.0,-0.002092,0.100418,-0.01569,1.0,1.0,1.0,-0.046025,0.100418,-0.07636,1.0,1.0,1.0,0.074268,0.182008,-0.07636,1.0,1.0,1.0
train,2025-08-11,20250811,20250811_000021_01,000021,000021.SZ,深科技,1,当天出现买点,当天无卖点,4,4,1,0,2025-08-16 21:19:27,42.13,42.13,0.0,0.0,44.87,90.99,39.96,23.26,25.76,7.075,4.0,4.0,4.0,4.0,4.0,4.0,4.0,52.0631,元器件,,,,,12.78,13.28,8.18,10.0,6.82,1.0,56.3,75.0,等待,49.07,剔除,42.7,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,40.93,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,18.95,18.95,0.0,0,,,,1,-28.619999999999997,-9.933099999999996,18.6869,14.531409126555253,32.08379029977599,61.01199999999999,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.023771,0.031012,0.048322,,,,2.9137,29.9481,2.494,2957313.4793,2956963.8518,1.4891,16.2378,48.1607,元器件,0.024878,58.184,0.039878,19.055,18.682,18.31,0.042304,-1081.018,1.0,-0.012022,0.007535,1.542454,85.27,843.7,0.0,0.119435,1.69e-08,0.768011,1.477924,0.032996,0.636785,0.006813,70.562585,0.0,0.0,28.872883,32.555967,432.0,-0.054,0.126,0.153,68.80855,57.09603,51.23978,62.584,58.184,55.87,19.055,18.682,18.31,73.09487,0.3515,62.77577,0.26,17318.9522,1.39112,20.0,10.27041,24.41406,17.38281,18.7,18.682,18.6825,18.0295,17.8145,1.0,0.0,0.0,8.0,1.94,4.4494,857917.64,2.4878,72.60813,67.028348,1.0,1.0,73.42048,91.48292,1.0,1.0,1.0,28.0,67.259382,71.42048,62.47804,88.0,6.0,0.0,,,,,0.0009367054730361725,0.03718905127707372,0.03621841981197495,0.5234899328859061,1081.060304,-0.019556999999999998,-0.000508578688,0.034769,-0.018543381988,41.689702,train,train,train,train,train,train,0.023747,0.023747,0.0,0.0,0.0,,0.007916,0.023747,0.0,0.0,0.0,,0.046966,0.046966,0.0,0.0,0.0,,0.113456,0.131398,0.0,1.0,1.0,6.0,0.080739,0.165172,0.0,1.0,1.0,6.0,0.397889,0.673879,0.0,1.0,1.0,6.0
train,2025-08-11,20250811,20250811_000025_01,000025,000025.SZ,特力Ａ,1,当天出现买点,当天无卖点,2,2,1,0,2025-08-16 20:00:06,43.76,43.76,0.0,0.0,90.74,98.93,28.03,5.99,11.55,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,50.5965,综合类,,,,,13.67,8.02,11.58,8.0,8.33,1.0,57.65,75.0,等待,46.23,剔除,32.8,回避,流动性偏弱,83.1,0,过滤,流动性低于门槛,,,,,,21.5,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,17.63,17.63,0.0,0,,,,1,-30.240000000000002,-6.836500000000001,23.4035,15.858326648273247,17.9929569554312,93.60650000000001,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.033411,0.011474,0.017006,,,,5.9394,56.0397,4.4235,759955.8182,692468.1782,1.9626,20.1342,25.119,综合类,0.033411,63.299,0.04171,17.597,17.238,16.878,0.030408,217.188,1.0,0.028398,0.002305,3.660599,81.23,803.3,0.0,0.090344,4.93e-08,2.544469,3.241741,0.045546,1.04319,0.050108,68.168192,0.0,0.0,35.016547,32.519759,441.0,0.061,-0.036,-0.066,81.08601,54.73701,41.56251,76.055,63.299,54.482,17.597,17.238,16.878,115.90414,0.249,63.37549,0.16,3557.1764,0.91586,12.5,29.66147,23.0137,16.43836,17.204,17.127,17.2375,17.4967,16.6047,1.0,0.0,0.0,38.0,4.23,14.6139,407600.02,3.3411,100.0,92.279227,0.0,1.0,97.08576,92.67754,1.0,1.0,0.0,16.0,81.83215,84.0,64.01398,88.0,0.0,0.0,,,,,-0.0019434372733865169,-0.01672886887241594,-0.014814222110455107,0.45340751043115435,-217.157592,0.026092999999999998,0.000863526384,0.028103,0.10395369040199999,33.151645,train,train,train,train,train,train,0.0346,0.0346,0.0,0.0,0.0,,-0.009075,0.0346,-0.009075,0.0,0.0,,0.001134,0.0346,-0.009075,0.0,0.0,,0.032898,0.0346,-0.009075,0.0,0.0,,0.057289,0.057289,-0.009075,1.0,0.0,,0.047079,0.086217,-0.017016,1.0,0.0,
train,2025-08-11,20250811,20250811_000529_01,000529,000529.SZ,广弘控股,1,当天出现买点,当天无卖点,5,3,1,0,2025-08-16 19:36:33,36.85,36.85,0.0,0.0,44.87,54.77,21.9,70.44,1.1,5.8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,42.9092,食品,,,,,8.99,15.74,5.23,10.0,0.44,2.5,46.68,75.0,等待,34.66,剔除,17.27,回避,流动性偏弱,65.0,0,过滤,流动性低于门槛,,,,,,7.36,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,6.34,6.34,0.0,0,,,,1,-21.15,-6.059199999999997,15.090800000000002,10.891653144189513,4.90815647672321,48.334999999999994,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.020934,0.0,0.032624,,,,1.0755,30.3357,1.1877,370123.0692,361306.695,0.4378,6.4467,49.7054,食品,0.007949,58.286,0.044522,6.429,6.289,6.149,0.024167,-75.718,1.0,,,,93.47,925.7,0.0,0.097561,2.135e-07,0.384916,1.109908,0.017391,0.771434,0.009375,52.916099,0.0,0.0,33.646097,26.213354,1801.0,-0.017,0.024,0.033,80.68638,58.04461,46.72373,64.498,58.286,56.531,6.429,6.289,6.149,50.55556,0.107,40.92433,-0.04,4128.2715,-0.62696,24.138,9.42337,17.48252,18.88112,6.27,6.248,6.289,6.1339,5.8205,3.0,0.0,0.0,9.0,1.11,2.4272,38795.96,0.7949,,,,,,,,,,,,,,,,,,,,,-0.003021148036253797,0.02218816739757738,0.02528570729878218,0.43214285714285516,75.74216700000001,,,,,19.270002000000005,train,train,train,train,train,train,-0.003155,0.0,-0.003155,0.0,0.0,,-0.029968,0.0,-0.029968,0.0,0.0,,-0.028391,0.0,-0.031546,0.0,0.0,,-0.011041,0.0,-0.031546,0.0,0.0,,0.009464,0.009464,-0.031546,0.0,0.0,,-0.015773,0.033123,-0.069401,0.0,0.0,
train,2025-08-11,20250811,20250811_000596_01,000596,000596.SZ,古井贡酒,1,当天出现买点,当天无卖点,3,0,1,0,2025-08-16 19:32:31,36.17,36.17,0.0,0.0,44.87,98.6,59.48,13.49,24.3,6.775,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.6469,白酒,,,,,14.23,12.96,17.16,8.0,5.8,2.5,59.58,75.0,观察,52.37,剔除,46.6,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,44.62,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,147.86,147.86,0.0,0,,,,1,-31.58,-24.4769,7.103099999999998,16.567382931632057,38.017943132158,63.6755,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.078257,0.065495,-0.120821,,,,1.8299,13.4169,3.2566,7756676.4,5995796.4,9.1155,79.684,35.8716,白酒,0.062102,64.956,0.095725,145.874,139.211,132.548,0.103829,2234.528,1.0,-0.031598,0.005203,2.545136,60.36,594.6,0.0,0.535091,2.91e-08,1.083752,2.335995,0.068579,1.040053,0.103037,63.998443,0.0,0.0,0.840958,25.725521,1921.0,0.473,0.663,0.426,79.99466,53.88054,40.82349,74.118,64.956,56.555,145.874,139.211,132.548,81.27592,3.30274,55.5775,-0.05954,1585.4224,-0.04087,8.281,13.78384,35.56786,24.35424,139.5806,138.6587,139.211,138.2902,161.4023,1.0,0.0,0.0,11.0,3.43,5.4499,1077499.52,6.2102,100.0,98.298324,0.0,1.0,100.0,96.69428,1.0,1.0,0.0,16.0,95.139942,84.0,69.17836,88.0,4.0,0.0,,,,,0.002654962610713171,0.009331102276227856,0.0066584616986598765,0.5277352543899149,-2234.4241709999997,-0.036801,-0.0032807887420000003,0.098626,-0.080421207328,63.157485,train,train,train,train,train,train,-0.003135,0.0,-0.003135,0.0,0.0,,-0.003816,0.0,-0.007224,0.0,0.0,,0.011517,0.011517,-0.007224,0.0,0.0,,0.186998,0.186998,-0.007224,1.0,1.0,9.0,0.151697,0.186998,-0.007224,1.0,1.0,9.0,0.117623,0.188292,-0.007224,1.0,1.0,9.0
train,2025-08-11,20250811,20250811_000739_01,000739,000739.SZ,普洛药业,1,当天出现买点,当天无卖点,2,1,1,0,2025-08-16 20:38:36,50.43,50.43,0.0,100.0,44.87,96.91,82.0,5.51,20.77,8.775,6.0,6.0,6.0,6.0,6.0,6.0,6.0,62.8632,化学制药,,,,,18.78,13.97,11.74,9.0,5.37,4.0,71.65,75.0,可交易,58.82,观察,57.28,回避,V2评分较好；相对强弱靠前,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,57.82,谨慎观察,V2观察以上,72.0,58.0,dynamic_v1,neutral_no_adjustment,17.33,17.33,0.0,0,WATCH,,,1,-37.32,-12.4332,24.8868,19.00315621363988,41.269116782407636,63.08399999999999,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.040349,0.141693,0.164117,,,,2.6661,18.7417,3.0218,1941551.4334,1940822.0868,3.6198,24.0153,44.9303,化学制药,0.068196,70.667,0.152391,16.56,15.388,14.215,0.154376,248.592,1.0,-0.04029,0.005422,1.778867,95.81,949.1,0.0,0.211221,4.44e-08,1.456479,1.671547,0.073394,0.625499,0.0,83.977029,0.0,0.0,12.497567,35.465447,94.0,-0.028,0.404,0.419,51.8952,47.74053,45.6632,74.694,70.667,67.092,16.56,15.388,14.215,125.01125,0.47814,52.08726,0.95923,6689.6559,6.21039,13.194,41.6397,35.47558,13.62468,15.6648,15.7949,15.3878,14.3639,14.6599,2.0,0.0,0.0,104.0,2.42,5.4539,506865.07,6.8196,75.038668,74.230115,1.0,1.0,88.63136,97.54744,1.0,1.0,1.0,28.0,77.034135,74.0,70.27528,88.0,6.0,0.0,,,,,0.018001273736336528,0.09056732503011024,0.07128286885873622,0.6182515991471217,-248.437624,-0.045712,-0.0062198090400000005,0.148954,-0.07167055142999999,71.479462,train,train,train,train,train,train,-0.016112,0.0,-0.016112,0.0,0.0,,-0.031024,0.0,-0.031024,0.0,0.0,,-0.014918,0.0,-0.031024,0.0,0.0,,-0.006565,0.0,-0.031024,0.0,0.0,,-0.032218,0.0,-0.056683,0.0,0.0,,-0.091278,0.0,-0.122816,0.0,0.0,
train,2025-08-11,20250811,20250811_000821_01,000821,000821.SZ,ST京机,1,当天出现买点,当天无卖点,2,2,1,0,2025-08-16 21:23:47,13.9,38.9,25.0,0.0,44.87,94.82,23.86,33.9,14.82,7.4,8.0,8.0,8.0,8.0,8.0,8.0,8.0,56.6657,电气设备,,,,,13.34,16.56,8.21,10.0,7.55,1.0,51.77,75.0,等待,32.44,剔除,20.91,回避,流动性偏弱,74.64,0,过滤,流动性低于门槛；基础评分存在惩罚项,,,,,,8.95,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,12.14,12.14,0.0,0,,,,1,-60.1,-42.7657,17.3343,30.93378156907644,18.804393103740413,62.35249999999999,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.033191,0.004136,0.07545,,,,4.1631,19.1881,1.8464,756169.9805,734046.0275,2.3334,19.1473,69.1152,电气设备,0.025338,59.155,0.054632,12.242,11.916,11.591,0.070366,247.726,1.0,0.036253,0.001351,1.908829,79.27,783.7,0.0,0.117548,6.7e-08,0.79489,1.821684,0.038206,0.539252,0.007359,67.765233,0.0,0.0,29.308935,31.502433,611.0,-0.039,0.052,0.072,80.96105,57.19858,45.31735,66.126,59.155,56.375,12.242,11.916,11.591,83.39587,0.263,56.15315,0.0,10664.456,0.0,16.667,12.7766,19.48052,18.18182,11.862,11.817,11.9165,11.4817,12.0391,2.0,0.0,0.0,10.0,2.22,5.413,303791.33,2.5338,,,,,,,,,,,,,,,,,,,,,-0.0045734905383291325,0.0331222728341622,0.03786895668759845,0.41628264208909393,-247.655634,0.034902,0.002550978598,0.06901499999999999,0.06920077773700001,38.45629799999999,train,train,train,train,train,train,-0.00659,0.0,-0.00659,0.0,0.0,,-0.028007,0.0,-0.028007,0.0,0.0,,0.002471,0.002471,-0.028007,0.0,0.0,,0.00659,0.009885,-0.028007,0.0,0.0,,0.178748,0.178748,-0.028007,1.0,1.0,19.0,0.167216,0.178748,-0.028007,1.0,1.0,19.0
train,2025-08-11,20250811,20250811_000831_01,000831,000831.SZ,中国稀土,1,当天出现买点,当天无卖点,5,6,1,0,2025-08-16 19:41:57,56.01,56.01,0.0,100.0,44.87,65.36,71.66,67.65,29.82,7.35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,48.1539,小金属,,,,,18.97,1.28,7.75,10.0,9.17,1.0,62.98,75.0,观察,58.33,观察,63.75,普通观察,V2与强势流动性共振；相对强弱靠前,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,61.85,谨慎观察,研究建议通过；V2观察以上,72.0,58.0,dynamic_v1,neutral_no_adjustment,42.91,42.91,0.0,0,WATCH,,,1,-17.490000000000002,7.856099999999998,25.3461,12.97461105659819,46.22662868953348,52.0415,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.042011,0.097723,0.265782,,,,6.2186,611.4705,9.653,4553698.4828,4553698.4828,1.5517,9.7737,7.6365,小金属,0.016825,59.514,0.219136,46.213,41.65,37.086,0.047175,311.306,1.0,0.02506,0.008339,0.84212,71.33,704.3,0.0,0.171265,6.6e-09,4.960041,1.325201,0.066386,1.010618,0.064938,46.599182,0.0,0.0,18.501071,21.414834,3117.0,-0.462,1.324,1.555,41.78485,39.11425,37.77895,59.64,59.514,59.827,46.213,41.65,37.086,10.14233,2.0585,62.5859,0.32,18484.926,0.75135,53.734,27.69981,27.65599,15.3457,42.078,42.359,41.6495,37.3615,30.9388,1.0,0.0,0.0,7.0,1.25,10.0359,2824102.65,1.6825,70.66765,62.906091,1.0,0.0,78.192,57.565089,1.0,0.0,1.0,20.0,73.18471,74.0,61.0285,55.608388,6.0,0.0,,,,,0.01028823875436679,0.12623957817539455,0.11477055257417405,0.5469486140024108,-311.258825,0.016721,0.0011822055,0.038836,0.0211035272,28.098111,train,train,train,train,train,train,-0.041016,0.0,-0.041016,0.0,0.0,,-0.036588,0.0,-0.041016,0.0,0.0,,0.047308,0.047308,-0.041016,0.0,0.0,,0.175017,0.175017,-0.041016,1.0,1.0,8.0,0.225821,0.434631,-0.041016,1.0,1.0,8.0,0.113493,0.434631,-0.041016,1.0,1.0,8.0
train,2025-08-11,20250811,20250811_002035_01,002035,002035.SZ,华帝股份,1,当天出现买点,当天无卖点,2,3,1,0,2025-08-16 19:46:16,32.45,32.45,0.0,0.0,44.87,23.57,26.7,63.43,4.37,6.825,8.0,8.0,8.0,8.0,8.0,8.0,8.0,52.3163,家用电器,,,,,6.66,17.94,14.78,8.0,2.43,2.5,52.17,75.0,等待,36.36,剔除,20.27,回避,流动性偏弱,68.74,0,过滤,流动性低于门槛,,,,,,9.9,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,6.65,6.65,0.0,0,,,,1,-35.8,-19.866299999999995,15.933700000000002,17.935963273917945,10.801805404653427,37.415,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.025075,0.009262,-0.048443,,,,0.9236,11.8729,1.5245,554365.4662,510462.0695,2.7733,42.1088,45.5489,家用电器,0.006145,58.625,0.04292,6.521,6.384,6.247,0.086518,129.54,1.0,-0.027728,0.0043,0.732963,83.55,826.5,0.0,0.125392,9.86e-08,0.440406,1.164874,0.010744,0.672027,0.062705,51.683862,0.0,0.0,27.60366,24.814094,2157.0,-0.013,0.03,0.037,65.87643,51.01634,43.58629,62.512,58.625,55.858,6.521,6.384,6.247,21.17647,0.08756,57.7019,-0.05903,3861.3048,-0.90909,32.143,10.85277,28.125,21.875,6.3814,6.3725,6.3843,6.2513,6.5934,2.0,0.0,0.0,7.0,0.83,1.1528,47035.25,0.6154,,,,,,,,,,,,,,,,,,,,,-0.0004542393057969486,0.02081167117239623,0.021275574680466466,0.49051094890511054,-129.45348199999998,-0.032028,-0.0023989711039999998,0.082218,-0.020323598064,24.080201999999996,train,train,train,train,train,train,0.0,0.0,0.0,0.0,0.0,,-0.019873,0.0,-0.019873,0.0,0.0,,0.0,0.0,-0.019873,0.0,0.0,,0.016819,0.016819,-0.019873,0.0,0.0,,-0.013765,0.022942,-0.032104,0.0,0.0,,-0.007642,0.022942,-0.047403,0.0,0.0,
train,2025-08-11,20250811,20250811_002183_01,002183,002183.SZ,怡亚通,1,当天出现买点,当天无卖点,4,2,1,0,2025-08-16 20:42:42,42.26,42.26,0.0,0.0,44.87,92.33,15.1,61.17,15.78,5.375,6.0,6.0,6.0,6.0,6.0,6.0,6.0,41.1126,仓储物流,,,,,10.0,13.53,2.94,8.0,5.64,1.0,44.75,75.0,等待,41.21,剔除,24.56,回避,流动性偏弱,91.56,0,观察,流动性低于门槛,,,,,,22.39,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,4.65,4.65,0.0,0,,,,1,-11.490000000000002,1.1473999999999975,12.6374,6.988568111804688,15.436256022753703,61.480999999999995,0,0,0.4274,0.01272711590823028,0.0260954377562026,5138.0,25.0,0.004865706500583885,0.0177,47.35731,46.525292,35.752433,0.0,neutral,0.031042,-0.016913,-0.045312,,,,2.396,112.5245,1.3102,1207609.2273,1207602.2523,0.2392,4.1439,81.366,仓储物流,0.015284,57.495,0.05628,4.731,4.602,4.472,-0.011577,362.986,1.0,-0.02974,0.008965,1.536518,78.1,772.0,0.0,0.124481,4.69e-08,0.703455,1.607268,0.034483,0.633089,0.058876,61.240023,0.0,0.0,27.798326,28.665758,1187.0,-0.001,-0.004,-0.003,79.38838,52.46499,39.00329,68.259,57.495,52.696,4.731,4.602,4.472,67.21992,0.0925,55.44164,-0.07,9564.2558,-1.48305,25.926,11.03577,22.76423,17.88618,4.576,4.551,4.6015,4.5618,4.421,2.0,0.0,0.0,10.0,2.12,3.5937,289036.94,1.5284,,,,,,,,,,,,,,,,,,,,,-0.00554167119417583,0.003112806348371206,0.008702705072559044,0.4015444015443993,-362.997577,-0.038705,0.00034429998,-0.020542,-0.04569604532,33.441697000000005,train,train,train,train,train,train,-0.002151,0.0,-0.002151,0.0,0.0,,-0.021505,0.002151,-0.021505,0.0,0.0,,0.002151,0.002151,-0.021505,0.0,0.0,,0.03871,0.03871,-0.021505,0.0,0.0,,0.034409,0.045161,-0.021505,0.0,0.0,,0.141935,0.298925,-0.021505,1.0,1.0,25.0
