column,valid_rows,valid_dates,row_coverage,date_coverage
score,239826,44,1.0,1.0
score_liq_breakout_adj,239826,44,1.0,1.0
liquidity_detail_score,239826,44,1.0,1.0
s_liquidity,239826,44,1.0,1.0
s_breakout,239826,44,1.0,1.0
s_relative_amount,239826,44,1.0,1.0
s_amount_ratio_5_20,239826,44,1.0,1.0
s_low_impact_cost,239826,44,1.0,1.0
s_amount_stability,239826,44,1.0,1.0
bs_score_v2,239826,44,1.0,1.0
bs_consensus_score,10601,2,0.04420288042163902,0.045454545454545456
bs_model_rank_score,5397,2,0.0225038152660679,0.045454545454545456
