strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
baseline_full_liquidity_industry_cap2,all,0.0,34,2026-02-13,2026-04-22,2.0,0.0,9.135335058323234,9.135335058323234,4.5654917155291415,-0.27187493934411255,0.6470588235294118,0.07760323230368145,0.05126943528435693,0.353586791715077,-0.11432444938141983,52.22999999999999,29.994999999999997,1.0,1.0
baseline_full_liquidity,all,0.0,34,2026-02-13,2026-04-22,5.0,0.029411764705882353,1.5453829851145278,1.5453829851145278,0.9986404732015184,-0.26752279482082675,0.5294117647058824,0.030529072720365372,0.00885384571503901,0.20015173492313557,-0.06642728136997396,48.18582352941175,29.988000000000003,1.0,1.0
baseline_full_liquidity_detail,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.611990403765805,0.611990403765805,0.42459747543495374,-0.4852708238574319,0.5294117647058824,0.017468148112587047,0.015137247809846866,0.15284444078471773,-0.15569378492336852,59.896,29.316823529411767,1.0,1.0
liq_top_20_then_liquidity_detail,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.611990403765805,0.611990403765805,0.42459747543495374,-0.4852708238574319,0.5294117647058824,0.017468148112587047,0.015137247809846866,0.15284444078471773,-0.15569378492336852,59.896,29.316823529411767,1.0,1.0
liq_top_30_then_liquidity_detail,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.611990403765805,0.611990403765805,0.42459747543495374,-0.4852708238574319,0.5294117647058824,0.017468148112587047,0.015137247809846866,0.15284444078471773,-0.15569378492336852,59.896,29.316823529411767,1.0,1.0
liq_top_10_then_liquidity_detail,all,0.0,34,2026-02-13,2026-04-22,5.0,0.3235294117647059,0.5974922073033564,0.5974922073033564,0.4150898419765503,-0.48990028362545257,0.5294117647058824,0.01716675406907513,0.015137247809846866,0.15284444078471773,-0.15569378492336852,59.95582352941177,29.351470588235294,1.0,1.0
tiered_liquidity_then_liquidity_detail,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.5334975122101315,0.5334975122101315,0.37285265119205313,-0.5103346091685073,0.5294117647058824,0.016045275170748417,0.015137247809846866,0.15284444078471773,-0.15569378492336852,59.88794117647059,29.334705882352942,1.0,1.0
baseline_full_score,all,0.0,34,2026-02-13,2026-04-22,5.0,0.35294117647058826,0.3003459162709363,0.3003459162709363,0.2148922777131559,-0.5901765976847734,0.4411764705882353,0.011426019568885941,-0.010921997735326905,0.21531793179926986,-0.1322448186483337,80.98435294117647,23.687705882352944,1.0,1.0
liq_top_10_then_liq_breakout_adj,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,0.7352941176470589,-0.07309051120504129,-0.07309051120504129,-0.05470177338861337,-0.7386308947647341,0.38235294117647056,0.0034671960417241004,-0.014972965950370598,0.25755882965795635,-0.17062041808808684,78.58614705882353,28.623911764705884,1.0,1.0
liq_top_10_then_score,all,0.0,34,2026-02-13,2026-04-22,4.970588235294118,0.7352941176470589,-0.07309051120504129,-0.07309051120504129,-0.05470177338861337,-0.7386308947647341,0.38235294117647056,0.0034671960417241004,-0.014972965950370598,0.25755882965795635,-0.17062041808808684,78.58614705882353,28.623911764705884,1.0,1.0
