strategy,signal_date,entry_date,exit_date,hold_days,rebalance_step,selected_count,max_per_industry,industry_penalty_step,pit_status,risk_note,market_gate,position_mode,symbol,name,industry,industry_key,is_bs_candidate,sort_col,rank_score,score,dynamic_factor_score,score_liq_breakout_adj,liquidity_detail_score,s_breakout,s_liquidity,s_relative_amount,s_amount_ratio_5_20,s_low_impact_cost,s_amount_stability,vol_20,hist_mdd_20,bs_score_v2,bs_consensus_score,bs_model_rank_score,bs_model_prob,bs_model_expected_mdd,pool_type,bs_gate_label,market_amount_ratio_20,market_exposure_scale,position_weight,effective_weight,entry_open,exit_close,gross_ret
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002347,泰尔股份,机械基件,机械基件,1,score,83.02,83.02,97.46019467543348,83.02,83.46893358747738,99.27,26.61,98.85725353476661,98.56672477241914,86.34693482885322,4.804339403332042,0.05185835175101003,0.0,62.6,41.79,34.0891,0.307319,0.1,,过滤,1.3137043587215775,1.0,0.2,0.2,12.41,10.72,-0.1361804995970991
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002969,嘉美包装,广告包装,广告包装,0,score,81.86,81.86,94.9767936569329,81.86,78.28296793919023,98.14,23.48,99.53515398024405,99.845051326748,80.3326242506285,0.42619139868268113,0.04663454196698833,0.0,74.7,64.4,54.1941,0.341985,0.1,,可买,1.3137043587215775,1.0,0.2,0.2,13.7,17.2,0.25547445255474455
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002931,锋龙股份,机械基件,机械基件,0,score,78.98,78.98,81.96673757493716,78.98,40.01831270382939,99.27,18.01,0.07747433662599264,0.01936858415649816,99.835621736608,10.112359550561797,0.06152751409757579,0.0,61.96,29.24,34.1405,0.310841,0.001011,,过滤,1.3137043587215775,1.0,0.2,0.2,38.36,67.97,0.7718978102189782
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300487,蓝晓科技,化工原料,化工原料,0,score,78.82,78.82,86.82878875781603,78.82,55.08350388711565,95.49,21.12,63.974433468913425,26.321905868681,66.02204602591375,2.7702440914374273,0.03118158539167936,0.0,71.61,58.53,50.89,0.299791,0.00534,,可买,1.3137043587215775,1.0,0.2,0.2,64.67,73.5,0.1365393536415649
baseline_full_score,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,score,78.51,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,002985,北摩高科,航空,航空,1,bs_score_v2,71.9,78.51,91.96963836782054,78.51,76.37657569702662,92.46,23.43,81.69668797210925,70.75343792368778,83.7362212338039,56.237892289810155,0.029741981246971787,0.0,71.9,51.87,44.6843,0.281682,-0.003832,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,32.2112,37.1081,0.15202476157361433
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,600682,南京新百,生物制药,生物制药,1,bs_score_v2,68.21,68.16,89.7618126732418,68.16,73.64003583919465,90.39,23.36,80.22467557621538,76.11853573503777,75.3819377296461,37.233630375823324,0.03308253033019183,0.0,68.21,55.07,44.7164,0.294398,0.069576,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,8.95,8.64,-0.034636871508379796
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,688548,广钢气体,化工原料,化工原料,1,bs_score_v2,67.35,74.03,87.49919422419906,74.03,64.3953068706221,95.61,18.15,89.92833623862096,73.34882820065853,61.36143879327016,20.030995738086013,0.027668306097087682,0.0,67.35,47.81,43.6031,0.279427,0.03423,WATCH,观察,1.3137043587215775,1.0,0.2,0.2,15.28,21.5,0.4070680628272252
baseline_b_score_v2,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,600862,中航高科,航空,航空,1,bs_score_v2,66.44,69.28,94.36118094501386,69.28,87.22284846909479,94.93,26.59,95.58396281231842,97.38524113887274,86.69502997485979,50.40681906237893,0.022369430826385126,0.0,66.44,58.92,46.8955,0.292183,-0.044909,WATCH,可买,1.3137043587215775,1.0,0.2,0.2,24.7,26.24,0.06234817813765181
baseline_full_liquidity,2026-01-05,2026-01-06,2026-01-19,10,10,5,,0.0,trusted,uses_signal_date_or_prior_data,0,equal,300308,中际旭创,通信设备,通信设备,0,s_liquidity,30.0,64.73,85.28975697801843,64.73,75.07923132612864,45.1,30.0,38.620956808057336,25.024210730195623,99.65190485399343,86.53622626888803,0.03704397370304848,-0.02546113801653127,62.57,49.15,36.2975,0.344251,-0.512479,,可买,1.3137043587215775,1.0,0.2,0.2,606.7166,606.216,-0.0008250969233410954
