signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,1,300058,蓝色光标,广告包装,99.33604074002449,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,2,603667,五洲新春,机械基件,99.20711661187391,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,3,601698,中国卫通,电信运营,99.1619931670212,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,4,300857,协创数据,IT设备,98.81712112421837,0.2,0.2,0,0
2026-01-05,2026-01-06,baseline_full_dynamic_factor_industry_cap2,5,300136,信维通信,元器件,98.68336234126215,0.2,0.2,0,0
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,1,300223,北京君正,半导体,98.94806366389587,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,2,601698,中国卫通,电信运营,98.67420581223017,0.2,0.0,1,0
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,3,002465,海格通信,通信设备,98.53244410077967,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,4,002131,利欧股份,互联网,98.458341387976,0.2,0.0,0,1
2026-01-06,2026-01-07,baseline_full_dynamic_factor_industry_cap2,5,000792,盐湖股份,农药化肥,97.90418197048777,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,1,002151,北斗星通,通信设备,98.98692178842931,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,2,002413,雷科防务,通信设备,98.70989563200618,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,3,300604,长川科技,半导体,98.58587810849117,0.2,0.0,0,1
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,4,601698,中国卫通,电信运营,98.22832109264269,0.2,0.0,1,0
2026-01-07,2026-01-08,baseline_full_dynamic_factor_industry_cap2,5,002202,金风科技,电气设备,98.14295838165185,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,1,002413,雷科防务,通信设备,99.02538823377793,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,2,002195,岩山科技,软件服务,98.60976867066177,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,3,600435,北方导航,专用机械,98.11199175204587,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,4,688102,斯瑞新材,铜,98.09910432373219,0.2,0.0,0,1
2026-01-08,2026-01-09,baseline_full_dynamic_factor_industry_cap2,5,300337,银邦股份,铝,98.07655132418324,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,1,002792,通宇通讯,通信设备,98.79640371229698,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,2,002202,金风科技,电气设备,98.7174529517917,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,3,002413,雷科防务,通信设备,98.49349059035833,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,4,600879,航天电子,航空,98.47898943026553,0.2,0.0,0,1
2026-01-09,2026-01-12,baseline_full_dynamic_factor_industry_cap2,5,601611,中国核建,建筑工程,98.30819798917247,0.2,0.0,0,1
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,1,300418,昆仑万维,互联网,98.47415571023458,0.2,0.2,0,0
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,2,688122,西部超导,小金属,98.39359370971898,0.2,0.2,0,0
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,3,300442,润泽科技,软件服务,98.08745810775973,0.2,0.2,0,0
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,4,000547,航天发展,通信设备,98.042343387471,0.2,0.2,0,0
2026-01-12,2026-01-13,baseline_full_dynamic_factor_industry_cap2,5,002173,创新医疗,医疗保健,97.78454498582107,0.2,0.2,0,0
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,1,301171,易点天下,互联网,99.39092866591557,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,2,002195,岩山科技,软件服务,99.0814769577204,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,3,300253,卫宁健康,软件服务,99.0714816736888,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,4,300785,值得买,互联网,99.01346608697133,0.2,0.0,0,1
2026-01-13,2026-01-14,baseline_full_dynamic_factor_industry_cap2,5,300342,天银机电,家用电器,98.86886627774084,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,1,002465,海格通信,通信设备,99.5976133006078,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,2,301171,易点天下,互联网,99.5285972351124,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,3,300063,天龙集团,互联网,99.29691605697268,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,4,600588,用友网络,软件服务,99.1080810649475,0.2,0.0,0,1
2026-01-14,2026-01-15,baseline_full_dynamic_factor_industry_cap2,5,300229,拓尔思,软件服务,98.77047589094208,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,1,002716,湖南白银,小金属,99.30125884116889,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,2,603000,人民网,互联网,99.16185653657138,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,3,002131,利欧股份,互联网,98.90614559417291,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,4,688525,佰维存储,半导体,98.87997597527736,0.2,0.0,0,1
2026-01-15,2026-01-16,baseline_full_dynamic_factor_industry_cap2,5,002044,美年健康,医疗保健,98.45815609912358,0.2,0.0,0,1
2026-01-16,2026-01-19,baseline_full_dynamic_factor_industry_cap2,1,688525,佰维存储,半导体,99.7176515910046,0.2,0.0,0,1
2026-01-16,2026-01-19,baseline_full_dynamic_factor_industry_cap2,2,002716,湖南白银,小金属,98.92417818579698,0.2,0.0,0,1
