strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_cap_skipped
baseline_full_dynamic_factor_industry_cap2,2026-01-06,2026-01-05,30024.36243499999,483925.78,513950.14243500005,1.02790028487,5,0.9415811769352759,0.0,0.0,5.0,5.0,500000.0,5.0,0.0
baseline_full_dynamic_factor_industry_cap2,2026-01-07,2026-01-06,30024.36243499999,494846.64,524871.002435,1.0497420048700001,5,0.9427966828121387,5.0,485684.73,5.0,0.0,515709.092435,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-08,2026-01-07,30024.36243499999,512130.05,542154.412435,1.08430882487,5,0.9446202746923145,5.0,490463.62,5.0,0.0,520487.982435,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-09,2026-01-08,30024.36243499999,538110.1799999999,568134.542435,1.13626908487,5,0.9471527249402635,5.0,514701.22,5.0,0.0,544725.582435,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-12,2026-01-09,30024.36243499999,594156.9,624181.262435,1.24836252487,5,0.9518980074507978,5.0,559782.26,5.0,0.0,589806.622435,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-13,2026-01-12,30024.36243499999,570656.3200000001,600680.6824350001,1.2013613648700001,5,0.9500161012115634,5.0,599604.47,5.0,0.0,629628.832435,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-14,2026-01-13,30024.36243499999,560949.9,590974.262435,1.1819485248700001,5,0.9491951437761601,5.0,556073.36,5.0,0.0,586097.722435,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-15,2026-01-14,126745.89651999995,419548.0,546293.89652,1.0925877930399999,4,0.7679895431243212,0.0,0.0,5.0,9.0,574547.582435,5.0,0.0
baseline_full_dynamic_factor_industry_cap2,2026-01-16,2026-01-15,411.2165199999581,526823.0,527234.21652,1.05446843304,5,0.9992200496342702,4.0,399038.0,5.0,1.0,525783.89652,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-19,2026-01-16,411.2165199999581,516734.0,517145.21651999996,1.03429043304,5,0.9992048335615146,5.0,519767.0,5.0,0.0,520178.21651999996,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-20,2026-01-19,411.2165199999581,520022.0,520433.21651999996,1.04086643304,5,0.9992098572747726,5.0,521385.0,5.0,0.0,521796.21651999996,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-21,2026-01-20,411.2165199999581,528973.0,529384.21652,1.05876843304,5,0.9992232172641957,5.0,522356.0,5.0,0.0,522767.21651999996,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-22,2026-01-21,411.2165199999581,556412.0,556823.21652,1.11364643304,5,0.9992614953762704,5.0,521886.0,5.0,0.0,522297.21651999996,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-23,2026-01-22,411.2165199999581,610753.0,611164.21652,1.22232843304,5,0.9993271587097466,5.0,573315.0,5.0,0.0,573726.21652,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-01-26,2026-01-23,2730.132269999958,620814.0,623544.13227,1.2470882645399999,5,0.9956215893491597,1.0,209160.0,5.0,8.0,616424.21652,5.0,0.0
