strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason
baseline_full_dynamic_factor_industry_cap2,2026-01-06,300058,蓝色光标,广告包装,BUY,13.6,7300,99280.0,74.46000000000001,400645.54,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-06,300136,信维通信,元器件,BUY,63.5,1500,95250.0,71.4375,305324.1025,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-06,300857,协创数据,IT设备,BUY,261.1514,300,78345.42000000001,58.759065000000014,226919.92343499995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-06,601698,中国卫通,电信运营,BUY,39.98,2500,99949.99999999999,74.96249999999999,126894.96093499997,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-06,603667,五洲新春,机械基件,BUY,74.46,1300,96797.99999999999,72.59849999999999,30024.36243499999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,300058,蓝色光标,广告包装,SELL,20.4,7300,148920.0,111.69,178832.672435,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,300136,信维通信,元器件,SELL,75.4,1500,113100.00000000001,84.82500000000002,291847.847435,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,300857,协创数据,IT设备,SELL,268.3974,300,80519.22,60.389415,372306.67802,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,601698,中国卫通,电信运营,SELL,42.22,2500,105550.0,79.16250000000001,477777.51552,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,603667,五洲新春,机械基件,SELL,74.18,1300,96434.00000000001,72.32550000000002,574139.19002,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,002465,海格通信,通信设备,BUY,23.96,4700,112612.0,84.459,461442.73101999995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,300063,天龙集团,互联网,BUY,15.68,7300,114464.0,85.848,346892.88301999995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,600498,烽火通信,通信设备,BUY,43.07,2600,111982.0,83.9865,234826.89651999995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-15,688568,中科星图,软件服务,BUY,90.0,1200,108000.0,81.0,126745.89651999995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-16,002716,湖南白银,小金属,BUY,10.52,12000,126240.0,94.68,411.2165199999581,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,002465,海格通信,通信设备,SELL,19.42,4700,91274.00000000001,68.45550000000001,91616.76101999998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,300063,天龙集团,互联网,SELL,14.79,7300,107967.0,80.97525,199502.78576999996,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,600498,烽火通信,通信设备,SELL,42.0,2600,109200.0,81.9,308620.88576999994,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,688568,中科星图,软件服务,SELL,82.01,1200,98412.0,73.809,406959.0767699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,000338,潍柴动力,汽车配件,BUY,24.12,4200,101304.0,75.97800000000001,305579.0987699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,002156,通富微电,半导体,BUY,56.04,1800,100872.0,75.654,204631.44476999994,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,600089,特变电工,电气设备,BUY,28.6,3500,100100.0,75.075,104456.36976999995,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-26,600988,赤峰黄金,黄金,BUY,40.66,2500,101649.99999999999,76.2375,2730.132269999958,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-27,002716,湖南白银,小金属,SELL,18.08,12000,216959.99999999997,162.71999999999997,219527.4122699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-01-27,600547,山东黄金,黄金,BUY,53.5,4100,219350.0,164.51250000000002,12.899769999901764,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,000338,潍柴动力,汽车配件,SELL,24.43,4200,102606.0,76.9545,102541.9452699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,002156,通富微电,半导体,SELL,49.8,1800,89640.0,67.23,192114.7152699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,600089,特变电工,电气设备,SELL,29.2,3500,102200.0,76.65,294238.0652699999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,600988,赤峰黄金,黄金,SELL,40.49,2500,101225.0,75.91875,395387.1465199999,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,300017,网宿科技,软件服务,BUY,18.53,5300,98209.0,73.65675,297104.48976999987,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,300757,罗博特科,专用机械,BUY,426.01,200,85202.0,63.9015,211838.58826999986,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,301486,致尚科技,元器件,BUY,225.01,400,90004.0,67.503,121767.08526999986,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-04,600986,浙文互联,互联网,BUY,16.3,6000,97800.0,73.35000000000001,23893.73526999986,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-05,600547,山东黄金,黄金,SELL,46.0,4100,188600.0,141.45000000000002,212352.28526999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-05,688516,奥特维,专用机械,BUY,105.23,2000,210460.0,157.845,1734.4402699998464,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,300017,网宿科技,软件服务,SELL,22.51,1200,27012.000000000004,20.259000000000004,28726.18126999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,300757,罗博特科,专用机械,SELL,422.08,200,84416.0,63.312000000000005,113078.86926999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,301486,致尚科技,元器件,SELL,230.78,400,92312.0,69.234,205321.63526999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,600986,浙文互联,互联网,SELL,13.11,6000,78660.0,58.995000000000005,283922.64026999986,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,000657,中钨高新,小金属,BUY,53.53,1700,91001.0,68.25075,192853.38951999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,300394,天孚通信,通信设备,BUY,323.56,200,64712.0,48.534,128092.85551999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-13,688521,芯原股份,半导体,BUY,261.0,300,78300.0,58.725,49734.130519999846,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-24,300017,网宿科技,软件服务,SELL,22.52,4100,92332.0,69.249,141996.88151999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-24,688516,奥特维,专用机械,SELL,103.02,2000,206040.0,154.53,347882.35151999985,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-24,002378,章源钨业,小金属,BUY,31.92,5400,172368.0,129.276,175385.07551999984,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-02-24,300846,首都在线,软件服务,BUY,36.0,4800,172800.0,129.6,2455.4755199998326,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,000657,中钨高新,小金属,SELL,62.31,1700,105927.0,79.44525,108303.03026999983,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,300394,天孚通信,通信设备,SELL,328.3,200,65660.0,49.245000000000005,173913.78526999982,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,688521,芯原股份,半导体,SELL,229.15,300,68745.0,51.55875,242607.22651999982,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,002384,东山精密,元器件,BUY,91.0,800,72800.0,54.6,169752.62651999982,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,002491,通鼎互联,通信设备,BUY,11.01,7300,80373.0,60.27975,89319.34676999981,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-04,601872,招商轮船,水运,BUY,18.8,4300,80840.0,60.63,8418.71676999981,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-05,002378,章源钨业,小金属,SELL,45.88,5400,247752.0,185.814,255984.9027699998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-05,300846,首都在线,软件服务,SELL,32.0,4800,153600.0,115.2,409469.7027699998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-05,000988,华工科技,专用机械,BUY,105.0,1900,199500.0,149.625,209820.0777699998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-05,300164,通源石油,石油开采,BUY,22.0,9300,204600.0,153.45000000000002,5066.627769999788,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,002384,东山精密,元器件,SELL,111.1,800,88880.0,66.66,93879.96776999978,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,002491,通鼎互联,通信设备,SELL,11.36,7300,82928.0,62.196,176745.7717699998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,601872,招商轮船,水运,SELL,15.87,4300,68241.0,51.18075,244935.5910199998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,002015,协鑫能科,新型电力,BUY,21.36,3800,81168.0,60.876000000000005,163706.71501999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,002281,光迅科技,通信设备,BUY,93.1,800,74480.0,55.86,89170.85501999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-13,601868,中国能建,建筑工程,BUY,3.8,21500,81700.0,61.275,7409.580019999776,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-16,000988,华工科技,专用机械,SELL,118.74,1900,225606.0,169.2045,232846.37551999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-16,300164,通源石油,石油开采,SELL,19.05,9300,177165.0,132.87375,409878.50176999974,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-16,001309,德明利,半导体,BUY,318.3352,600,191001.12,143.25084,218734.13092999975,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-16,601669,中国电建,建筑工程,BUY,7.1,28800,204480.0,153.36,14100.770929999766,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,002015,协鑫能科,新型电力,SELL,19.57,3800,74366.0,55.7745,88410.99642999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,002281,光迅科技,通信设备,SELL,79.5,800,63600.0,47.7,151963.29642999975,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,601868,中国能建,建筑工程,SELL,3.25,21500,69875.0,52.40625,221785.89017999975,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,000862,银星能源,新型电力,BUY,8.48,8700,73776.0,55.332,147954.55817999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,002594,比亚迪,汽车整车,BUY,108.4,600,65040.0,48.78,82865.77817999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-24,603687,大胜达,广告包装,BUY,15.0,4900,73500.0,55.125,9310.653179999761,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-25,001309,德明利,半导体,SELL,355.3142,600,213188.52000000002,159.89139000000003,222339.28178999978,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-25,601669,中国电建,建筑工程,SELL,5.95,28800,171360.0,128.52,393570.7617899998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-25,300051,琏升科技,综合类,BUY,11.8,16600,195880.0,146.91,197543.85178999978,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-03-25,600681,百川能源,供气供热,BUY,4.8,41000,196800.0,147.6,596.2517899997765,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,000862,银星能源,新型电力,SELL,6.69,8700,58203.0,43.65225,58755.59953999978,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,002594,比亚迪,汽车整车,SELL,102.49,600,61494.0,46.1205,120203.47903999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,603687,大胜达,广告包装,SELL,16.97,4900,83153.0,62.36475,203294.11428999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,002082,万邦德,中成药,BUY,32.2,2100,67620.0,50.715,135623.39928999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,002361,神剑股份,化工原料,BUY,17.1,3900,66690.0,50.0175,68883.38178999977,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-02,688131,皓元医药,化学制药,BUY,71.74,900,64565.99999999999,48.424499999999995,4268.957289999773,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-03,300051,琏升科技,综合类,SELL,12.0,16600,199200.0,149.4,203319.5572899998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-03,600681,百川能源,供气供热,SELL,4.46,41000,182860.0,137.145,386042.4122899998,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-03,000001,平安银行,银行,BUY,11.28,17100,192888.0,144.666,193009.74628999978,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-03,300692,中赋科技,环境保护,BUY,8.63,22300,192449.00000000003,144.33675000000002,416.40953999976045,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-14,002082,万邦德,中成药,SELL,28.75,2100,60375.0,45.28125,60746.12828999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-14,002361,神剑股份,化工原料,SELL,16.55,3900,64545.0,48.40875,125242.71953999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-14,688131,皓元医药,化学制药,SELL,76.3,900,68670.0,51.5025,193861.21703999976,rebalance_unlocked
baseline_full_dynamic_factor_industry_cap2,2026-04-14,001309,德明利,半导体,BUY,485.19,100,48519.0,36.389250000000004,145305.82778999975,rebalance_unlocked
