strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
baseline_full_dynamic_factor_industry_cap2,2026-01-06,300058,蓝色光标,广告包装,12200,2026-01-06,1,13.66,166652.0,0.320267349402224
baseline_full_dynamic_factor_industry_cap2,2026-01-06,601698,中国卫通,电信运营,4100,2026-01-06,1,43.23,177243.0,0.34062084949534593
baseline_full_dynamic_factor_industry_cap2,2026-01-06,603667,五洲新春,机械基件,2200,2026-01-06,1,77.49,170478.0,0.32762005371308084
baseline_full_dynamic_factor_industry_cap2,2026-01-07,300058,蓝色光标,广告包装,12200,2026-01-06,2,14.3,174460.0,0.33127826465142857
baseline_full_dynamic_factor_industry_cap2,2026-01-07,601698,中国卫通,电信运营,4100,2026-01-06,2,43.87,179867.0,0.3415454982692795
baseline_full_dynamic_factor_industry_cap2,2026-01-07,603667,五洲新春,机械基件,2200,2026-01-06,2,75.6,166320.0,0.31582139732216896
baseline_full_dynamic_factor_industry_cap2,2026-01-08,300058,蓝色光标,广告包装,12200,2026-01-06,3,15.06,183732.0,0.3406527467262208
baseline_full_dynamic_factor_industry_cap2,2026-01-08,601698,中国卫通,电信运营,4100,2026-01-06,3,44.53,182573.0,0.33850387481792127
baseline_full_dynamic_factor_industry_cap2,2026-01-08,603667,五洲新春,机械基件,2200,2026-01-06,3,75.94,167068.0,0.30975645554425063
baseline_full_dynamic_factor_industry_cap2,2026-01-09,300058,蓝色光标,广告包装,12200,2026-01-06,4,17.18,209596.0,0.35631291628584044
baseline_full_dynamic_factor_industry_cap2,2026-01-09,601698,中国卫通,电信运营,4100,2026-01-06,4,48.98,200818.0,0.34139032816795123
baseline_full_dynamic_factor_industry_cap2,2026-01-09,603667,五洲新春,机械基件,2200,2026-01-06,4,78.11,171842.0,0.292131167390558
baseline_full_dynamic_factor_industry_cap2,2026-01-12,300058,蓝色光标,广告包装,12200,2026-01-06,5,20.62,251564.0,0.3840016534583288
baseline_full_dynamic_factor_industry_cap2,2026-01-12,601698,中国卫通,电信运营,4100,2026-01-06,5,53.88,220908.0,0.3372065846550878
baseline_full_dynamic_factor_industry_cap2,2026-01-12,603667,五洲新春,机械基件,2200,2026-01-06,5,80.3,176660.0,0.26966391097274794
baseline_full_dynamic_factor_industry_cap2,2026-01-13,300058,蓝色光标,广告包装,12200,2026-01-06,6,20.85,254370.00000000003,0.3968400304053693
baseline_full_dynamic_factor_industry_cap2,2026-01-13,601698,中国卫通,电信运营,4100,2026-01-06,6,48.49,198809.0,0.31015988365318653
baseline_full_dynamic_factor_industry_cap2,2026-01-13,603667,五洲新春,机械基件,2200,2026-01-06,6,82.65,181830.0,0.2836711197413543
baseline_full_dynamic_factor_industry_cap2,2026-01-14,300058,蓝色光标,广告包装,12200,2026-01-06,7,21.63,263886.0,0.4275688724283873
baseline_full_dynamic_factor_industry_cap2,2026-01-14,601698,中国卫通,电信运营,4100,2026-01-06,7,43.64,178924.0,0.2899067511363876
baseline_full_dynamic_factor_industry_cap2,2026-01-14,603667,五洲新春,机械基件,2200,2026-01-06,7,76.54,168388.0,0.27283549445772526
baseline_full_dynamic_factor_industry_cap2,2026-01-15,300058,蓝色光标,广告包装,12200,2026-01-06,8,18.41,224602.0,0.40555510752588064
baseline_full_dynamic_factor_industry_cap2,2026-01-15,601698,中国卫通,电信运营,4100,2026-01-06,8,39.28,161048.0,0.2907981182573086
baseline_full_dynamic_factor_industry_cap2,2026-01-15,603667,五洲新春,机械基件,2200,2026-01-06,8,73.72,162184.0,0.2928493493333872
baseline_full_dynamic_factor_industry_cap2,2026-01-16,300058,蓝色光标,广告包装,12200,2026-01-06,9,16.29,198738.0,0.3628116920320441
baseline_full_dynamic_factor_industry_cap2,2026-01-16,601698,中国卫通,电信运营,4100,2026-01-06,9,40.16,164656.0,0.30059234752904956
baseline_full_dynamic_factor_industry_cap2,2026-01-16,603667,五洲新春,机械基件,2200,2026-01-06,9,81.09,178398.0,0.32567943843217
baseline_full_dynamic_factor_industry_cap2,2026-01-19,300058,蓝色光标,广告包装,12200,2026-01-06,10,16.91,206302.0,0.3608818612944421
baseline_full_dynamic_factor_industry_cap2,2026-01-19,601698,中国卫通,电信运营,4100,2026-01-06,10,39.79,163139.0,0.2853772913966612
baseline_full_dynamic_factor_industry_cap2,2026-01-19,603667,五洲新春,机械基件,2200,2026-01-06,10,89.2,196240.0,0.3432805133271676
baseline_full_dynamic_factor_industry_cap2,2026-01-20,002028,思源电气,电气设备,900,2026-01-20,1,196.82,177138.0,0.3101652664654807
baseline_full_dynamic_factor_industry_cap2,2026-01-20,300567,精测电子,电器仪表,1300,2026-01-20,1,144.25,187525.0,0.32835270576578296
baseline_full_dynamic_factor_industry_cap2,2026-01-20,300751,迈为股份,专用机械,700,2026-01-20,1,252.99,177093.0,0.3100864723219827
baseline_full_dynamic_factor_industry_cap2,2026-01-21,002028,思源电气,电气设备,900,2026-01-20,2,196.95,177255.0,0.30748697863747115
baseline_full_dynamic_factor_industry_cap2,2026-01-21,300567,精测电子,电器仪表,1300,2026-01-20,2,151.72,197236.0,0.34214832709114135
baseline_full_dynamic_factor_industry_cap2,2026-01-21,300751,迈为股份,专用机械,700,2026-01-20,2,246.6,172620.0,0.29944657274773784
baseline_full_dynamic_factor_industry_cap2,2026-01-22,002028,思源电气,电气设备,900,2026-01-20,3,191.03,171927.0,0.2957149046775297
baseline_full_dynamic_factor_industry_cap2,2026-01-22,300567,精测电子,电器仪表,1300,2026-01-20,3,146.85,190905.0,0.32835711597052125
baseline_full_dynamic_factor_industry_cap2,2026-01-22,300751,迈为股份,专用机械,700,2026-01-20,3,270.3,189210.0,0.32544171138934197
baseline_full_dynamic_factor_industry_cap2,2026-01-23,002028,思源电气,电气设备,900,2026-01-20,4,188.56,169704.0,0.2758488700317931
baseline_full_dynamic_factor_industry_cap2,2026-01-23,300567,精测电子,电器仪表,1300,2026-01-20,4,145.46,189098.0,0.30737324768580593
baseline_full_dynamic_factor_industry_cap2,2026-01-23,300751,迈为股份,专用机械,700,2026-01-20,4,324.36,227052.0,0.36906636047741176
baseline_full_dynamic_factor_industry_cap2,2026-01-26,002028,思源电气,电气设备,900,2026-01-20,5,189.77,170793.0,0.2733245865320797
