event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20,rel_ret_d21,rel_ret_d22,rel_ret_d23,rel_ret_d24,rel_ret_d25,rel_ret_d26,rel_ret_d27,rel_ret_d28,rel_ret_d29,rel_ret_d30,rel_ret_d31,rel_ret_d32,rel_ret_d33,rel_ret_d34,rel_ret_d35,rel_ret_d36,rel_ret_d37,rel_ret_d38,rel_ret_d39,rel_ret_d40,rel_ret_d41,rel_ret_d42,rel_ret_d43,rel_ret_d44,rel_ret_d45,rel_ret_d46,rel_ret_d47,rel_ret_d48,rel_ret_d49,rel_ret_d50,rel_ret_d51,rel_ret_d52,rel_ret_d53,rel_ret_d54,rel_ret_d55,rel_ret_d56,rel_ret_d57,rel_ret_d58,rel_ret_d59,rel_ret_d60
20260122_000011_03,2026-01-22,000011,000011.SZ,0.0,0.003315,-0.00663,-0.022099,-0.020994,0.00663,-0.016575,-0.034254,-0.022099,0.01105,0.00884,0.001105,0.025414,0.01326,0.01989,-0.001105,-0.001105,0.00221,0.022099,-0.01547,-0.01768,-0.048619,-0.076243,-0.079558,-0.077348,-0.054144,-0.067403,-0.051934,-0.051934,-0.059669,-0.050829,-0.036464,-0.016575,-0.00221,-0.00884,-0.036464,-0.102762,-0.055249,-0.044199,-0.045304,-0.049724,-0.059669,-0.050829,-0.051934,-0.071823,-0.100552,-0.090608,-0.050829,-0.076243,-0.072928,-0.074033,-0.064088,-0.081768,-0.072928,-0.059669,-0.068508,-0.075138,-0.069613,-0.070718,-0.067403,-0.064088
20260122_000012_02,2026-01-22,000012,000012.SZ,0.0,0.026144,0.017429,0.010893,0.017429,0.026144,0.013072,-0.028322,-0.008715,0.039216,0.021786,0.013072,0.037037,0.026144,0.043573,0.017429,-0.008715,0.026144,0.12854,0.098039,0.095861,0.074074,0.052288,0.041394,0.04793,0.054466,0.054466,0.058824,0.076253,0.076253,0.061002,0.050109,0.04793,0.03268,0.008715,-0.008715,-0.045752,-0.030501,-0.013072,-0.015251,-0.010893,-0.010893,-0.030501,-0.019608,-0.030501,-0.052288,-0.043573,-0.026144,-0.034858,-0.021786,-0.010893,-0.010893,-0.021786,-0.010893,-0.013072,-0.013072,-0.013072,-0.017429,-0.026144,-0.030501,-0.03268
20260122_000078_02,2026-01-22,000078,000078.SZ,0.0,0.052342,0.157025,0.143251,0.090909,0.046832,0.016529,-0.008264,0.035813,0.044077,0.016529,0.046832,0.052342,0.027548,-0.00551,-0.044077,-0.049587,-0.033058,-0.002755,-0.035813,-0.030303,-0.07438,-0.110193,-0.115702,-0.096419,-0.07438,-0.088154,-0.085399,-0.093664,-0.099174,-0.104683,-0.093664,-0.104683,-0.115702,-0.143251,-0.15978,-0.203857,-0.15978,-0.14876,-0.162534,-0.132231,-0.118457,-0.134986,-0.049587,-0.00551,-0.013774,0.019284,-0.038567,0.057851,0.038567,-0.002755,0.008264,0.107438,0.077135,0.038567,0.07438,0.024793,-0.022039,-0.082645,-0.077135,-0.121212
20260122_002023_05,2026-01-22,002023,002023.SZ,0.0,0.020804,-0.013176,-0.009015,-0.033981,-0.057559,-0.151872,-0.183079,-0.169209,-0.162275,-0.171983,-0.183079,-0.169903,-0.174757,-0.17337,-0.168516,-0.165742,-0.162275,-0.142857,-0.133148,-0.135922,-0.149792,-0.198336,-0.196949,-0.190014,-0.176838,-0.190707,-0.174064,-0.18516,-0.209431,-0.221221,-0.212205,-0.232316,-0.222607,-0.246186,-0.263523,-0.31484,-0.296117,-0.286408,-0.299584,-0.287795,-0.285714,-0.293343,-0.282247,-0.299584,-0.31276,-0.303051,-0.273232,-0.285021,-0.262136,-0.223301,-0.145631,-0.117892,-0.148405,-0.103329,-0.0957,-0.108877,-0.084605,-0.104716,-0.140083,-0.115811
20260122_002669_03,2026-01-22,002669,002669.SZ,0.0,0.016774,-0.011613,-0.012258,-0.032258,-0.052903,-0.042581,-0.077419,-0.057419,-0.062581,-0.087742,-0.075484,-0.065161,-0.072258,-0.06,-0.076774,-0.07871,-0.04,-0.021935,-0.009677,-0.016129,-0.044516,-0.112903,-0.116129,-0.104516,-0.096774,-0.113548,-0.093548,-0.098065,-0.1,-0.009677,-0.052903,-0.097419,-0.097419,-0.148387,-0.176774,-0.243226,-0.210323,-0.196774,-0.205161,-0.188387,-0.181935,-0.19871,-0.183871,-0.196129,-0.212258,-0.187742,-0.16129,-0.160645,-0.151613,-0.147742,-0.137419,-0.142581,-0.136774,-0.094194,-0.102581,-0.085161,-0.083871,-0.107742,-0.09871,-0.074194
20260122_002673_02,2026-01-22,002673,002673.SZ,0.0,0.003713,0.009901,0.001238,0.011139,0.011139,-0.008663,-0.032178,-0.028465,-0.017327,-0.014851,-0.022277,-0.013614,-0.018564,-0.018564,-0.023515,-0.034653,-0.032178,-0.018564,-0.024752,-0.009901,-0.022277,-0.042079,-0.061881,-0.060644,-0.044554,-0.054455,-0.045792,-0.04703,-0.044554,-0.049505,-0.048267,-0.044554,-0.049505,-0.059406,-0.075495,-0.12005,-0.106436,-0.09901,-0.110149,-0.100248,-0.09901,-0.09901,-0.097772,-0.116337,-0.123762,-0.121287,-0.095297,-0.113861,-0.09901,-0.094059,-0.087871,-0.091584,-0.089109,-0.089109,-0.095297,-0.108911,-0.113861,-0.123762,-0.123762,-0.127475
20260122_300008_01,2026-01-22,300008,300008.SZ,0.0,0.003337,-0.020022,-0.034483,-0.043382,-0.066741,-0.097887,-0.113459,-0.017798,0.0,-0.011123,-0.040044,-0.028921,-0.004449,-0.016685,-0.007786,0.024472,0.074527,0.091212,0.074527,0.084538,0.107898,0.025584,0.058954,0.031146,0.022247,-0.004449,0.003337,-0.021135,-0.053393,-0.070078,-0.051168,-0.086763,-0.077864,-0.110122,-0.140156,-0.193548,-0.156841,-0.144605,-0.173526,-0.156841,-0.154616,-0.162403,-0.162403,-0.172414,-0.197998,-0.185762,-0.150167,-0.16574,-0.159066,-0.153504,-0.144605,-0.16129,-0.152392,-0.150167,-0.104561,-0.115684,-0.116796,-0.095662,-0.121246,-0.141268
20260122_300084_04,2026-01-22,300084,300084.SZ,0.0,0.025046,0.038961,0.056586,0.046382,0.032468,0.032468,0.003711,0.008349,0.026902,-0.002783,0.005566,0.022263,0.003711,-0.005566,0.006494,0.014842,0.055659,0.050093,0.027829,0.039889,0.247681,0.315399,0.164193,0.175325,0.102041,0.107607,0.076067,0.074212,0.026902,0.001855,0.051948,0.045455,0.068646,0.059369,-0.024119,-0.065863,-0.051948,-0.021336,-0.010204,0.045455,0.017625,0.0,0.029685,0.011132,-0.03525,-0.041744,-0.012987,-0.038961,-0.051948,-0.033395,-0.002783,-0.016698,0.014842,0.041744,0.033395,0.039889,0.044527,0.06308,0.061224,0.050093
20260122_300145_02,2026-01-22,300145,300145.SZ,0.0,0.002101,-0.012605,-0.010504,-0.006303,-0.037815,-0.037815,-0.065126,-0.05042,-0.039916,-0.065126,-0.063025,-0.046218,-0.046218,-0.039916,0.006303,-0.018908,0.014706,0.008403,0.058824,0.039916,0.037815,-0.012605,-0.021008,0.039916,0.088235,0.096639,0.119748,0.144958,0.12395,0.109244,0.094538,0.056723,0.096639,0.063025,0.010504,-0.079832,-0.05042,-0.037815,-0.084034,-0.07563,-0.084034,-0.102941,-0.073529,-0.111345,-0.12605,-0.115546,-0.05042,-0.048319,0.035714,0.056723,0.069328,0.067227,0.086134,0.090336,0.10084,0.044118,0.060924,0.033613,0.014706,0.054622
20260122_600336_02,2026-01-22,600336,600336.SH,0.0,0.021991,-0.052083,-0.094907,-0.116898,-0.121528,-0.100694,-0.087963,-0.090278,-0.090278,-0.086806,-0.09838,-0.083333,-0.082176,-0.076389,-0.096065,-0.111111,-0.078704,-0.076389,-0.090278,-0.100694,-0.135417,-0.149306,-0.159722,-0.144676,-0.135417,-0.143519,-0.134259,-0.140046,-0.138889,-0.053241,-0.075231,-0.081019,-0.08912,-0.133102,-0.15625,-0.239583,-0.196759,-0.1875,-0.209491,-0.200231,-0.184028,-0.200231,-0.171296,-0.189815,-0.209491,-0.203704,-0.173611,-0.173611,-0.171296,-0.179398,-0.177083,-0.185185,-0.177083,-0.177083,-0.174769,-0.178241,-0.185185,-0.18287,-0.190972,-0.159722
